trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,terrestrial detritus,1,0,20,1.0,0.0
2,2,land plants,1,0,6,1.0,0.0
3,3,land plants,1,0,12,1.0,0.0
4,4,land plants,1,0,6,1.0,0.0
5,5,land plants,1,0,6,1.0,0.0
6,6,land plants,1,0,8,1.0,0.0
7,7,land plants,1,0,5,1.0,0.0
8,8,land plants,1,0,4,1.0,0.0
9,9,land plants,1,0,3,1.0,0.0
10,10,terrestrial heterotroph microbes,1,1,4,2.0,1.0
11,11,terrestrial heterotroph microbes,1,3,2,2.5,1.0
12,12;24,terrestrial saprotrophs,2,1,5,2.0,1.0
13,13;14,terrestrial saprotrophs,2,1,3,2.0,1.0
15,15;20,terrestrial saprotrophs,2,1,2,2.0,1.0
16,16,terrestrial saprotrophs,1,1,3,2.0,1.0
17,17;18,terrestrial saprotrophs,2,1,4,2.0,1.0
19,19,terrestrial saprotrophs,1,1,4,2.0,1.0
21,21,terrestrial saprotrophs,1,1,4,2.0,1.0
22,22,terrestrial saprotrophs,1,1,2,2.0,1.0
23,23,terrestrial saprotrophs,1,1,1,2.0,1.0
25,25,terrestrial saprotrophs,1,1,3,2.0,1.0
26,26,terrestrial saprotrophs,1,1,6,2.0,1.0
27,27,mycorrhizae,1,3,4,2.0,1.0
28,28;41,mycorrhizae,2,1,4,2.0,1.0
29,29,mycorrhizae,1,1,2,2.0,1.0
30,30,mycorrhizae,1,2,3,2.0,1.0
31,31,mycorrhizae,1,2,2,2.0,1.0
32,32,mycorrhizae,1,1,5,2.0,1.0
33,33,mycorrhizae,1,9,4,2.0,1.0
34,34,mycorrhizae,1,6,2,2.0,1.0
35,35,mycorrhizae,1,4,5,2.0,1.0
36,36,plant parasites,1,2,5,2.0,1.0
37,37,plant parasites,1,9,3,2.0,1.0
38,38,plant parasites,1,5,3,2.0,1.0
39,39,plant parasites,1,3,2,2.0,1.0
40,40,plant parasites,1,1,3,2.0,1.0
42,42,plant parasites,1,3,2,2.0,1.0
43,43,fungal parasites,1,20,1,3.0,2.0
44,44,fungal parasites,1,26,2,3.0,2.0
45,45,fungal parasites,1,3,2,3.0,2.0
46,46,terrestrial microbivores,1,24,5,3.302631578947368,2.0
47,47,terrestrial detritivores,1,8,2,2.625,1.0
48,48,terrestrial detritivores,1,3,2,2.5,2.0
49,49,mites,1,1,2,3.0,2.0
50,50,mites,1,3,1,2.3333333333333335,2.0
51,51,terrestrial arthropod predators (1),1,1,3,3.75,3.0
52,52,terrestrial arthropod predators (1),1,4,2,4.405405405405405,3.0
53,53,terrestrial arthropod predators (1),1,4,2,4.333333333333334,3.0
54,54,terrestrial arthropod predators (2),1,1,2,4.75,4.0
55,55,terrestrial arthropod predators (2),1,2,1,4.333333333333334,4.0
56,56,terrestrial arthropod predators (2),1,4,2,4.578947368421053,4.0
57,57,terrestrial arthropod predators (2),1,2,0,5.25,4.0
58,58,terrestrial arthropod predators (2),1,8,2,4.6060606060606055,3.0
59,59,aquatic detritus,1,0,4,1.0,0.0
60,60,aquatic heterotroph microbes,1,3,0,2.5,1.0
61,61,aquatic heterotroph microbes,1,1,2,2.0,1.0
62,62,aquatic heterotroph microbes,1,1,4,2.0,1.0
63,63;64;67,aquatic unicellular/small algae,3,0,1,1.0,0.0
65,65,aquatic unicellular/small algae,1,0,2,1.0,0.0
66,66,aquatic unicellular/small algae,1,0,4,1.0,0.0
68,68,planktic large colonial algae,1,0,0,1.0,0.0
69,69;75,benthic filamentous algae,2,0,1,1.0,0.0
70,70,benthic filamentous algae,1,0,2,1.0,0.0
71,71;72,benthic filamentous algae,2,0,1,1.0,0.0
73,73;76;78,benthic filamentous algae,3,0,2,1.0,0.0
74,74,other benthic/epiphytic algae,1,0,2,1.0,0.0
77,77,other benthic/epiphytic algae,1,0,2,1.0,0.0
79,79,partially terrestrial epilithic/epiphytic algae,1,0,5,1.0,0.0
80,80,partially terrestrial epilithic/epiphytic algae,1,0,7,1.0,0.0
81,81,partially terrestrial epilithic/epiphytic algae,1,0,3,1.0,0.0
82,82;85,aquatic saprotrophs,2,1,1,2.0,1.0
83,83;84;86,aquatic saprotrophs,3,1,0,2.0,1.0
87,87,small algae parasites,1,1,0,2.0,1.0
88,88,aquatic macrophyte parasites,1,1,0,2.0,1.0
89,89,nematodes,1,26,1,3.1311475409836067,2.0
90,90,swimming filter feeders,1,3,1,2.0,1.0
91,91,swimming filter feeders,1,3,0,2.0,1.0
92,92,swimming scrapers,1,2,2,2.5,2.0
93,93,arthropod  omnivores,1,8,1,3.2941176470588234,3.0
94,94,arthropod  omnivores,1,9,0,3.354838709677419,4.0
95,95,benthic predators,1,2,2,3.4545454545454546,3.0
