SLN_ID,max_chain_len
1,4
10,6
100,4
1000,4
101,4
102,5
103,5
104,5
105,5
106,5
107,3
108,5
109,3
11,4
110,6
111,6
112,4
113,5
114,4
115,4
116,4
117,3
118,4
119,3
12,6
120,5
121,4
122,5
123,6
124,3
125,5
126,5
127,3
128,3
129,4
13,4
130,4
131,6
132,4
133,3
134,3
135,4
136,3
137,3
138,4
139,4
14,4
140,4
141,3
142,4
143,3
144,5
145,4
146,6
147,5
148,3
149,5
15,4
150,4
151,3
152,5
153,4
154,3
155,5
156,5
157,4
158,3
159,6
16,5
160,3
161,4
162,3
163,3
164,4
165,4
166,5
167,3
168,5
169,5
17,6
170,4
171,6
172,3
173,4
174,3
175,4
176,5
177,3
178,3
179,4
18,4
180,4
181,5
182,6
183,3
184,3
185,4
186,6
187,5
188,3
189,5
19,4
190,5
191,5
192,4
193,5
194,4
195,4
196,6
197,6
198,5
199,5
2,3
20,3
200,5
201,3
202,6
203,4
204,6
205,4
206,5
207,4
208,4
209,6
21,5
210,3
211,5
212,5
213,5
214,3
215,3
216,6
217,5
218,4
219,6
22,4
220,3
221,4
222,4
223,6
224,3
225,3
226,5
227,6
228,4
229,6
23,5
230,6
231,6
232,5
233,5
234,5
235,3
236,5
237,5
238,4
239,5
24,4
240,3
241,5
242,4
243,3
244,3
245,6
246,5
247,5
248,5
249,3
25,5
250,4
251,5
252,6
253,5
254,3
255,4
256,5
257,5
258,4
259,4
26,5
260,5
261,5
262,3
263,5
264,3
265,3
266,4
267,3
268,6
269,5
27,4
270,5
271,5
272,4
273,5
274,4
275,4
276,3
277,3
278,5
279,5
28,6
280,3
281,5
282,6
283,4
284,5
285,3
286,5
287,4
288,4
289,4
29,5
290,6
291,3
292,4
293,3
294,3
295,3
296,4
297,3
298,5
299,5
3,4
30,3
300,4
301,3
302,5
303,4
304,6
305,5
306,5
307,5
308,4
309,4
31,5
310,3
311,4
312,3
313,3
314,5
315,4
316,3
317,5
318,3
319,3
32,5
320,4
321,4
322,4
323,5
324,5
325,5
326,4
327,4
328,4
329,4
33,4
330,3
331,5
332,4
333,5
334,4
335,4
336,5
337,3
338,4
339,5
34,3
340,4
341,3
342,6
343,6
344,4
345,5
346,4
347,5
348,3
349,4
35,6
350,4
351,5
352,4
353,3
354,4
355,3
356,4
357,3
358,5
359,3
36,3
360,4
361,6
362,3
363,6
364,4
365,6
366,6
367,4
368,3
369,5
37,5
370,5
371,6
372,6
373,3
374,4
375,6
376,6
377,3
378,3
379,3
38,3
380,4
381,6
382,5
383,4
384,6
385,5
386,4
387,5
388,6
389,4
39,5
390,3
391,3
392,4
393,4
394,4
395,5
396,4
397,6
398,3
399,3
4,4
40,4
400,3
401,5
402,4
403,3
404,3
405,5
406,3
407,4
408,4
409,6
41,3
410,6
411,4
412,3
413,4
414,4
415,5
416,4
417,3
418,5
419,6
42,3
420,3
421,4
422,3
423,3
424,6
425,4
426,3
427,4
428,6
429,4
43,4
430,4
431,6
432,3
433,5
434,3
435,5
436,4
437,3
438,3
439,3
44,5
440,3
441,6
442,3
443,4
444,4
445,5
446,3
447,5
448,5
449,4
45,4
450,4
451,4
452,5
453,3
454,4
455,5
456,3
457,6
458,6
459,3
46,5
460,3
461,4
462,4
463,6
464,6
465,4
466,4
467,6
468,4
469,3
47,4
470,3
471,4
472,5
473,4
474,3
475,3
476,6
477,3
478,6
479,6
48,3
480,6
481,4
482,5
483,4
484,3
485,5
486,5
487,3
488,6
489,4
49,6
490,4
491,4
492,4
493,6
494,5
495,4
496,6
497,4
498,4
499,5
5,3
50,4
500,4
501,5
502,6
503,5
504,3
505,5
506,6
507,3
508,6
509,5
51,4
510,5
511,6
512,4
513,3
514,5
515,4
516,3
517,4
518,3
519,5
52,4
520,6
521,3
522,4
523,6
524,6
525,3
526,3
527,6
528,3
529,5
53,4
530,6
531,4
532,5
533,5
534,5
535,3
536,3
537,5
538,5
539,5
54,5
540,4
541,3
542,3
543,6
544,6
545,4
546,4
547,6
548,5
549,6
55,4
550,5
551,4
552,3
553,4
554,3
555,3
556,5
557,6
558,3
559,6
56,5
560,5
561,3
562,6
563,4
564,4
565,3
566,4
567,4
568,3
569,5
57,5
570,4
571,3
572,4
573,4
574,4
575,5
576,5
577,3
578,5
579,3
58,6
580,4
581,5
582,4
583,6
584,5
585,6
586,5
587,3
588,5
589,3
59,3
590,3
591,3
592,5
593,5
594,3
595,6
596,4
597,5
598,3
599,4
6,4
60,4
600,3
601,3
602,4
603,4
604,3
605,5
606,5
607,5
608,5
609,3
61,3
610,3
611,4
612,5
613,3
614,6
615,5
616,6
617,4
618,5
619,4
62,3
620,4
621,4
622,6
623,3
624,5
625,5
626,5
627,6
628,5
629,5
63,4
630,4
631,6
632,4
633,4
634,4
635,6
636,6
637,5
638,4
639,6
64,5
640,4
641,3
642,6
643,3
644,4
645,4
646,3
647,4
648,6
649,6
65,6
650,4
651,4
652,6
653,4
654,4
655,6
656,4
657,3
658,6
659,4
66,5
660,4
661,5
662,5
663,5
664,4
665,6
666,3
667,6
668,4
669,4
67,3
670,3
671,5
672,5
673,4
674,6
675,3
676,4
677,4
678,6
679,3
68,5
680,4
681,5
682,4
683,3
684,5
685,4
686,4
687,5
688,3
689,5
69,4
690,5
691,5
692,4
693,3
694,6
695,6
696,3
697,6
698,3
699,3
7,3
70,4
700,3
701,5
702,4
703,3
704,4
705,4
706,5
707,4
708,3
709,3
71,4
710,6
711,4
712,3
713,6
714,6
715,4
716,3
717,6
718,4
719,5
72,4
720,6
721,4
722,3
723,5
724,4
725,5
726,4
727,4
728,4
729,3
73,3
730,4
731,3
732,6
733,4
734,5
735,4
736,4
737,5
738,5
739,5
74,5
740,3
741,4
742,3
743,4
744,3
745,5
746,4
747,5
748,3
749,5
75,3
750,4
751,4
752,5
753,5
754,3
755,4
756,3
757,6
758,3
759,3
76,3
760,4
761,5
762,3
763,4
764,4
765,4
766,3
767,4
768,6
769,6
77,5
770,4
771,4
772,3
773,3
774,3
775,3
776,5
777,3
778,5
779,3
78,5
780,3
781,3
782,5
783,3
784,5
785,5
786,5
787,4
788,3
789,4
79,5
790,4
791,5
792,3
793,3
794,5
795,4
796,5
797,5
798,5
799,3
8,5
80,4
800,4
801,3
802,3
803,3
804,6
805,4
806,5
807,6
808,6
809,4
81,3
810,4
811,4
812,6
813,4
814,3
815,5
816,3
817,4
818,3
819,6
82,6
820,5
821,5
822,3
823,4
824,3
825,4
826,4
827,4
828,6
829,3
83,6
830,5
831,4
832,4
833,3
834,4
835,3
836,3
837,5
838,4
839,5
84,4
840,5
841,5
842,5
843,3
844,6
845,4
846,3
847,3
848,3
849,3
85,5
850,6
851,6
852,4
853,5
854,4
855,3
856,6
857,3
858,3
859,3
86,3
860,4
861,4
862,3
863,4
864,6
865,4
866,3
867,3
868,5
869,4
87,5
870,5
871,3
872,3
873,5
874,6
875,4
876,6
877,4
878,3
879,4
88,6
880,4
881,6
882,4
883,5
884,4
885,3
886,3
887,4
888,6
889,5
89,5
890,5
891,3
892,5
893,4
894,6
895,4
896,6
897,5
898,4
899,3
9,5
90,3
900,4
901,4
902,5
903,4
904,3
905,4
906,4
907,6
908,4
909,4
91,6
910,5
911,3
912,4
913,6
914,3
915,5
916,5
917,6
918,5
919,3
92,4
920,4
921,4
922,4
923,4
924,5
925,3
926,4
927,5
928,3
929,6
93,3
930,5
931,4
932,6
933,3
934,4
935,5
936,3
937,6
938,4
939,4
94,5
940,4
941,3
942,6
943,3
944,3
945,4
946,5
947,5
948,3
949,4
95,4
950,4
951,5
952,4
953,5
954,4
955,6
956,4
957,4
958,5
959,5
96,3
960,6
961,4
962,4
963,4
964,6
965,6
966,4
967,4
968,4
969,5
97,3
970,5
971,4
972,5
973,4
974,3
975,4
976,4
977,4
978,5
979,3
98,5
980,4
981,5
982,4
983,3
984,5
985,6
986,5
987,3
988,5
989,6
99,4
990,6
991,4
992,5
993,4
994,4
995,5
996,3
997,3
998,3
999,3
