web_id,n_lumped
1,6
10,2
100,2
1000,3
101,7
102,2
103,4
104,5
105,2
106,4
107,5
108,3
109,4
11,5
110,5
111,2
112,5
113,3
114,2
115,2
116,3
117,3
118,5
119,3
12,3
120,2
121,3
122,2
123,4
124,4
125,3
126,1
127,5
128,2
129,2
13,5
130,3
131,3
132,4
133,5
134,3
135,3
136,4
137,5
138,5
139,2
14,3
140,6
141,2
142,3
143,2
144,5
145,4
146,5
147,2
148,4
149,3
15,4
150,3
151,5
152,2
153,2
154,3
155,3
156,3
157,4
158,3
159,3
16,3
160,2
161,3
162,4
163,2
164,4
165,3
166,3
167,2
168,3
169,2
17,2
170,3
171,3
172,3
173,2
174,4
175,4
176,5
177,2
178,3
179,4
18,3
180,4
181,2
182,3
183,4
184,4
185,4
186,2
187,2
188,6
189,3
19,2
190,4
191,4
192,3
193,4
194,5
195,6
196,5
197,3
198,3
199,4
2,2
20,4
200,3
201,4
202,2
203,4
204,3
205,5
206,1
207,3
208,5
209,4
21,2
210,3
211,2
212,3
213,4
214,3
215,2
216,2
217,5
218,3
219,4
22,3
220,4
221,3
222,6
223,2
224,2
225,3
226,3
227,3
228,3
229,2
23,2
230,2
231,3
232,2
233,4
234,6
235,3
236,2
237,2
238,5
239,1
24,3
240,5
241,2
242,3
243,4
244,4
245,1
246,4
247,2
248,3
249,3
25,3
250,3
251,3
252,5
253,7
254,5
255,2
256,2
257,5
258,4
259,2
26,4
260,3
261,3
262,4
263,2
264,4
265,7
266,2
267,4
268,3
269,3
27,2
270,3
271,5
272,2
273,3
274,4
275,2
276,4
277,4
278,2
279,3
28,3
280,5
281,3
282,3
283,5
284,3
285,3
286,5
287,3
288,4
289,5
29,3
290,2
291,3
292,2
293,2
294,2
295,4
296,2
297,3
298,2
299,3
3,4
30,2
300,5
301,3
302,3
303,5
304,1
305,3
306,2
307,2
308,3
309,5
31,4
310,4
311,5
312,2
313,4
314,3
315,3
316,3
317,3
318,5
319,5
32,3
320,5
321,2
322,6
323,3
324,2
325,2
326,3
327,3
328,5
329,3
33,2
330,4
331,3
332,4
333,3
334,3
335,2
336,2
337,5
338,3
339,3
34,4
340,2
341,1
342,3
343,2
344,2
345,3
346,5
347,3
348,4
349,4
35,4
350,3
351,4
352,2
353,3
354,3
355,4
356,4
357,3
358,3
359,6
36,3
360,3
361,4
362,3
363,3
364,2
365,3
366,3
367,4
368,5
369,3
37,3
370,3
371,1
372,2
373,4
374,5
375,3
376,5
377,3
378,2
379,2
38,4
380,4
381,3
382,3
383,4
384,3
385,2
386,6
387,2
388,3
389,2
39,3
390,5
391,4
392,3
393,3
394,4
395,3
396,3
397,6
398,6
399,4
4,3
40,4
400,3
401,4
402,4
403,2
404,5
405,4
406,3
407,4
408,4
409,5
41,5
410,3
411,4
412,2
413,3
414,2
415,3
416,2
417,5
418,4
419,3
42,4
420,4
421,3
422,3
423,3
424,2
