SLN_ID,max_chain_len
1,6
10,5
100,6
1000,6
101,4
102,4
103,6
104,5
105,6
106,5
107,5
108,4
109,6
11,6
110,6
111,5
112,6
113,5
114,5
115,4
116,6
117,4
118,5
119,4
12,5
120,5
121,5
122,6
123,5
124,4
125,4
126,5
127,4
128,6
129,6
13,6
130,5
131,5
132,5
133,5
134,4
135,4
136,5
137,5
138,6
139,5
14,6
140,4
141,6
142,5
143,6
144,5
145,6
146,6
147,4
148,6
149,5
15,3
150,5
151,3
152,6
153,5
154,5
155,5
156,6
157,6
158,5
159,6
16,5
160,4
161,3
162,5
163,6
164,4
165,5
166,5
167,4
168,5
169,5
17,5
170,6
171,4
172,6
173,4
174,5
175,6
176,4
177,5
178,5
179,5
18,6
180,4
181,4
182,5
183,4
184,6
185,5
186,6
187,4
188,6
189,5
19,5
190,5
191,5
192,5
193,6
194,4
195,5
196,6
197,5
198,6
199,5
2,6
20,4
200,5
201,4
202,5
203,6
204,4
205,6
206,5
207,6
208,5
209,5
21,5
210,4
211,5
212,5
213,4
214,6
215,5
216,5
217,6
218,5
219,6
22,5
220,6
221,3
222,5
223,4
224,4
225,6
226,6
227,5
228,5
229,5
23,5
230,5
231,4
232,5
233,5
234,5
235,4
236,4
237,4
238,6
239,5
24,3
240,6
241,6
242,4
243,6
244,4
245,6
246,5
247,6
248,5
249,4
25,4
250,4
251,5
252,6
253,6
254,6
255,5
256,6
257,5
258,5
259,5
26,4
260,5
261,4
262,5
263,4
264,5
265,5
266,5
267,6
268,4
269,5
27,6
270,5
271,6
272,5
273,5
274,5
275,4
276,5
277,5
278,6
279,4
28,6
280,4
281,4
282,6
283,5
284,5
285,5
286,5
287,4
288,3
289,5
29,5
290,5
291,6
292,5
293,5
294,5
295,6
296,5
297,6
298,5
299,5
3,4
30,3
300,5
301,6
302,5
303,5
304,5
305,4
306,4
307,5
308,5
309,4
31,4
310,6
311,4
312,5
313,5
314,6
315,6
316,5
317,5
318,5
319,4
32,5
320,5
321,5
322,5
323,6
324,5
325,5
326,4
327,6
328,6
329,5
33,3
330,5
331,5
332,5
333,5
334,4
335,5
336,6
337,4
338,6
339,5
34,6
340,4
341,3
342,6
343,6
344,5
345,6
346,4
347,5
348,5
349,6
35,5
350,5
351,5
352,4
353,5
354,6
355,5
356,5
357,5
358,6
359,4
36,5
360,3
361,6
362,6
363,4
364,4
365,6
366,5
367,4
368,6
369,5
37,6
370,5
371,5
372,5
373,5
374,4
375,5
376,5
377,6
378,6
379,5
38,5
380,5
381,3
382,5
383,6
384,5
385,5
386,6
387,6
388,5
389,6
39,5
390,4
391,6
392,4
393,5
394,5
395,6
396,6
397,5
398,6
399,5
4,5
40,5
400,5
401,5
402,6
403,3
404,5
405,5
406,5
407,5
408,6
409,4
41,5
410,6
411,6
412,4
413,5
414,6
415,5
416,6
417,5
418,5
419,6
42,5
420,6
421,4
422,5
423,6
424,6
425,5
426,4
427,6
428,5
429,5
43,5
430,5
431,6
432,5
433,6
434,5
435,4
436,5
437,6
438,6
439,5
44,5
440,6
441,5
442,4
443,4
444,4
445,6
446,6
447,5
448,5
449,6
45,4
450,5
451,3
452,4
453,4
454,4
455,4
456,6
457,5
458,5
459,5
46,6
460,5
461,6
462,4
463,4
464,6
465,6
466,5
467,4
468,5
469,4
47,5
470,5
471,5
472,6
473,5
474,5
475,6
476,4
477,5
478,5
479,5
48,5
480,5
481,5
482,5
483,6
484,6
485,3
486,4
487,4
488,4
489,4
49,5
490,5
491,4
492,6
493,5
494,5
495,4
496,3
497,5
498,5
499,6
5,4
50,4
500,5
501,4
502,5
503,6
504,5
505,6
506,6
507,5
508,5
509,5
51,4
510,5
511,6
512,6
513,5
514,4
515,6
516,4
517,4
518,5
519,6
52,4
520,4
521,5
522,6
523,5
524,6
525,5
526,5
527,5
528,6
529,6
53,4
530,4
531,5
532,4
533,5
534,4
535,5
536,6
537,4
538,4
539,5
54,5
540,5
541,4
542,4
543,4
544,5
545,5
546,5
547,5
548,4
549,6
55,5
550,4
551,5
552,5
553,6
554,5
555,5
556,4
557,3
558,5
559,5
56,6
560,5
561,5
562,4
563,5
564,5
565,4
566,6
567,4
568,6
569,6
57,5
570,4
571,5
572,5
573,4
574,5
575,5
576,4
577,6
578,6
579,3
58,5
580,4
581,5
582,6
583,5
584,6
585,6
586,5
587,4
588,5
589,4
59,4
590,6
591,5
592,5
593,5
594,6
595,6
596,6
597,5
598,6
599,6
6,4
60,5
600,5
601,5
602,5
603,6
604,5
605,4
606,5
607,6
608,4
609,5
61,5
610,4
611,6
612,5
613,5
614,4
615,5
616,3
617,5
618,6
619,4
62,5
620,5
621,6
622,5
623,5
624,5
625,4
626,5
627,5
628,5
629,5
63,6
630,5
631,4
632,5
633,5
634,4
635,4
636,5
637,6
638,6
639,5
64,4
640,5
641,5
642,5
643,5
644,6
645,6
646,5
647,5
648,4
649,5
65,6
650,6
651,5
652,4
653,4
654,6
655,6
656,5
657,6
658,4
659,5
66,5
660,6
661,4
662,5
663,5
664,5
665,4
666,5
667,5
668,6
669,6
67,5
670,6
671,5
672,4
673,4
674,6
675,6
676,6
677,6
678,5
679,5
68,4
680,6
681,6
682,6
683,6
684,6
685,6
686,5
687,6
688,6
689,4
69,6
690,6
691,4
692,5
693,5
694,5
695,5
696,6
697,5
698,5
699,6
7,4
70,4
700,6
701,5
702,5
703,5
704,5
705,4
706,5
707,5
708,4
709,4
71,6
710,5
711,5
712,5
713,4
714,5
715,4
716,6
717,5
718,4
719,4
72,4
720,5
721,5
722,5
723,5
724,4
725,6
726,5
727,5
728,4
729,4
73,4
730,4
731,5
732,6
733,4
734,6
735,6
736,6
737,5
738,4
739,5
74,6
740,6
741,5
742,6
743,6
744,6
745,6
746,6
747,5
748,5
749,5
75,6
750,6
751,5
752,3
753,6
754,6
755,6
756,4
757,4
758,6
759,5
76,5
760,5
761,5
762,6
763,6
764,4
765,5
766,5
767,5
768,5
769,6
77,4
770,5
771,5
772,6
773,5
774,5
775,4
776,5
777,5
778,5
779,5
78,5
780,6
781,5
782,6
783,5
784,5
785,5
786,5
787,5
788,4
789,5
79,6
790,4
791,5
792,4
793,5
794,6
795,6
796,6
797,4
798,6
799,6
8,5
80,5
800,5
801,5
802,5
803,4
804,6
805,5
806,4
807,5
808,5
809,5
81,6
810,6
811,4
812,4
813,4
814,6
815,5
816,6
817,4
818,5
819,5
82,4
820,5
821,5
822,5
823,4
824,4
825,5
826,5
827,4
828,5
829,5
83,6
830,5
831,5
832,6
833,6
834,6
835,5
836,5
837,5
838,6
839,6
84,4
840,5
841,3
842,4
843,6
844,4
845,5
846,4
847,5
848,6
849,5
85,5
850,5
851,6
852,6
853,4
854,5
855,6
856,6
857,4
858,4
859,6
86,5
860,5
861,4
862,5
863,5
864,5
865,5
866,6
867,6
868,5
869,5
87,5
870,5
871,5
872,5
873,4
874,4
875,5
876,4
877,4
878,5
879,4
88,6
880,6
881,5
882,6
883,6
884,4
885,6
886,3
887,6
888,4
889,6
89,5
890,5
891,4
892,4
893,5
894,5
895,4
896,5
897,5
898,5
899,4
9,5
90,4
900,5
901,4
902,5
903,5
904,5
905,4
906,4
907,4
908,5
909,5
91,4
910,6
911,6
912,5
913,4
914,6
915,5
916,5
917,4
918,6
919,6
92,4
920,5
921,5
922,5
923,6
924,6
925,5
926,5
927,5
928,4
929,4
93,4
930,4
931,6
932,5
933,4
934,3
935,5
936,5
937,5
938,6
939,5
94,6
940,4
941,5
942,4
943,6
944,3
945,5
946,5
947,6
948,5
949,6
95,5
950,5
951,4
952,5
953,5
954,5
955,6
956,4
957,5
958,5
959,5
96,4
960,5
961,6
962,4
963,5
964,5
965,5
966,3
967,5
968,5
969,5
97,6
970,6
971,4
972,5
973,5
974,5
975,6
976,3
977,5
978,6
979,3
98,6
980,6
981,6
982,5
983,5
984,6
985,4
986,4
987,4
