web_id,n_lumped
1,0
10,1
100,1
1000,2
101,1
102,1
103,1
104,1
105,1
106,0
107,1
108,0
109,0
11,1
110,0
111,1
112,0
113,1
114,0
115,1
116,1
117,0
118,0
119,1
12,0
120,0
121,1
122,0
123,1
124,1
125,2
126,0
127,2
128,0
129,0
13,0
130,1
131,1
132,0
133,1
134,0
135,1
136,0
137,1
138,1
139,1
14,2
140,0
141,0
142,0
143,2
144,1
145,0
146,2
147,1
148,0
149,0
15,0
150,0
151,2
152,2
153,1
154,0
155,1
156,1
157,0
158,2
159,1
16,0
160,1
161,0
162,1
163,1
164,1
165,1
166,0
167,1
168,0
169,1
17,1
170,1
171,0
172,0
173,1
174,0
175,1
176,1
177,1
178,1
179,0
18,0
180,2
181,1
182,1
183,1
184,1
185,1
186,1
187,0
188,1
189,1
19,1
190,0
191,1
192,0
193,1
194,1
195,0
196,1
197,1
198,2
199,2
2,1
20,1
200,1
201,1
202,1
203,0
204,3
205,1
206,1
207,1
208,1
209,1
21,2
210,0
211,1
212,1
213,0
214,1
215,1
216,0
217,1
218,2
219,0
22,1
220,0
221,2
222,2
223,0
224,2
225,1
226,1
227,1
228,1
229,0
23,1
230,1
231,1
232,2
233,2
234,0
235,1
236,1
237,1
238,2
239,1
24,1
240,1
241,0
242,0
243,0
244,2
245,1
246,1
247,1
248,1
249,0
25,0
250,2
251,1
252,0
253,1
254,1
255,1
256,0
257,1
258,1
259,1
26,2
260,1
261,2
262,1
263,1
264,0
265,0
266,0
267,2
268,1
269,1
27,0
270,1
271,2
272,1
273,1
274,0
275,1
276,0
277,1
278,1
279,1
28,1
280,2
281,1
282,2
283,1
284,0
285,1
286,2
287,1
288,1
289,1
29,3
290,2
291,1
292,0
293,0
294,1
295,1
296,0
297,1
298,2
299,1
3,1
30,0
300,1
301,1
302,1
303,2
304,1
305,1
306,1
307,1
308,1
309,1
31,1
310,0
311,3
312,1
313,1
314,0
315,1
316,0
317,0
318,1
319,0
32,0
320,0
321,1
322,1
323,1
324,1
325,0
326,0
327,0
328,1
329,1
33,1
330,2
331,1
332,0
333,1
334,0
335,1
336,0
337,1
338,0
339,3
34,0
340,1
341,0
342,2
343,0
344,1
345,1
346,0
347,1
348,2
349,1
35,0
350,0
351,0
352,1
353,0
354,1
355,0
356,1
357,0
358,1
359,1
36,1
360,1
361,1
