trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,aquatic detritus,1,0,1,1.0,0.0,0.7857142857142857,0.0,1.0,0.7857142857142857,0.0
2,2,aquatic heterotroph microbes,1,0,2,1.0,0.0,0.9166666666666666,0.0,1.0,0.9166666666666666,0.0
3,3,planktonic algae,1,1,2,2.0,1.0,1.375,0.0,2.0,1.375,0.0
4,4,benthic algae,1,2,2,2.0,1.0,1.375,5.5,2.0,1.375,5.5
5,5,macrophytic algae,1,1,1,3.0,2.0,2.2,2.2,3.0,2.2,2.2
6,6,aquatic fungi,1,2,2,3.0,2.0,2.75,1.8333333333333333,3.0,2.75,1.8333333333333333
7,7,nematodes,1,1,3,2.0,1.0,3.6666666666666665,11.0,2.0,3.6666666666666665,11.0
8,8,swimming filter feeders,1,3,1,4.0,3.0,3.6666666666666665,0.7857142857142857,4.071428571428571,4.583333333333333,0.7595238095238095
9,9,swimming filter feeders,1,4,3,4.142857142857142,3.0,5.5,0.7333333333333333,4.071428571428571,4.583333333333333,0.7595238095238095
10,10,swimming scrapers,1,3,0,4.0,3.0,0.0,0.6875,4.0,0.0,0.6875
11,11;12,arthropod omnivores,2,0,1,1.0,0.0,11.0,0.0,1.0,11.0,0.0
13,13,benthic predators,1,2,1,2.5,1.0,0.0,11.0,2.5,0.0,11.0
