SLN_ID,Detritus,S,interactions,L_D,C,Basal,Top,Herbiv,Carniv,meanInDegree,stdInDegree,mean_longest_chain,mean_NTP,max_NTP,mean_NTP_norm,TrOmniv,q_inCoherence,mean_path_len,std_path_len,Modularity
1,2,96,293,3.052083333,0.032127193,0.287234043,0.104166667,0.626865672,0.208955224,4.373134328,5.418363336,1.166666667,2.134236539,5.818181818,0.366821905,0.28358209,0.527998297,2.263724435,1.148644025,0
10,2,96,252,2.625,0.027631579,0.287234043,0.135416667,0.641791045,0.23880597,3.76119403,5.155431241,1.072916667,2.038399864,5.1875,0.392944552,0.223880597,0.457511742,2.027063599,0.942420001,0
100,2,96,323,3.364583333,0.035416667,0.287234043,0.03125,0.626865672,0.194029851,4.820895522,7.070907904,1.239583333,2.071483796,4.666666667,0.443889385,0.328358209,0.62817036,1.919456067,0.875972529,0
11,2,96,236,2.458333333,0.025877193,0.287234043,0.125,0.656716418,0.23880597,3.52238806,5.106022021,1.125,2.104653919,5.380434783,0.391168001,0.23880597,0.580039195,2.194444444,1.032690814,0
12,2,96,273,2.84375,0.029934211,0.287234043,0.083333333,0.641791045,0.223880597,4.074626866,5.59846687,1.177083333,2.092553544,4.948717949,0.422847607,0.253731343,0.684675768,2.167567568,0.979788732,0
13,2,96,218,2.270833333,0.023903509,0.287234043,0.229166667,0.71641791,0.208955224,3.253731343,3.345477651,0.989583333,1.989217035,4.797297297,0.414653692,0.194029851,0.423339081,1.878181818,0.856602113,0
14,2,96,307,3.197916667,0.033662281,0.287234043,0.072916667,0.671641791,0.208955224,4.582089552,6.742334039,1.104166667,2.05699225,4.875,0.421947128,0.253731343,0.5618088,2.077577046,0.931332194,0
15,2,96,325,3.385416667,0.035635965,0.287234043,0.041666667,0.611940299,0.23880597,4.850746269,5.021932899,1.125,2.096953743,4.666666667,0.449347231,0.268656716,0.708596981,1.994720169,0.886219135,0
16,2,96,215,2.239583333,0.023574561,0.287234043,0.197916667,0.686567164,0.208955224,3.208955224,3.527112792,1.083333333,2.002927056,4.927272727,0.406498111,0.208955224,0.512350485,2.032315978,1.006649039,0
17,2,96,289,3.010416667,0.031688596,0.287234043,0.104166667,0.626865672,0.223880597,4.313432836,5.123354001,1.197916667,2.045497653,4.416666667,0.463131544,0.268656716,0.780115834,2.148456057,1.097203771,0
18,2,96,280,2.916666667,0.030701754,0.287234043,0.083333333,0.656716418,0.253731343,4.179104478,6.169144563,1.020833333,1.99332827,4.9,0.406801688,0.179104478,0.462784314,1.945985401,0.940481291,0
19,2,96,258,2.6875,0.028289474,0.287234043,0.125,0.671641791,0.223880597,3.850746269,5.0400028,1.104166667,2.07858321,5.666666667,0.366808802,0.223880597,0.671985892,2.180141844,1.110462886,0
2,2,96,292,3.041666667,0.032017544,0.287234043,0.09375,0.641791045,0.208955224,4.358208955,7.066140974,1.020833333,2.015494854,4.619565217,0.436295357,0.268656716,0.577392304,1.833333333,0.764268252,0
20,2,96,237,2.46875,0.025986842,0.287234043,0.1875,0.686567164,0.194029851,3.537313433,5.349393503,1.09375,2.044228122,5.9,0.346479343,0.223880597,0.492594976,2.044481054,1.083783109,0
21,2,96,272,2.833333333,0.029824561,0.287234043,0.145833333,0.641791045,0.208955224,4.059701493,5.984527011,1.0625,2.041652567,5.166666667,0.395158561,0.298507463,0.543101308,1.933774834,0.886599875,0
22,2,96,332,3.458333333,0.036403509,0.287234043,0.083333333,0.641791045,0.223880597,4.955223881,8.136026943,1.1875,2.135536298,5.418803419,0.394097393,0.268656716,0.662025324,2.236680328,1.116003329,0
23,2,96,302,3.145833333,0.033114035,0.287234043,0.0625,0.656716418,0.223880597,4.507462687,8.464494712,1.135416667,2.097089042,5.413333333,0.387393296,0.23880597,0.643956728,2.229381443,0.975960032,0
24,2,96,279,2.90625,0.030592105,0.287234043,0.166666667,0.656716418,0.208955224,4.164179104,6.277900187,1.020833333,2.003875469,4.857142857,0.412562597,0.223880597,0.403979692,1.672212978,0.70288211,0
25,2,96,244,2.541666667,0.026754386,0.287234043,0.197916667,0.626865672,0.208955224,3.641791045,4.568341296,1.15625,2.103662815,5.5,0.382484148,0.28358209,0.627228147,2.146969697,1.105060741,0
26,2,96,246,2.5625,0.026973684,0.287234043,0.15625,0.626865672,0.23880597,3.671641791,4.109811098,1.197916667,2.127938203,5.368421053,0.396380646,0.28358209,0.740915784,2.133333333,1.07195507,0
27,2,96,319,3.322916667,0.03497807,0.287234043,0.052083333,0.611940299,0.194029851,4.76119403,6.055524781,1.104166667,2.044548848,4.454545455,0.458980354,0.298507463,0.654730099,1.824852071,0.752624245,0
28,2,96,265,2.760416667,0.029057018,0.287234043,0.083333333,0.626865672,0.223880597,3.955223881,5.358179349,1.104166667,2.082418689,5.318181818,0.391565907,0.28358209,0.585268913,2.017639077,0.951807985,0
29,2,96,193,2.010416667,0.021162281,0.287234043,0.291666667,0.641791045,0.268656716,2.880597015,3.092132676,1.125,2.132113162,6.666666667,0.319816974,0.208955224,0.736885892,1.930851064,1.159542585,0
3,2,96,271,2.822916667,0.029714912,0.287234043,0.083333333,0.641791045,0.208955224,4.044776119,6.09379425,1.135416667,2.08829907,4.882352941,0.427723906,0.268656716,0.637565753,1.947443182,0.872412164,0
