web_id,n_lumped
1,3
10,5
100,5
1000,5
101,4
102,4
103,3
104,6
105,6
106,6
107,4
108,7
109,4
11,6
110,3
111,7
112,4
113,6
114,4
115,5
116,5
117,3
118,4
119,4
12,1
120,6
121,6
122,4
123,4
124,5
125,8
126,5
127,3
128,7
129,7
13,3
130,8
131,6
132,4
133,5
134,4
135,4
136,6
137,8
138,5
139,5
14,5
140,4
141,3
142,4
143,3
144,5
145,3
146,5
147,4
148,5
149,6
15,4
150,5
151,6
152,6
153,5
154,5
155,6
156,5
157,5
158,5
159,4
16,3
160,4
161,6
162,3
163,5
164,3
165,5
166,6
167,4
168,5
169,5
17,7
170,5
171,5
172,4
173,4
174,5
175,3
176,4
177,5
178,4
179,4
18,4
180,5
181,4
182,6
183,3
184,3
185,6
186,7
187,3
188,6
189,5
19,5
190,5
191,6
192,5
193,6
194,6
195,6
196,6
197,6
198,3
199,7
2,4
20,7
200,6
201,4
202,5
203,3
204,6
205,6
206,4
207,7
208,5
209,5
21,4
210,4
211,4
212,7
213,6
214,6
215,1
216,6
217,4
218,6
219,3
22,5
220,3
221,4
222,5
223,2
224,6
225,3
226,5
227,4
228,5
229,5
23,4
230,5
231,5
232,5
233,3
234,4
235,7
236,5
237,2
238,5
239,5
24,6
240,2
241,4
242,4
243,5
244,6
245,5
246,6
247,4
248,6
249,3
25,6
250,5
251,6
252,5
253,2
254,5
255,5
256,6
257,6
258,4
259,4
26,5
260,4
261,5
262,2
263,5
264,5
265,5
266,5
267,7
268,5
269,8
27,2
270,3
271,5
272,6
273,8
274,4
275,4
276,5
277,2
278,5
279,6
28,4
280,6
281,6
282,3
283,5
284,3
285,3
286,5
287,2
288,7
289,6
29,5
290,3
291,3
292,4
293,3
294,4
295,6
296,5
297,3
298,5
299,7
3,6
30,4
300,4
301,4
302,4
303,4
304,4
305,3
306,1
307,2
308,3
309,4
31,5
310,3
311,4
312,3
313,4
314,5
315,5
316,5
317,9
318,3
319,4
32,7
320,5
321,2
322,5
323,5
324,3
325,4
326,1
327,6
328,7
329,2
33,7
330,6
331,4
332,5
333,6
334,4
335,4
336,5
337,5
338,4
339,3
34,7
340,6
341,6
342,7
343,4
344,5
345,6
346,4
347,3
348,5
349,3
35,5
350,3
351,7
352,5
353,7
354,6
355,3
356,5
357,4
358,6
359,4
36,4
360,6
361,5
362,3
363,8
364,7
365,6
366,5
367,4
368,6
369,3
37,4
370,5
371,4
372,3
373,4
374,5
375,3
376,5
377,7
378,2
379,5
38,4
380,3
381,5
382,5
383,3
384,2
385,4
386,3
387,4
388,5
389,6
39,3
390,5
391,3
392,5
393,6
394,5
395,5
396,2
397,5
398,4
399,3
4,6
40,3
400,4
401,5
402,2
403,5
404,4
405,6
406,7
407,5
408,6
409,5
41,8
410,7
411,4
412,4
413,6
414,5
415,7
416,4
417,3
418,3
419,2
42,6
420,1
421,4
422,5
423,4
424,6
425,7
426,5
427,6
428,6
429,3
43,5
430,5
431,8
432,6
433,5
434,4
435,5
436,6
437,3
438,6
439,4
44,5
440,3
441,7
442,2
443,5
444,2
445,2
446,5
447,6
448,7
449,5
45,3
450,6
451,4
452,6
453,5
454,2
455,4
456,5
457,4
458,3
459,3
46,5
460,6
461,3
462,5
463,6
464,5
465,3
466,6
467,3
468,5
469,8
47,4
470,4
471,5
472,4
473,3
474,4
475,4
476,5
477,6
478,3
479,6
48,6
480,2
481,7
482,7
483,3
484,4
485,6
486,7
487,5
488,7
489,6
49,6
490,5
491,6
492,4
493,5
494,6
495,4
496,6
497,9
498,5
499,5
5,4
50,4
500,4
501,4
502,4
503,6
504,4
505,5
506,7
507,7
508,5
509,5
51,6
510,4
511,5
512,4
513,5
514,4
515,7
516,4
517,7
518,9
519,5
52,6
520,6
521,5
522,5
523,2
524,5
525,4
526,4
527,4
528,6
529,5
53,5
530,5
531,6
532,8
533,5
534,7
535,5
536,4
537,4
538,5
539,4
54,6
540,3
541,4
542,7
543,4
544,6
545,6
546,5
547,4
548,7
549,5
55,7
550,6
551,4
552,7
553,6
554,4
555,7
556,7
557,5
558,7
559,4
56,4
560,6
561,5
562,4
563,4
564,6
565,6
566,4
567,6
568,6
569,5
57,7
570,4
571,4
572,9
573,3
574,4
575,4
576,5
577,7
578,6
579,4
58,3
580,4
581,4
582,4
583,1
584,5
585,6
586,3
587,7
588,5
589,3
59,2
590,5
591,6
592,4
593,6
594,7
595,8
596,7
597,7
598,3
599,1
6,7
60,3
600,5
601,3
602,3
603,3
604,4
605,9
606,3
607,3
608,4
609,5
61,2
610,5
611,5
612,4
613,5
614,8
615,4
616,6
617,8
618,2
619,3
62,3
620,5
621,5
622,3
623,8
624,2
625,3
626,3
627,5
628,4
629,3
63,3
630,5
631,4
632,5
633,5
634,5
635,5
636,4
637,3
638,3
639,7
64,3
640,6
641,4
642,5
643,4
644,7
645,5
646,6
647,3
648,2
649,3
65,4
650,6
651,9
652,6
653,3
654,5
655,1
656,5
657,5
658,6
659,5
66,6
660,5
661,6
662,4
663,6
664,4
665,4
666,4
667,2
668,3
669,4
67,6
670,4
671,4
672,6
673,4
674,4
675,5
676,6
677,4
678,3
679,6
68,7
680,6
681,3
682,5
683,6
684,5
685,4
686,5
