SLN_ID,max_chain_len
1,7
10,11
100,9
1000,10
101,8
102,11
103,7
104,10
105,6
106,9
107,12
108,10
109,9
11,8
110,9
111,8
112,9
113,9
114,8
115,7
116,8
117,6
118,8
119,9
12,8
120,10
121,8
122,7
123,11
124,10
125,12
126,9
127,11
128,9
129,10
13,9
130,9
131,8
132,10
133,7
134,11
135,8
136,10
137,7
138,8
139,11
14,8
140,7
141,9
142,10
143,8
144,8
145,11
146,10
147,6
148,6
149,10
15,9
150,6
151,7
152,10
153,9
154,9
155,9
156,9
157,6
158,10
159,9
16,7
160,6
161,9
162,9
163,12
164,9
165,9
166,8
167,9
168,10
169,8
17,10
170,7
171,8
172,8
173,10
174,10
175,8
176,7
177,11
178,9
179,7
18,7
180,8
181,10
182,9
183,8
184,10
185,8
186,12
187,9
188,10
189,5
19,10
190,9
191,7
192,9
193,10
194,12
195,10
196,10
197,9
198,7
199,10
2,10
20,12
200,9
201,10
202,12
203,6
204,7
205,9
206,11
207,11
208,9
209,9
21,12
210,8
211,10
212,7
213,11
214,9
215,11
216,8
217,7
218,12
219,8
22,10
220,10
221,10
222,9
223,10
224,9
225,9
226,8
227,7
228,9
229,9
23,7
230,8
231,8
232,6
233,8
234,9
235,10
236,11
237,7
238,10
239,9
24,9
240,9
241,8
242,10
243,9
244,7
245,8
246,10
247,7
248,7
249,9
25,7
250,7
251,9
252,9
253,11
254,9
255,8
256,9
257,8
258,9
259,7
26,11
260,9
261,12
262,10
263,10
264,10
265,10
266,9
267,10
268,10
269,10
27,10
270,8
271,7
272,10
273,9
274,8
275,7
276,10
277,9
278,9
279,8
28,7
280,11
281,7
282,11
283,10
284,8
285,9
286,9
287,9
288,8
289,7
29,7
290,6
291,10
292,10
293,10
294,7
295,7
296,6
297,11
298,11
299,7
3,7
30,9
300,12
301,10
302,9
303,8
304,9
305,8
306,8
307,11
308,7
309,9
31,10
310,10
311,11
312,10
313,10
314,7
315,10
316,10
317,8
318,7
319,8
32,9
320,8
321,9
322,9
323,8
324,12
325,7
326,10
327,9
328,11
329,9
33,9
330,8
331,9
332,9
333,8
334,10
335,10
336,8
337,10
338,10
339,9
34,7
340,9
341,9
342,10
343,8
344,10
345,11
346,6
347,10
348,9
349,7
35,9
350,6
351,10
352,9
353,6
354,9
355,6
356,8
357,11
358,10
359,9
36,9
360,10
361,8
362,10
363,7
364,9
365,9
366,10
367,7
368,9
369,10
37,9
370,8
371,9
372,7
373,8
374,9
375,11
376,11
377,6
378,10
379,7
38,9
380,10
381,8
382,10
383,10
384,7
385,10
386,11
387,10
388,9
389,9
39,8
390,8
391,11
392,9
393,6
394,7
395,11
396,6
397,10
398,9
399,8
4,11
40,12
400,9
401,9
402,9
403,9
404,8
405,6
406,9
407,10
408,9
409,10
41,7
410,8
411,10
