web_id,n_lumped
1,1
10,0
100,0
1000,0
101,1
102,1
103,0
104,0
105,0
106,0
107,0
108,0
109,1
11,1
110,0
111,0
112,0
113,0
114,2
115,0
116,0
117,0
118,0
119,1
12,0
120,0
121,0
122,0
123,0
124,0
125,0
126,1
127,1
128,0
129,2
13,1
130,0
131,1
132,1
133,0
134,0
135,0
136,0
137,1
138,0
139,0
14,1
140,0
141,0
142,1
143,1
144,0
145,0
146,0
147,0
148,0
149,1
15,2
150,0
151,0
152,0
153,0
154,0
155,1
156,1
157,0
158,0
159,0
16,0
160,0
161,2
162,0
163,0
164,0
165,1
166,2
167,1
168,1
169,1
17,0
170,0
171,1
172,1
173,0
174,0
175,1
176,0
177,0
178,0
179,0
18,0
180,0
181,0
182,1
183,0
184,1
185,0
186,0
187,0
188,0
189,1
19,0
190,2
191,0
192,0
193,0
194,1
195,0
196,0
197,0
198,0
199,1
2,2
20,0
200,0
201,1
202,0
203,0
204,0
205,0
206,0
207,1
208,0
209,0
21,0
210,0
211,1
212,1
213,0
214,1
215,0
216,1
217,3
218,2
219,0
22,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,1
228,0
229,0
23,1
230,1
231,0
232,0
233,0
234,1
235,0
236,0
237,0
238,0
239,2
24,0
240,0
241,0
242,0
243,0
244,1
245,0
246,0
247,0
248,0
249,0
25,0
250,1
251,0
252,0
253,1
254,2
255,0
256,0
257,0
258,0
259,1
26,0
260,0
261,0
262,0
263,0
264,1
265,0
266,0
267,1
268,0
269,0
27,0
270,2
271,1
272,1
273,0
274,0
275,0
276,0
277,0
278,0
279,1
28,1
280,0
281,0
282,1
283,0
284,0
285,1
286,1
287,0
288,0
289,0
29,0
290,2
291,0
292,0
293,0
294,2
295,0
296,1
297,0
298,0
299,0
3,1
30,1
300,1
301,0
302,0
303,0
304,2
305,1
306,0
307,0
308,0
309,0
31,0
310,0
311,0
312,1
313,0
314,0
315,0
316,1
317,0
318,1
319,2
32,0
320,1
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
33,1
330,1
331,0
332,0
333,2
334,0
335,0
336,1
337,1
338,0
339,0
34,0
340,0
341,2
342,0
343,0
344,0
345,1
346,0
347,0
348,0
349,0
35,0
350,0
351,0
352,1
353,1
354,1
355,0
356,1
357,0
358,0
359,1
36,0
360,0
361,0
362,0
363,0
364,2
365,0
366,1
367,0
368,1
369,0
37,0
370,2
371,0
372,1
373,0
374,0
375,0
376,0
377,0
378,0
379,1
38,1
380,0
381,1
382,0
383,0
384,0
385,1
386,0
387,0
388,0
389,0
39,1
390,0
391,0
392,0
393,1
394,0
395,0
396,0
397,1
398,0
399,1
4,0
40,1
400,0
401,1
402,0
403,0
404,1
405,0
406,0
407,1
408,0
409,0
41,1
410,1
411,0
412,0
413,0
414,0
415,1
416,1
417,1
418,1
419,1
42,2
420,1
421,0
422,1
423,0
424,2
425,0
426,0
427,0
428,0
429,1
43,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,1
44,0
440,0
441,1
442,0
443,0
444,0
445,1
446,1
447,0
448,0
449,0
45,1
450,1
451,0
452,0
453,1
454,0
455,0
456,0
457,0
458,0
459,0
46,0
460,0
461,1
462,1
463,2
464,0
465,0
466,1
467,0
468,0
469,0
47,0
470,1
471,0
472,1
473,1
474,0
475,0
476,0
477,0
478,0
479,1
48,0
480,1
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,1
489,0
49,0
490,1
491,0
492,2
493,0
494,0
495,1
496,1
497,0
498,1
499,0
5,0
50,0
500,1
501,0
502,1
503,0
504,0
505,0
506,0
507,0
508,0
509,0
51,1
510,0
511,1
512,0
513,0
514,2
515,1
516,1
517,0
518,0
519,1
52,0
520,1
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,1
529,0
53,1
530,1
531,1
532,0
533,0
534,0
535,1
536,0
537,0
538,0
539,0
54,0
540,0
541,1
542,0
543,0
544,0
545,0
546,1
547,1
548,0
549,1
55,1
550,0
551,0
552,0
553,0
554,0
555,1
556,1
557,0
558,0
559,0
56,0
560,0
561,1
562,0
563,1
