trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,terrestrial detritus,1,0,3,1.0,0.0,0.6744186046511628,0.0,1.0,0.6744186046511628,0.0
2,2,land plants,1,0,4,1.0,0.0,0.7435897435897436,0.0,1.0,0.7435897435897436,0.0
3,3,heterotrophic microbes,1,2,6,2.5,1.0,0.90625,29.0,2.5,0.90625,29.0
4,4,terrestrial fungi,1,2,5,2.0,1.0,0.90625,14.5,2.0,0.90625,14.5
5,5,terrestrial microbivores,1,2,4,2.5,2.0,3.625,7.25,2.5,3.625,7.25
6,6,terrestrial detritivores,1,2,4,2.6666666666666665,2.0,3.2222222222222223,4.833333333333333,2.6333333333333333,3.061111111111111,4.833333333333333
7,7,terrestrial detritivores,1,4,6,2.6,2.0,2.9,4.833333333333333,2.6333333333333333,3.061111111111111,4.833333333333333
8,8,mites,1,5,1,2.888888888888889,2.0,2.0714285714285716,3.2222222222222223,2.888888888888889,2.646825396825397,3.2222222222222223
9,9,mites,1,5,3,2.888888888888889,2.0,3.2222222222222223,3.2222222222222223,2.888888888888889,2.646825396825397,3.2222222222222223
10,10,small terrestrial arthropod predators,1,9,3,3.8,2.0,3.625,1.45,3.8222222222222224,3.4907407407407405,1.7976608187134502
11,11,small terrestrial arthropod predators,1,1,5,3.333333333333333,3.0,3.2222222222222223,2.4166666666666665,3.8222222222222224,3.4907407407407405,1.7976608187134502
12,12,small terrestrial arthropod predators,1,1,4,4.333333333333334,4.0,3.625,1.5263157894736843,3.8222222222222224,3.4907407407407405,1.7976608187134502
13,13,large terrestrial arthropod predators,1,7,2,4.260869565217391,4.0,29.0,0.7837837837837838,4.242555422372356,16.62666666666667,0.8956600103658928
14,14,large terrestrial arthropod predators,1,2,2,4.714285714285714,4.0,14.5,0.6904761904761905,4.242555422372356,16.62666666666667,0.8956600103658928
15,15,large terrestrial arthropod predators,1,3,2,3.8,4.0,4.833333333333333,0.8529411764705882,4.242555422372356,16.62666666666667,0.8956600103658928
16,16,large terrestrial arthropod predators,1,11,1,4.289473684210526,3.0,29.0,1.0357142857142858,4.242555422372356,16.62666666666667,0.8956600103658928
17,17,large terrestrial arthropod predators,1,8,4,4.148148148148149,3.0,5.8,1.1153846153846154,4.242555422372356,16.62666666666667,0.8956600103658928
18,18,aquatic detritus,1,0,1,1.0,0.0,1.9333333333333333,0.0,1.0,1.9333333333333333,0.0
19,19,aquatic heterotroph microbes,1,3,3,2.5,1.0,3.2222222222222223,14.5,2.5,3.2222222222222223,14.5
20,20,planktonic algae,1,0,5,1.0,0.0,3.2222222222222223,0.0,1.0,3.2222222222222223,0.0
21,21,benthic algae,1,0,8,1.0,0.0,0.90625,0.0,1.0,0.90625,0.0
22,22,macrophytic algae,1,0,3,1.0,0.0,0.8787878787878788,0.0,1.0,0.8787878787878788,0.0
23,23,aquatic fungi,1,2,2,2.0,1.0,4.833333333333333,14.5,2.0,4.833333333333333,14.5
24,24,nematodes,1,5,4,2.5,2.0,1.3181818181818181,4.142857142857143,2.5,1.3181818181818181,4.142857142857143
25,25,swimming filter feeders,1,2,1,2.6666666666666665,2.0,5.8,7.25,2.333333333333333,6.525,18.125
26,26,swimming filter feeders,1,1,2,2.0,1.0,7.25,29.0,2.333333333333333,6.525,18.125
27,27,swimming scrapers,1,3,1,2.8,2.0,29.0,3.2222222222222223,2.8,29.0,3.2222222222222223
28,28,arthropod omnivores,1,3,1,3.7272727272727275,4.0,9.666666666666666,1.0,3.6136363636363638,12.083333333333332,1.0370370370370372
29,29,arthropod omnivores,1,7,2,3.5,4.0,14.5,1.0740740740740742,3.6136363636363638,12.083333333333332,1.0370370370370372
30,30,benthic predators,1,2,0,4.0,5.0,0.0,0.7073170731707317,4.0,0.0,0.7073170731707317
