SLN_no,interactions,L_D,C,Basal,Top,Herbiv,Carniv,meanInDegree,stdInDegree,mean_longest_chain,mean_NTP,max_NTP,mean_NTP_norm,TrOmniv,q_inCoherence,mean_path_len,std_path_len,Modularity
1,84,2.27027027,0.063063063,0.297297297,0.108108108,0.166666667,0.625,3.5,3.538606948,1.324324324,2.396276525,5.047619048,0.474734028,0.583333333,0.714324184,2,0.915475416,0
2,102,2.756756757,0.076576577,0.297297297,0.027027027,0.208333333,0.541666667,4.25,3.56614516,1.405405405,2.349813862,4.5,0.522180858,0.625,0.725656328,1.889705882,0.788971904,0
3,104,2.810810811,0.078078078,0.297297297,0,0.166666667,0.541666667,4.333333333,3.930556622,1.405405405,2.4153414,4.568181818,0.528731451,0.625,0.78826153,1.917241379,0.771494288,0
4,73,1.972972973,0.054804805,0.297297297,0.054054054,0.166666667,0.458333333,3.041666667,2.053187695,1.540540541,2.393944887,5.210526316,0.459443968,0.708333333,0.862377771,2.104761905,0.96764707,0
5,75,2.027027027,0.056306306,0.297297297,0.054054054,0.125,0.5,3.125,3.097158586,1.459459459,2.447575205,5.5,0.445013674,0.75,0.778219674,2.254901961,1.072988638,0
6,97,2.621621622,0.072822823,0.297297297,0.054054054,0.208333333,0.541666667,4.041666667,3.758806086,1.405405405,2.364950155,4.909090909,0.481749106,0.583333333,0.778789304,1.906614786,0.865481159,0
7,93,2.513513514,0.06981982,0.297297297,0.108108108,0.166666667,0.5,3.875,3.138990422,1.297297297,2.330813311,5.4,0.431632095,0.708333333,0.712245764,1.918699187,0.858032833,0
8,68,1.837837838,0.051051051,0.297297297,0.162162162,0.125,0.541666667,2.833333333,2.664854457,1.459459459,2.368512912,6,0.394752152,0.416666667,0.766205005,1.987951807,1.008977591,0
9,61,1.648648649,0.045795796,0.297297297,0.27027027,0.333333333,0.541666667,2.541666667,2.466808652,1.351351351,2.221541647,4.470588235,0.49692379,0.416666667,0.76894676,1.874172185,0.810799077,0
10,81,2.189189189,0.060810811,0.297297297,0.081081081,0.333333333,0.458333333,3.375,3.033329352,1.324324324,2.282865333,4.6,0.496275072,0.5,0.799225756,1.789156627,0.822488765,0
11,65,1.756756757,0.048798799,0.297297297,0.027027027,0.125,0.541666667,2.708333333,1.852827843,1.432432432,2.422598565,5,0.484519713,0.375,0.767916637,1.844594595,0.846865672,0
12,86,2.324324324,0.064564565,0.297297297,0.054054054,0.166666667,0.458333333,3.583333333,3.133502925,1.378378378,2.325370795,5.125,0.453730887,0.625,0.669354143,1.871559633,0.826975138,0
13,69,1.864864865,0.051801802,0.297297297,0.189189189,0.25,0.458333333,2.875,2.112334377,1.405405405,2.315305411,4.642857143,0.498681166,0.625,0.611034465,1.958333333,0.867283979,0
