trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,terrestrial detritus,1,0,3,1.0,0.0,1.5263157894736843,0.0,1.0,1.5263157894736843,0.0
2,2,land plants,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3,3,heterotrophic microbes,1,2,3,2.5,1.0,1.9333333333333333,29.0,2.5,1.9333333333333333,29.0
4,4,terrestrial fungi,1,1,3,2.0,1.0,1.16,0.0,2.0,1.16,0.0
5,5,terrestrial microbivores,1,1,2,2.0,1.0,4.833333333333333,29.0,2.0,4.833333333333333,29.0
6,6,terrestrial detritivores,1,4,3,2.3333333333333335,1.0,3.2222222222222223,7.25,2.166666666666667,5.236111111111111,18.125
7,7,terrestrial detritivores,1,1,2,2.0,1.0,7.25,29.0,2.166666666666667,5.236111111111111,18.125
8,8,mites,1,2,3,2.5,2.0,4.142857142857143,4.833333333333333,2.75,4.9714285714285715,7.25
9,9,mites,1,1,3,3.0,2.0,5.8,9.666666666666666,2.75,4.9714285714285715,7.25
10,10,small terrestrial arthropod predators,1,9,3,3.75,2.0,14.5,1.6111111111111112,3.5,8.377777777777778,2.1797385620915035
11,11,small terrestrial arthropod predators,1,1,4,3.0,2.0,4.833333333333333,3.2222222222222223,3.5,8.377777777777778,2.1797385620915035
12,12,small terrestrial arthropod predators,1,3,1,3.75,3.0,5.8,1.7058823529411764,3.5,8.377777777777778,2.1797385620915035
13,13,large terrestrial arthropod predators,1,2,0,3.6,3.0,0.0,1.0740740740740742,3.9450000000000003,8.7,1.684745494157259
14,14,large terrestrial arthropod predators,1,1,2,3.5,3.0,14.5,2.6363636363636362,3.9450000000000003,8.7,1.684745494157259
15,15,large terrestrial arthropod predators,1,2,1,4.0,4.0,29.0,1.7058823529411764,3.9450000000000003,8.7,1.684745494157259
16,16,large terrestrial arthropod predators,1,2,1,4.5,3.0,0.0,1.9333333333333333,3.9450000000000003,8.7,1.684745494157259
17,17,large terrestrial arthropod predators,1,8,1,4.125,3.0,0.0,1.0740740740740742,3.9450000000000003,8.7,1.684745494157259
18,18,aquatic detritus,1,0,1,1.0,0.0,1.7058823529411764,0.0,1.0,1.7058823529411764,0.0
19,19,aquatic heterotroph microbes,1,1,2,2.0,1.0,2.6363636363636362,29.0,2.0,2.6363636363636362,29.0
20,20,planktonic algae,1,0,3,1.0,0.0,9.666666666666666,0.0,1.0,9.666666666666666,0.0
21,21,benthic algae,1,0,4,1.0,0.0,1.3181818181818181,0.0,1.0,1.3181818181818181,0.0
22,22,macrophytic algae,1,0,1,1.0,0.0,1.45,0.0,1.0,1.45,0.0
23,23,aquatic fungi,1,2,0,2.0,1.0,0.0,14.5,2.0,0.0,14.5
24,24,nematodes,1,2,3,2.0,1.0,2.4166666666666665,14.5,2.0,2.4166666666666665,14.5
25,25,swimming filter feeders,1,1,1,3.0,2.0,4.833333333333333,9.666666666666666,2.75,2.4166666666666665,8.458333333333332
26,26,swimming filter feeders,1,2,0,2.5,2.0,0.0,7.25,2.75,2.4166666666666665,8.458333333333332
27,27,swimming scrapers,1,1,0,2.0,1.0,0.0,29.0,2.0,0.0,29.0
28,28,arthropod omnivores,1,1,1,5.0,4.0,29.0,2.9,4.5,19.333333333333332,3.8666666666666663
29,29,arthropod omnivores,1,1,1,4.0,3.0,9.666666666666666,4.833333333333333,4.5,19.333333333333332,3.8666666666666663
30,30,benthic predators,1,1,0,6.0,5.0,0.0,1.9333333333333333,6.0,0.0,1.9333333333333333
