SLN_ID,max_chain_len
1,10
10,10
100,9
1000,11
101,10
102,8
103,6
104,12
105,7
106,10
107,10
108,9
109,9
11,8
110,10
111,12
112,10
113,10
114,11
115,10
116,8
117,11
118,11
119,9
12,9
120,10
121,11
122,12
123,9
124,12
125,8
126,7
127,8
128,10
129,12
13,9
130,8
131,10
132,11
133,12
134,11
135,10
136,11
137,9
138,8
139,11
14,9
140,11
141,10
142,13
143,10
144,10
145,9
146,10
147,9
148,9
149,9
15,10
150,6
151,10
152,11
153,8
154,11
155,7
156,9
157,13
158,9
159,10
16,8
160,12
161,7
162,9
163,10
164,9
165,11
166,11
167,10
168,7
169,9
17,10
170,8
171,11
172,7
173,11
174,9
175,10
176,11
177,10
178,10
179,8
18,11
180,12
181,10
182,10
183,10
184,10
185,10
186,11
187,10
188,9
189,12
19,13
190,10
191,8
192,11
193,11
194,10
195,8
196,12
197,10
198,10
199,9
2,9
20,12
200,11
201,9
202,7
203,9
204,10
205,9
206,11
207,13
208,8
209,11
21,10
210,9
211,11
212,8
213,13
214,8
215,8
216,9
217,9
218,11
219,12
22,12
220,8
221,11
222,8
223,9
224,9
225,10
226,12
227,8
228,8
229,10
23,9
230,11
231,10
232,10
233,11
234,10
235,7
236,11
237,12
238,12
239,10
24,12
240,9
241,12
242,10
243,11
244,11
245,10
246,8
247,9
248,10
249,9
25,10
250,8
251,10
252,8
253,10
254,9
255,10
256,12
257,11
258,8
259,11
26,11
260,12
261,7
262,8
263,11
264,10
265,11
266,7
267,12
268,7
269,9
27,9
270,8
271,13
272,11
273,12
274,8
275,11
276,9
277,8
278,11
279,10
28,10
280,11
281,11
282,10
283,8
284,9
285,9
286,12
287,9
288,10
289,10
29,12
290,9
291,6
292,11
293,12
294,12
295,9
296,13
297,10
298,9
299,8
3,9
30,8
300,9
301,11
302,9
303,11
304,8
305,10
306,9
307,12
308,8
309,9
31,8
310,11
311,10
312,9
313,10
314,13
315,8
316,11
317,12
318,10
319,10
32,7
320,13
321,12
322,12
323,7
324,11
325,9
326,10
327,11
328,10
329,7
33,7
330,8
331,10
332,12
333,8
334,8
335,9
336,8
337,8
338,9
339,9
34,12
340,9
341,10
342,12
343,11
344,11
345,9
346,9
347,13
348,11
349,9
35,11
350,7
351,11
352,7
353,11
354,10
355,10
356,9
357,13
358,10
359,9
36,10
360,12
361,8
362,8
363,12
364,11
365,8
366,12
367,12
368,11
369,11
37,9
370,8
371,7
372,10
373,8
374,7
375,8
376,12
377,11
378,9
379,9
38,9
380,11
381,12
382,11
383,11
384,11
385,7
386,6
387,10
388,7
389,11
39,8
390,11
391,13
392,9
393,9
394,13
395,10
396,9
397,11
398,9
399,12
4,13
40,9
400,10
401,10
402,12
403,8
404,9
405,12
406,10
407,10
408,11
409,8
41,11
410,12
411,11
412,10
413,5
414,13
415,9
416,8
417,6
418,12
419,8
42,9
420,10
421,8
422,5
423,9
424,9
425,11
426,10
427,8
428,12
429,10
43,9
430,10
431,11
432,14
433,12
434,14
435,9
436,10
437,8
438,9
439,12
44,9
440,11
441,7
442,8
443,10
444,10
445,8
446,11
447,12
448,12
449,11
45,10
450,11
451,10
452,13
453,9
454,10
455,8
456,7
457,12
458,10
459,7
46,9
460,7
461,9
462,8
463,7
464,8
465,11
466,9
467,8
468,8
469,10
47,9
470,12
471,10
472,8
473,12
474,10
475,7
476,7
477,11
478,11
479,10
48,10
480,7
481,10
482,9
483,10
484,12
485,7
486,11
487,13
488,10
489,12
49,11
490,9
491,11
492,10
493,9
494,7
495,12
496,10
497,11
498,11
499,12
5,9
50,11
500,11
501,10
502,11
503,10
504,10
505,10
506,11
507,11
508,11
509,11
51,12
510,8
511,11
512,8
513,10
514,8
515,7
516,9
517,10
518,8
519,14
52,8
520,9
521,7
522,12
523,10
524,11
525,9
526,9
527,11
528,9
529,8
53,10
530,11
531,7
532,12
533,12
534,12
535,11
536,9
537,12
538,10
539,9
54,10
540,11
541,12
542,10
543,7
544,11
545,11
546,11
547,11
548,11
549,8
55,11
550,12
551,11
552,8
553,11
554,12
555,9
556,11
557,10
558,10
559,10
56,10
560,10
561,9
562,7
563,7
564,11
565,10
566,12
567,12
568,9
569,8
57,9
570,8
571,11
572,11
573,13
574,12
575,11
576,9
577,9
578,12
579,10
58,8
580,9
581,11
582,10
583,11
584,10
585,10
586,12
587,7
588,9
589,9
59,10
590,10
591,9
592,8
593,10
594,6
595,10
596,8
597,7
598,10
599,13
6,9
60,9
600,10
601,10
602,11
603,10
604,10
605,11
606,7
607,8
608,8
609,10
61,12
610,10
611,10
612,11
613,10
614,10
615,9
616,9
617,12
618,10
619,10
62,11
620,9
621,13
622,8
623,9
624,9
625,9
626,10
627,11
628,10
629,9
63,10
630,10
631,11
632,9
633,8
634,11
635,13
636,11
637,9
638,10
639,10
64,12
640,11
641,13
642,9
643,8
644,7
645,12
646,8
647,10
648,12
649,7
65,9
650,9
651,10
652,8
653,10
654,12
655,10
656,12
657,12
658,10
659,10
66,12
660,8
661,9
662,10
663,10
664,10
665,11
666,10
667,11
668,8
669,11
67,12
670,9
671,9
672,11
673,9
674,12
675,6
676,9
677,9
678,10
679,11
68,11
680,6
681,8
682,9
683,12
684,9
685,10
686,11
687,12
688,8
689,10
69,13
690,9
691,11
692,11
693,11
694,9
695,9
696,10
697,9
698,11
699,8
7,9
70,6
700,9
701,9
702,10
703,12
704,12
705,12
706,10
707,9
708,12
709,11
71,11
710,7
711,8
712,13
713,12
714,9
715,9
716,13
717,8
718,10
719,7
72,12
720,12
721,9
722,9
723,9
724,13
725,9
726,10
727,9
728,8
729,9
73,8
730,10
731,10
732,10
733,8
734,9
735,12
736,11
737,12
738,11
739,11
74,10
740,10
741,11
742,10
743,11
744,9
745,14
746,8
747,11
748,11
749,8
75,11
750,10
751,9
752,12
753,9
754,9
755,9
756,10
757,12
758,9
759,9
76,12
760,10
761,11
762,11
763,10
764,13
765,9
766,10
767,12
768,12
769,12
77,9
770,11
771,9
772,7
773,11
774,8
775,12
776,7
777,12
778,9
779,8
78,9
780,10
781,12
782,13
783,8
784,10
785,11
786,10
787,9
788,11
789,8
79,12
790,10
791,8
792,9
793,12
794,7
795,11
796,11
797,10
798,13
799,10
8,11
80,10
800,8
801,8
802,9
803,13
804,9
805,10
806,10
807,7
808,10
809,9
81,10
810,12
811,9
812,10
813,9
814,10
815,9
816,12
817,9
818,10
819,11
82,10
820,12
821,8
822,7
823,12
824,12
825,9
826,7
827,11
828,9
829,13
83,8
830,9
831,12
832,9
833,9
834,6
835,11
836,12
837,10
838,10
839,10
84,13
840,9
841,12
842,12
843,8
844,10
845,9
846,8
847,8
848,10
849,7
85,6
850,12
851,5
852,10
853,10
854,9
855,12
856,11
857,9
858,10
859,10
86,10
860,11
861,12
862,10
863,10
864,11
865,11
866,12
867,10
868,12
869,8
87,8
870,8
871,9
872,8
873,8
874,11
875,9
876,13
877,11
878,9
879,11
88,9
880,10
881,7
882,7
883,12
884,6
885,10
886,12
887,12
888,8
889,7
89,11
890,8
891,10
892,11
893,10
894,11
895,10
896,9
897,12
898,9
899,8
9,9
90,10
900,13
901,10
902,9
903,10
904,9
905,8
906,8
907,9
908,9
909,12
91,6
910,13
911,12
912,13
913,10
914,12
915,12
916,8
917,9
918,10
919,12
92,7
920,9
921,9
922,9
923,13
924,11
925,10
926,10
927,11
928,11
929,11
93,11
930,9
931,9
932,10
933,11
934,10
935,11
936,8
937,8
938,12
939,10
94,13
940,10
941,8
942,13
943,10
944,8
945,5
946,13
947,9
948,9
949,12
95,13
950,10
951,7
952,11
953,8
954,8
955,9
956,11
957,6
958,7
959,10
96,8
960,11
961,8
962,8
963,9
964,10
965,5
966,11
967,8
968,11
969,10
97,8
970,10
971,9
972,11
973,11
974,7
975,9
976,10
977,8
978,10
979,11
98,12
980,8
981,9
982,10
983,11
984,9
985,11
986,11
987,10
988,8
989,9
99,11
990,9
991,8
992,10
993,8
994,12
995,7
996,9
997,9
998,10
999,12
