web_id,n_lumped
1,2
10,2
100,0
1000,2
101,1
102,1
103,2
104,4
105,2
106,2
107,2
108,3
109,4
11,0
110,0
111,0
112,1
113,1
114,1
115,2
116,1
117,3
118,2
119,1
12,1
120,3
121,0
122,1
123,2
124,2
125,2
126,1
127,1
128,1
129,2
13,0
130,4
131,2
132,0
133,3
134,1
135,2
136,1
137,1
138,3
139,0
14,0
140,0
141,0
142,1
143,0
144,0
145,2
146,0
147,2
148,1
149,1
15,0
150,1
151,0
152,1
153,0
154,0
155,2
156,4
157,2
158,2
159,0
16,0
160,0
161,1
162,2
163,1
164,1
165,3
166,0
167,2
168,0
169,0
17,1
170,0
171,1
172,1
173,0
174,1
175,2
176,3
177,2
178,1
179,3
18,1
180,0
181,2
182,0
183,1
184,0
185,0
186,0
187,4
188,0
189,0
19,1
190,3
191,0
192,2
193,4
194,0
195,0
196,3
197,2
198,2
199,0
2,0
20,1
200,1
201,0
202,0
203,1
204,2
205,0
206,1
207,1
208,1
209,1
21,1
210,1
211,2
212,0
213,0
214,1
215,0
216,3
217,1
218,3
219,4
22,0
220,0
221,0
222,1
223,3
224,0
225,2
226,1
227,2
228,1
229,0
23,1
230,0
231,1
232,1
233,0
234,1
235,3
236,0
237,1
238,1
239,3
24,1
240,1
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,3
249,1
25,0
250,2
251,0
252,3
253,0
254,1
255,0
256,1
257,0
258,1
259,1
26,1
260,0
261,1
262,0
263,0
264,0
265,3
266,1
267,1
268,1
269,1
27,0
270,0
271,0
272,1
273,0
274,0
275,0
276,0
277,3
278,1
279,2
28,3
280,0
281,0
282,0
283,0
284,1
285,1
286,0
287,5
288,1
289,1
29,0
290,4
291,1
292,1
293,1
294,2
295,1
296,0
297,1
298,0
299,2
3,2
30,0
300,1
301,0
302,1
303,1
304,0
305,0
306,1
307,0
308,0
309,2
31,1
310,1
311,0
312,0
313,1
314,0
315,1
316,2
317,1
318,0
319,1
32,1
320,1
321,1
322,2
323,1
324,1
325,4
326,0
327,1
328,0
329,1
33,1
330,1
331,2
332,0
333,1
334,2
335,3
336,2
337,1
338,1
339,1
34,0
340,0
341,1
342,0
343,0
344,1
345,0
346,2
347,0
348,3
349,2
35,0
350,2
351,0
352,2
353,1
354,1
355,0
356,0
357,1
358,3
359,1
36,0
360,2
361,2
362,1
363,0
364,1
365,1
366,0
367,0
368,4
369,2
37,2
370,4
371,1
372,2
373,0
374,0
375,0
376,0
377,1
378,0
379,1
38,1
380,2
381,0
382,0
383,0
384,1
385,0
386,0
387,0
388,1
389,1
39,0
390,0
391,0
392,2
393,0
394,1
395,2
396,1
397,0
398,1
399,1
4,1
40,1
400,1
401,0
402,0
403,1
404,0
405,2
406,0
407,2
408,1
409,3
41,1
410,0
411,0
412,2
413,5
414,1
415,1
416,1
417,0
418,1
419,2
42,2
420,3
421,1
422,0
423,0
424,1
425,1
426,3
427,0
428,2
429,2
43,1
430,0
431,0
432,0
433,1
434,0
435,1
436,1
437,0
438,2
439,0
44,1
440,0
441,1
442,1
443,0
444,0
445,0
446,1
447,0
448,3
449,1
45,0
450,2
451,2
452,1
453,0
454,0
455,4
456,0
457,1
458,1
459,0
46,0
460,0
461,0
462,1
463,1
464,1
465,3
466,2
467,2
468,1
469,1
47,3
470,1
471,2
472,3
473,0
474,2
475,2
476,0
477,0
478,1
479,1
48,2
480,0
481,1
482,1
483,1
484,0
485,1
486,0
487,3
488,2
489,3
49,1
490,1
491,1
492,2
493,1
494,2
495,3
496,3
497,0
498,0
499,1
5,0
50,1
500,2
501,1
502,1
503,0
504,0
505,3
506,0
507,1
508,2
509,2
51,4
510,0
511,0
512,2
513,0
514,0
515,1
516,1
517,0
518,0
519,0
52,1
520,0
521,2
522,2
523,2
524,0
525,3
526,1
527,1
528,1
529,0
53,0
530,2
531,0
532,2
533,1
534,1
535,1
536,2
537,1
538,1
539,1
54,0
540,0
541,0
542,1
543,1
544,1
545,2
546,0
547,0
548,1
549,2
55,0
550,0
551,0
552,1
553,1
554,1
555,1
556,2
557,0
558,1
559,3
56,1
560,0
561,1
562,0
563,0
564,0
565,2
566,1
567,0
568,0
569,1
57,2
570,2
571,1
572,1
573,1
574,1
575,1
576,0
577,2
578,0
579,0
58,0
580,0
581,0
582,0
583,2
584,2
585,0
586,0
587,2
588,1
589,1
59,1
590,0
591,0
592,0
593,0
594,1
595,1
596,3
597,0
598,0
599,1
6,1
60,0
600,1
601,0
602,3
603,2
604,4
605,0
606,1
607,0
608,0
609,0
61,3
