trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,terrestrial detritus,1,0,27,1.0,0.0,1.1964285714285714,0.0,1.0,1.1964285714285714,0.0
2,2,Aglaophyton,1,0,10,1.0,0.0,1.675,0.0,1.0,1.675,0.0
3,3,Rhynia,1,0,10,1.0,0.0,1.5952380952380953,0.0,1.0,1.5952380952380953,0.0
4,4,Asteroxylon,1,0,12,1.0,0.0,1.5952380952380953,0.0,1.0,1.5952380952380953,0.0
5,5,Horneophyton,1,0,8,1.0,0.0,1.675,0.0,1.0,1.675,0.0
6,6,Nothia,1,0,9,1.0,0.0,1.488888888888889,0.0,1.0,1.488888888888889,0.0
7,7,other land plants,1,0,10,1.0,0.0,1.5227272727272727,0.0,1.0,1.6203379953379953,0.0
8,8,other land plants,1,0,9,1.0,0.0,1.7179487179487178,0.0,1.0,1.6203379953379953,0.0
9,9,lichen,1,0,2,1.0,0.0,1.9142857142857144,0.0,1.0,1.9142857142857144,0.0
10,10,terrestrial heterotroph bacteria,1,1,2,2.0,1.0,4.1875,67.0,2.0,4.1875,67.0
11,11,terrestrial protozoa,1,16,1,3.12,2.0,5.583333333333333,1.3958333333333333,3.12,5.583333333333333,1.3958333333333333
12,12,terrestrial saprotrophs,1,1,3,2.0,1.0,2.310344827586207,67.0,2.0,3.8808873986669803,67.0
13,13,terrestrial saprotrophs,1,1,3,2.0,1.0,4.1875,67.0,2.0,3.8808873986669803,67.0
14,14,terrestrial saprotrophs,1,1,7,2.0,1.0,3.35,67.0,2.0,3.8808873986669803,67.0
15,15,terrestrial saprotrophs,1,1,5,2.0,1.0,4.1875,67.0,2.0,3.8808873986669803,67.0
16,16,terrestrial saprotrophs,1,1,4,2.0,1.0,3.9411764705882355,67.0,2.0,3.8808873986669803,67.0
17,17;18,terrestrial saprotrophs,2,1,3,2.0,1.0,4.1875,67.0,2.0,3.8808873986669803,67.0
19,19,terrestrial saprotrophs,1,1,2,2.0,1.0,5.153846153846154,67.0,2.0,3.8808873986669803,67.0
20,20,terrestrial saprotrophs,1,1,5,2.0,1.0,4.1875,67.0,2.0,3.8808873986669803,67.0
21,21,terrestrial saprotrophs,1,1,4,2.0,1.0,3.9411764705882355,67.0,2.0,3.8808873986669803,67.0
22,22,terrestrial saprotrophs,1,1,4,2.0,1.0,3.9411764705882355,67.0,2.0,3.8808873986669803,67.0
23,23,terrestrial saprotrophs,1,1,7,2.0,1.0,3.35,67.0,2.0,3.8808873986669803,67.0
24,24,terrestrial saprotrophs,1,1,2,2.0,1.0,3.526315789473684,67.0,2.0,3.8808873986669803,67.0
25,25,terrestrial saprotrophs,1,1,5,2.0,1.0,4.1875,67.0,2.0,3.8808873986669803,67.0
26,26,mycorrhizae: Aglaophyton,1,1,3,2.0,1.0,4.1875,67.0,2.0,4.479960317460318,36.69047619047619
27,27,mycorrhizae: Aglaophyton,1,7,4,2.0,1.0,4.466666666666667,9.571428571428571,2.0,4.479960317460318,36.69047619047619
28,28,mycorrhizae: Aglaophyton,1,2,3,2.0,1.0,4.785714285714286,33.5,2.0,4.479960317460318,36.69047619047619
29,29,mycorrhizae: Rhynia,1,4,2,2.0,1.0,5.153846153846154,16.75,2.0,4.547511312217194,41.875
30,30,mycorrhizae: Rhynia,1,1,4,2.0,1.0,3.9411764705882355,67.0,2.0,4.547511312217194,41.875
31,31,mycorrhizae: Asteroxylon,1,3,4,2.0,1.0,3.9411764705882355,22.333333333333332,2.0,4.207112804636025,32.96825396825397
32,32,mycorrhizae: Asteroxylon,1,7,6,2.0,1.0,3.526315789473684,9.571428571428571,2.0,4.207112804636025,32.96825396825397
33,33,mycorrhizae: Asteroxylon,1,1,2,2.0,1.0,5.153846153846154,67.0,2.0,4.207112804636025,32.96825396825397
34,34,mycorrhizae: Horneophyton,1,2,6,2.0,1.0,3.526315789473684,33.5,2.0,3.6646026831785345,36.69047619047619
35,35,mycorrhizae: Horneophyton,1,1,4,2.0,1.0,3.9411764705882355,67.0,2.0,3.6646026831785345,36.69047619047619
36,36,mycorrhizae: Horneophyton,1,7,4,2.0,1.0,3.526315789473684,9.571428571428571,2.0,3.6646026831785345,36.69047619047619
37,37,possible mycorrhizae,1,1,3,2.0,1.0,2.310344827586207,67.0,2.0,2.310344827586207,67.0
38,38,parasites: Aglaophyton,1,6,5,2.0,1.0,3.7222222222222223,11.166666666666666,2.0,3.7222222222222223,11.166666666666666
39,39,parasites: Asteroxylon,1,1,2,2.0,1.0,5.153846153846154,67.0,2.0,4.075356125356126,28.31547619047619
40,40,parasites: Asteroxylon,1,7,5,2.0,1.0,3.7222222222222223,9.571428571428571,2.0,4.075356125356126,28.31547619047619
41,41,parasites: Asteroxylon,1,8,2,2.0,1.0,3.35,8.375,2.0,4.075356125356126,28.31547619047619
42,42,parasites: Nothia,1,2,3,2.0,1.0,4.785714285714286,33.5,2.0,4.785714285714286,33.5
43,43,general plant parasites,1,6,6,2.0,1.0,3.526315789473684,11.166666666666666,2.0,4.340080971659919,39.083333333333336
44,44,general plant parasites,1,1,2,2.0,1.0,5.153846153846154,67.0,2.0,4.340080971659919,39.083333333333336
45,45,fungal parasites,1,12,0,2.9473684210526314,2.0,0.0,2.576923076923077,2.972373043689633,1.9926482873851294,2.7231589041093534
46,46,fungal parasites,1,9,0,2.909090909090909,2.0,0.0,3.9411764705882355,2.972373043689633,1.9926482873851294,2.7231589041093534
