SLN_ID,max_chain_len
1,8
10,10
100,9
1000,10
101,9
102,6
103,8
104,10
105,11
106,10
107,9
108,11
109,9
11,10
110,7
111,10
112,9
113,6
114,6
115,7
116,8
117,6
118,9
119,9
12,8
120,8
121,6
122,8
123,10
124,7
125,12
126,10
127,9
128,6
129,8
13,8
130,9
131,11
132,10
133,8
134,7
135,10
136,7
137,8
138,10
139,7
14,9
140,10
141,8
142,10
143,9
144,6
145,10
146,11
147,9
148,11
149,7
15,7
150,8
151,7
152,6
153,10
154,8
155,9
156,8
157,8
158,7
159,10
16,10
160,9
161,6
162,9
163,10
164,9
165,5
166,8
167,8
168,6
169,7
17,11
170,9
171,7
172,9
173,9
174,9
175,12
176,8
177,7
178,9
179,11
18,8
180,10
181,11
182,10
183,6
184,8
185,8
186,8
187,11
188,7
189,9
19,11
190,9
191,10
192,12
193,11
194,9
195,10
196,7
197,11
198,6
199,6
2,7
20,11
200,9
201,6
202,11
203,10
204,7
205,11
206,10
207,10
208,9
209,9
21,6
210,9
211,10
212,7
213,10
214,9
215,9
216,10
217,7
218,10
219,10
22,9
220,9
221,7
222,9
223,11
224,10
225,11
226,9
227,7
228,9
229,10
23,9
230,9
231,10
232,10
233,10
234,9
235,9
236,10
237,9
238,11
239,8
24,11
240,7
241,7
242,8
243,8
244,8
245,7
246,10
247,9
248,8
249,8
25,10
250,8
251,9
252,12
253,8
254,8
255,10
256,9
257,11
258,11
259,12
26,8
260,8
261,9
262,9
263,11
264,11
265,11
266,11
267,9
268,11
269,6
27,9
270,9
271,10
272,6
273,11
274,9
275,11
276,7
277,8
278,10
279,8
28,8
280,9
281,9
282,9
283,9
284,10
285,9
286,9
287,12
288,11
289,10
29,12
290,10
291,10
292,8
293,8
294,7
295,11
296,8
297,12
298,9
299,7
3,8
30,8
300,8
301,8
302,11
303,9
304,8
305,10
306,7
307,10
308,10
309,10
31,11
310,9
311,8
312,8
313,8
314,9
315,7
316,8
317,8
318,8
319,9
32,7
320,11
321,9
322,11
323,7
324,11
325,6
326,8
327,9
328,9
329,9
33,10
330,11
331,9
332,10
333,10
334,9
335,9
