trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,terrestrial detritus,1,0,2,1.0,0.0,0.6,0.0,1.0,0.6,0.0
2,2,land plants,1,0,3,1.0,0.0,0.8181818181818182,0.0,1.0,0.8181818181818182,0.0
3,3,heterotrophic microbes,1,2,2,2.5,1.0,0.8181818181818182,18.0,2.5,0.8181818181818182,18.0
4,4,terrestrial fungi,1,3,3,2.5,1.0,1.2,9.0,2.5,1.2,9.0
5,5,terrestrial microbivores,1,2,4,2.6666666666666665,2.0,3.0,3.0,2.6666666666666665,3.0,3.0
6,6,terrestrial detritivores,1,1,2,2.0,1.0,1.6363636363636365,18.0,2.0,1.8181818181818183,18.0
7,7,terrestrial detritivores,1,1,2,2.0,1.0,2.0,18.0,2.0,1.8181818181818183,18.0
8,8,mites,1,2,4,2.6666666666666665,2.0,2.0,4.5,3.0,2.2857142857142856,3.15
9,9,mites,1,1,2,3.333333333333333,3.0,2.5714285714285716,1.8,3.0,2.2857142857142856,3.15
10,10,small terrestrial arthropod predators,1,5,1,3.7,3.0,3.0,0.9473684210526315,3.6523809523809523,2.75,1.152327935222672
11,11,small terrestrial arthropod predators,1,5,1,3.857142857142857,3.0,3.0,1.125,3.6523809523809523,2.75,1.152327935222672
12,12,small terrestrial arthropod predators,1,2,3,3.4,3.0,2.25,1.3846153846153846,3.6523809523809523,2.75,1.152327935222672
13,13,large terrestrial arthropod predators,1,10,2,4.37037037037037,3.0,6.0,0.6206896551724138,3.807407407407408,5.5200000000000005,2.6819001687967203
14,14,large terrestrial arthropod predators,1,1,1,3.0,2.0,3.0,6.0,3.807407407407408,5.5200000000000005,2.6819001687967203
15,15,large terrestrial arthropod predators,1,3,2,4.0,4.0,9.0,0.46153846153846156,3.807407407407408,5.5200000000000005,2.6819001687967203
16,16,large terrestrial arthropod predators,1,1,1,4.666666666666666,5.0,6.0,0.32727272727272727,3.807407407407408,5.5200000000000005,2.6819001687967203
17,17,large terrestrial arthropod predators,1,1,1,3.0,2.0,3.6,6.0,3.807407407407408,5.5200000000000005,2.6819001687967203
18,18,benthic algae,1,0,4,1.0,0.0,0.782608695652174,0.0,1.0,0.782608695652174,0.0
19,19,nematodes,1,3,3,2.3333333333333335,2.0,1.2857142857142858,3.6,2.3333333333333335,1.2857142857142858,3.6
