sp_name,guild,guild_no,guild_richness,guild_no_prey,guild_no_preds,terr,aqu,sp_no_prey,sp_no_preds
1,terrestrial detritus,1,1,0,4,1,0,0,1
2,land plants,2,1,0,4,1,0,0,0
3,heterotrophic microbes,3,1,2,7,1,0,1,1
4,terrestrial fungi,4,1,3,7,1,0,1,1
5,terrestrial microbivores,5,1,3,8,1,0,1,2
6,terrestrial detritivores,6,2,4,8,1,0,1,5
7,terrestrial detritivores,6,2,4,8,1,0,1,4
8,mites,7,2,5,8,1,0,1,4
9,mites,7,2,5,8,1,0,1,4
10,small terrestrial arthropod predators,8,3,9,8,1,0,5,3
11,small terrestrial arthropod predators,8,3,9,8,1,0,1,2
12,small terrestrial arthropod predators,8,3,9,8,1,0,8,2
13,large terrestrial arthropod predators,9,5,13,5,1,0,7,3
14,large terrestrial arthropod predators,9,5,13,5,1,0,3,1
15,large terrestrial arthropod predators,9,5,13,5,1,0,3,2
16,large terrestrial arthropod predators,9,5,13,5,1,0,8,3
17,large terrestrial arthropod predators,9,5,13,5,1,0,4,2
18,benthic algae,10,1,0,6,1,1,0,5
19,nematodes,11,1,4,5,1,1,1,2
