trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,terrestrial detritus,1,0,3,1.0,0.0,0.43902439024390244,0.0,1.0,0.43902439024390244,0.0
2,2,land plants,1,0,1,1.0,0.0,0.5142857142857142,0.0,1.0,0.5142857142857142,0.0
3,3,heterotrophic microbes,1,2,4,2.5,1.0,0.6666666666666666,18.0,2.5,0.6666666666666666,18.0
4,4,terrestrial fungi,1,3,3,2.5,1.0,0.75,9.0,2.5,0.75,9.0
5,5,terrestrial microbivores,1,1,3,3.0,2.0,3.6,6.0,3.0,3.6,6.0
6,6,terrestrial detritivores,1,1,1,2.0,1.0,18.0,18.0,2.375,9.692307692307692,10.285714285714286
7,7,terrestrial detritivores,1,3,4,2.75,2.0,1.3846153846153846,2.5714285714285716,2.375,9.692307692307692,10.285714285714286
8,8,mites,1,1,0,4.0,3.0,0.0,1.6363636363636365,3.0,0.0,9.818181818181818
9,9,mites,1,1,0,2.0,1.0,0.0,18.0,3.0,0.0,9.818181818181818
10,10,small terrestrial arthropod predators,1,1,2,3.666666666666667,3.0,1.6363636363636365,1.3846153846153846,3.9914529914529915,5.545454545454546,1.8144796380090498
11,11,small terrestrial arthropod predators,1,6,3,4.3076923076923075,3.0,9.0,1.0588235294117647,3.9914529914529915,5.545454545454546,1.8144796380090498
12,12,small terrestrial arthropod predators,1,1,3,4.0,3.0,6.0,3.0,3.9914529914529915,5.545454545454546,1.8144796380090498
13,13,large terrestrial arthropod predators,1,1,2,4.666666666666666,4.0,3.0,0.9,5.414285714285714,6.3,0.6892020592020592
14,14,large terrestrial arthropod predators,1,1,2,5.666666666666666,5.0,4.5,0.6428571428571429,5.414285714285714,6.3,0.6892020592020592
15,15,large terrestrial arthropod predators,1,1,1,6.666666666666667,6.0,6.0,0.4864864864864865,5.414285714285714,6.3,0.6892020592020592
16,16,large terrestrial arthropod predators,1,6,1,5.5,3.0,18.0,0.75,5.414285714285714,6.3,0.6892020592020592
17,17,large terrestrial arthropod predators,1,6,0,4.571428571428571,3.0,0.0,0.6666666666666666,5.414285714285714,6.3,0.6892020592020592
18,18,benthic algae,1,0,2,1.0,0.0,0.8181818181818182,0.0,1.0,0.8181818181818182,0.0
19,19,nematodes,1,2,2,3.0,2.0,3.0,3.0,3.0,3.0,3.0
