web_id,n_lumped
1,10
10,9
100,8
11,10
12,8
13,8
14,8
15,8
16,8
17,6
18,7
19,13
2,8
20,9
21,11
22,11
23,7
24,10
25,8
26,9
27,10
28,7
29,8
3,6
30,9
31,8
32,8
33,9
34,9
35,10
36,7
37,9
38,6
39,5
4,8
40,11
41,8
42,7
43,9
44,10
45,11
46,7
47,5
48,7
49,11
5,12
50,9
51,10
52,9
53,6
54,9
55,9
56,11
57,7
58,7
59,8
6,12
60,8
61,6
62,9
63,8
64,9
65,8
66,8
67,5
68,10
69,10
7,5
70,7
71,9
72,8
73,8
74,7
75,9
76,7
77,11
78,6
79,9
8,5
80,7
81,7
82,7
83,9
84,8
85,9
86,10
87,5
88,8
89,8
9,7
90,8
91,6
92,10
93,9
94,5
95,9
96,7
97,10
98,5
99,9
