sp_name,guild,family,sp_id,animal
Allacma fusca,Collembola,Sminthuridae,1,1
Ceratophysella denticulata,Collembola,Hypogastruridae,4,1
Folsomia quadrioculata,Collembola,Isotomidae,14,1
Folsomia spinosa,Collembola,Isotomidae,15,1
Isotomiella minor,Collembola,Isotomidae,22,1
Megalothorax minimus,Collembola,Neelidae,27,1
Mesaphorura sp.,Collembola,Tullbergiidae,28,1
Parisotoma notabilis,Collembola,Isotomidae,40,1
Proisotoma minima,Collembola,Isotomidae,41,1
Protaphorura armata,Collembola,Onychiuridae,42,1
Lithobius sp4,Chilopoda,Lithobiidae,73,1
Geophilus ribauti,Chilopoda,Geophilidae,74,1
Schendyla nemorensis,Chilopoda,Schendylidae,77,1
Malthodes sp. (juv),Coleoptera,Cantharidae,82,1
Pterostichus strenuus,Coleoptera,Carabidae,98,1
Nargus anisotomoides,Coleoptera,Catopidae,101,1
Athous zebei (juv) {s},Coleoptera,Elateridae,116,1
Dalopius marginatus (juv) {m},Coleoptera,Elateridae,118,1
Elateridae sp1 (juv) {m},Coleoptera,Elateridae,119,1
Atheta fungi,Coleoptera,Stapylinidae,133,1
Atheta sp.,Coleoptera,Stapylinidae,135,1
Gyrohypnus sp. (juv),Coleoptera,Stapylinidae,141,1
Othius sp. (juv),Coleoptera,Stapylinidae,150,1
Xantholinus sp. (juv),Coleoptera,Stapylinidae,160,1
Xantholininae sp1 (juv),Coleoptera,Stapylinidae,161,1
Amaurobius sp (juv),Araneae,Amaurobiidae,164,1
Linyphiidae (juv),Araneae,Linyphiidae,178,1
Micrargus herbigradus (ad),Araneae,Linyphiidae,179,1
Microneta viaria (ad),Araneae,Linyphiidae,180,1
Neobisium sp,Pseudoscorpiones,Neobisidae,182,1
Phalangiidae (juv),Opiliones,Phalangiidae,185,1
Robertus lividus (ad),Araneae,Theridiidae,186,1
Robertus sp (juv) {m},Araneae,Theridiidae,187,1
Lysigamasus lapponicus (ad),Mesostigmata,Pergamasinae,219,1
Pergamasinae (juv) {xs},Mesostigmata,Pergamasinae,234,1
Trachytes aegrota (ad),Mesostigmata,Trachytidae,242,1
Uropoda cassidea (juv),Mesostigmata,Uropodidae,249,1
Uroseius cylindricus (ad),Mesostigmata,Polyaspidae,254,1
Uroseius cylindricus (juv),Mesostigmata,Polyaspidae,255,1
Veigaia nemorensis (ad),Mesostigmata,Veigaiaidae,263,1
Veigaia nemorensis (juv),Mesostigmata,Veigaiaidae,264,1
Willemia aspinata,Collembola,Hypogastruridae,279,1
Campodea sp {m},Diplura,Campodeidae,294,1
Achipteria coleoptrata,Oribatida,Achipteriidae,295,1
Brachychthoniidae spp.,Oribatida,Brachychthoniidae,302,1
Carabodes labyrinthicus,Oribatida,Carabodidae,304,1
Chamobates borealis,Oribatida,Chamobatidae,306,1
Chamobates voigtsi,Oribatida,Chamobatidae,308,1
