sp_name,guild,family,sp_id
Ceratophysella denticulata,Collembola,Hypogastruridae,4
Folsomia quadrioculata,Collembola,Isotomidae,14
Folsomia spinosa,Collembola,Isotomidae,15
Isotomiella minor,Collembola,Isotomidae,22
Lepidocyrtus lanuginosus,Collembola,Entomobryidae,25
Parisotoma notabilis,Collembola,Isotomidae,40
Protaphorura armata,Collembola,Onychiuridae,42
Sminthurinus aureus,Collembola,Katiannidae,48
Lithobius mutabilis,Chilopoda,Lithobiidae,65
Lithobius sp2 {s},Chilopoda,Lithobiidae,71
Lithobius sp4,Chilopoda,Lithobiidae,73
Geophilus ribauti,Chilopoda,Geophilidae,74
Strigamia acuminata,Chilopoda,Dignathodontidae,79
Malthodes sp. (juv),Coleoptera,Cantharidae,82
Athous subfuscus,Coleoptera,Elateridae,114
Athous sp. (juv),Coleoptera,Elateridae,117
Elateridae sp1 (juv) {m},Coleoptera,Elateridae,119
Acrotona sylvicola,Coleoptera,Stapylinidae,132
Atheta sp.,Coleoptera,Stapylinidae,135
Gyrohypnus sp. (juv),Coleoptera,Stapylinidae,141
Amaurobius sp (juv),Araneae,Amaurobiidae,164
Linyphiidae (juv),Araneae,Linyphiidae,178
Micrargus herbigradus (ad),Araneae,Linyphiidae,179
Neobisium sp,Pseudoscorpiones,Neobisidae,182
Phalangiidae (juv),Opiliones,Phalangiidae,185
Saloca diceros (ad),Araneae,Linyphiidae,188
Tapinocyba pallens (ad),Araneae,Linyphiidae,190
Walckenaeria dysderoides (ad),Araneae,Linyphiidae,195
Lysigamasus sp (juv),Mesostigmata,Pergamasinae,201
Epicrius canestrinii (ad),Mesostigmata,Epicriidae,205
Pergamasinae (juv) {xs},Mesostigmata,Pergamasinae,234
Trachytes pauperior (juv),Mesostigmata,Trachytidae,245
Veigaia cerva (ad),Mesostigmata,Veigaiaidae,257
Veigaia exigua (ad),Mesostigmata,Veigaiaidae,260
Veigaia nemorensis (ad),Mesostigmata,Veigaiaidae,263
Veigaia nemorensis (juv),Mesostigmata,Veigaiaidae,264
Dendrodrilus rubidus (ad),Lumbricidae,Lumbricidae,291
Achipteria coleoptrata,Oribatida,Achipteriidae,295
Atropacarus striculus,Oribatida,Phthiracaridae,298
Brachychthoniidae spp.,Oribatida,Brachychthoniidae,302
Chamobates borealis,Oribatida,Chamobatidae,306
Chamobates voigtsi,Oribatida,Chamobatidae,308
Eupelops hirtus,Oribatida,Phenopelopidae,315
Oribatida juv.,Oribatida,,323
Liacarus xylariae,Oribatida,Liacaridae,324
Oppiella falcata,Oribatida,Oppiidae,337
Oppiella nova,Oribatida,Oppiidae,338
Oppiella subpectinata,Oribatida,Oppiidae,339
Phthiracarus clavatus,Oribatida,Phthiracaridae,347
Phthiracarus compressus,Oribatida,Phthiracaridae,348
Phthiracarus longulus,Oribatida,Phthiracaridae,351
Platynothrus peltifer,Oribatida,Camisiidae,353
Quadroppia monstruosa,Oribatida,Quadroppiidae,356
Quadroppia quadricarinata,Oribatida,Quadroppiidae,357
Protaphorura sp.,Collembola,Onychiuridae,361
Allaiulus nitidus {xl},Diplopoda,Julidae,383
Polydesmidae,Diplopoda,Polydesmidae,396
plants,Basal,Plants,401
roots,Basal,Roots,402
root exudates,Basal,Roots,403
mykorrhiza,Basal,Fungi,404
saphrophytes,Basal,Fungi,405
bacterivor nematodes,Basal,Nematoda,406
fungivor nematodes,Basal,Nematoda,407
root feeding nematodes,Basal,Nematoda,408
predatious nematodes,Basal,Nematoda,409
