sp_name,guild,family,sp_id,animal
Arrhopalites pygmaeus,Collembola,Arrhopalitidae,2,1
Ceratophysella denticulata,Collembola,Hypogastruridae,4,1
Desoria violacea,Collembola,Isotomidae,7,1
Deuteraphorura inermis,Collembola,Onychiuridae,8,1
Deuterosminthurus pallipes,Collembola,Bourletiellidae,10,1
Folsomia quadrioculata,Collembola,Isotomidae,14,1
Isotomiella minor,Collembola,Isotomidae,22,1
Lepidocyrtus lanuginosus,Collembola,Entomobryidae,25,1
Megalothorax minimus,Collembola,Neelidae,27,1
Mesaphorura sp.,Collembola,Tullbergiidae,28,1
Paratullbergia callipygos,Collembola,Tullbergiidae,38,1
Parisotoma notabilis,Collembola,Isotomidae,40,1
Protaphorura armata,Collembola,Onychiuridae,42,1
Lithobius crassipes,Chilopoda,Lithobiidae,58,1
Lithobius cf. crassipes juv,Chilopoda,Lithobiidae,59,1
Lithobius dentatus,Chilopoda,Lithobiidae,67,1
Lithobius sp1 {s},Chilopoda,Lithobiidae,70,1
Lithobius sp4,Chilopoda,Lithobiidae,73,1
Geophilus ribauti,Chilopoda,Geophilidae,74,1
Geophilus insculptus,Chilopoda,Geophilidae,75,1
Strigamia acuminata,Chilopoda,Dignathodontidae,79,1
Scutigerella immaculata {xs},Symphyla,Scutigerellidae,80,1
Nargus anisotomoides,Coleoptera,Catopidae,101,1
Geostiba circellaris,Coleoptera,Stapylinidae,140,1
Staphylinidae sp1 (juv),Coleoptera,Stapylinidae,162,1
Amaurobius sp (juv),Araneae,Amaurobiidae,164,1
Diplocephalus picinus (ad),Araneae,Linyphiidae,172,1
Hahnia pusilla (ad),Araneae,Hahniidae,175,1
Harpactea lepida (juv),Araneae,Dysderidae,176,1
Linyphiidae (juv),Araneae,Linyphiidae,178,1
Micrargus herbigradus (ad),Araneae,Linyphiidae,179,1
Phalangiidae (juv),Opiliones,Phalangiidae,185,1
Robertus lividus (ad),Araneae,Theridiidae,186,1
Saloca diceros (ad),Araneae,Linyphiidae,188,1
Walckenaeria cucullata (ad),Araneae,Linyphiidae,194,1
Vulgarogamasus sp juv,Mesostigmata,Parasitidae,202,1
Dinychus perforatus juv,Mesostigmata,Urodinychidae,204,1
Epicrius canestrinii (ad),Mesostigmata,Epicriidae,205,1
Epicrius sp (juv),Mesostigmata,Epicriidae,207,1
Geholaspis mandibularis (ad),Mesostigmata,Macrochelidae,210,1
Geholaspis sp (juv),Mesostigmata,Macrochelidae,211,1
Holoparasitus stramenti (ad),Mesostigmata,Pergamasinae,212,1
