sp_name,guild,family,sp_id
Entomobrya marginata/lanuginosa,Collembola,Entomobryidae,11
Friesea mirabilis,Collembola,Neanuridae,16
Isotomiella minor,Collembola,Isotomidae,22
Lepidocyrtus lanuginosus,Collembola,Entomobryidae,25
Lipothrix (Sphyrotheca) lubbocki,Collembola,Sminthuridae,26
Mesaphorura sp.,Collembola,Tullbergiidae,28
Micranurida pygmaea,Collembola,Neanuridae,32
Micraphorura absoloni,Collembola,Onychiuridae,33
Parisotoma notabilis,Collembola,Isotomidae,40
Protaphorura armata,Collembola,Onychiuridae,42
Lithobius sp4,Chilopoda,Lithobiidae,73
Schendyla nemorensis,Chilopoda,Schendylidae,77
Scolopendrella sp./subnuda {s},Symphyla,Scolopendrellidae,81
Notiophilus rufipes (juv),Coleoptera,Carabidae,93
Agriotes sp. (juv),Coleoptera,Elateridae,109
Athous sp. (juv),Coleoptera,Elateridae,117
Atheta fungi,Coleoptera,Stapylinidae,133
Atheta sp. (juv),Coleoptera,Stapylinidae,136
Othius sp. (juv),Coleoptera,Stapylinidae,150
Tachyusa sp. (juv),Coleoptera,Stapylinidae,158
Diplocephalus picinus (ad),Araneae,Linyphiidae,172
Linyphiidae (juv),Araneae,Linyphiidae,178
Micrargus herbigradus (ad),Araneae,Linyphiidae,179
Microneta viaria (ad),Araneae,Linyphiidae,180
Neon reticulatus (ad),Araneae,Salticidae,183
Tapinocyba insecta (ad),Araneae,Linyphiidae,189
Lysigamasus vagabundus (ad),Mesostigmata,Pergamasinae,222
Trachytes aegrota (ad),Mesostigmata,Trachytidae,242
Trachytes aegrota (juv) {xs},Mesostigmata,Trachytidae,243
Uropoda minima (ad),Mesostigmata,Uropodidae,251
Uropoda minima (juv),Mesostigmata,Uropodidae,252
Veigaia cerva (juv),Mesostigmata,Veigaiaidae,258
Veigaia nemorensis (ad),Mesostigmata,Veigaiaidae,263
Veigaia nemorensis (juv),Mesostigmata,Veigaiaidae,264
Zercon cf gurensis sp1 (ad),Mesostigmata,Zerconidae,266
Brachychthoniidae spp.,Oribatida,Brachychthoniidae,302
Carabodes labyrinthicus,Oribatida,Carabodidae,304
Chamobates voigtsi,Oribatida,Chamobatidae,308
Dissorhina ornata,Oribatida,Oppiidae,312
Eupelops hirtus,Oribatida,Phenopelopidae,315
Oribatida juv.,Oribatida,,323
Microppia minus,Oribatida,Oppiidae,331
Oppiella nova,Oribatida,Oppiidae,338
Phthiracarus longulus,Oribatida,Phthiracaridae,351
Platynothrus peltifer,Oribatida,Camisiidae,353
Quadroppia quadricarinata,Oribatida,Quadroppiidae,357
Tectocepheus velatus alatus,Oribatida,Tectocepheidae,372
Tectocepheus velatus sarekensis,Oribatida,Tectocepheidae,373
plants,Basal,Plants,401
roots,Basal,Roots,402
root exudates,Basal,Roots,403
mykorrhiza,Basal,Fungi,404
saphrophytes,Basal,Fungi,405
bacterivor nematodes,Basal,Nematoda,406
fungivor nematodes,Basal,Nematoda,407
root feeding nematodes,Basal,Nematoda,408
predatious nematodes,Basal,Nematoda,409
omniv. Nematodes,Basal,Nematoda,410
bacteria,Basal,Bacteria,411
flagelata,Basal,Protozoa,412
ciliata,Basal,Protozoa,413
amoeba,Basal,Protozoa,414
algae,Basal,Algae,415
enchitraeidae,Enchitraeidae,Enchitraeidae,416
dead organic matter detritus,Basal detritus,detritus,417
Geholaspis longispinosus (juv),Mesostigmata,Macrochelidae,420
Geholaspis longispinosus (ad),Mesostigmata,Macrochelidae,421
litter detritus,Basal detritus,detritus,442
Entomobrya quinquelineata,Collembola,Entomobryidae,454
Veigaia planicola (juv),Mesostigmata,Veigaiaidae,457
Zercon cf peltatus (ad),Mesostigmata,Zerconidae,462
Erigonella hiemalis (ad),Araneae,Linyphiidae,466
Friesea claviseta,Collembola,Neanuridae,476
Julidae spec,Diplopoda,Julidae,486
Adoristes ovatus,Oribatida,Liacaridae,492
Carabodes ornatus,Oribatida,Carabodidae,496
Eupelops torulosus,Oribatida,Phenopelopidae,503
Microtritia minima,Oribatida,Euphthiracaroidae,507
Oppiella propinqua,Oribatida,Oppiidae,511
Rhysotritia duplicata,Oribatida,Euphthiracaroidae,517
Scheloribates initialis,Oribatida,Scheloribatidae,518
Leptacinus sp. (juv),Coleoptera,Stapylinidae,558
Stenus sp.,Coleoptera,Stapylinidae,569
Stilicus rufipes,Coleoptera,Stapylinidae,570
Suctobelbella spp.,Oribatida,Suctobelbidae,625
Mesaphorura yosii,Collembola,Tullbergiidae,641
Mesaphorura macrochaeta,Collembola,Tullbergiidae,691
Athous subfuscus (juv) {l},Coleoptera,Elateridae,720
Dalopius marginatus (juv) {l},Coleoptera,Elateridae,723
Elateridae sp1 (juv) {l},Coleoptera,Elateridae,724
Pergamasinae (juv) {s},Mesostigmata,Pergamasinae,735
Linyphiidae cf Erigoniinae (juv) {m},Araneae,Linyphiidae,759
Paratullbergia macdougalli,Collembola,Tullbergiidae,772
Staphylinidae spec,Coleoptera,Stapylinidae,858
Abax parallelepipedus,Coleoptera,Carabidae,860
Pterostichinae spec,Coleoptera,Carabidae,893
Trachelipus spec,Isopoda,Trachelipidae,916
Chilopoda spec,Chilopoda,Chilopoda spec,921
Euophrys frontalis,Araneae,Salticidae,936
Salticidae spec juv,Araneae,Salticidae,947
Metellina segmentata,Araneae,Tetragnathidae,948
Dicymbium brevisetosum,Araneae,Linyphiidae,964
Euophrys herbigrada,Araneae,Salticidae,974
Philodromus dispar,Araneae,Philodromidae,977
