sp_name,guild,family,sp_id,animal
Deuteraphorura inermis,Collembola,Onychiuridae,8,1
Folsomia quadrioculata,Collembola,Isotomidae,14,1
Isotomiella minor,Collembola,Isotomidae,22,1
Lepidocyrtus cyaneus,Collembola,Entomobryidae,24,1
Lepidocyrtus lanuginosus,Collembola,Entomobryidae,25,1
Lipothrix (Sphyrotheca) lubbocki,Collembola,Sminthuridae,26,1
Megalothorax minimus,Collembola,Neelidae,27,1
Mesaphorura sp.,Collembola,Tullbergiidae,28,1
Micranurida pygmaea,Collembola,Neanuridae,32,1
Micraphorura absoloni,Collembola,Onychiuridae,33,1
Paratullbergia callipygos,Collembola,Tullbergiidae,38,1
Parisotoma notabilis,Collembola,Isotomidae,40,1
Lithobius sp4,Chilopoda,Lithobiidae,73,1
Schendyla nemorensis,Chilopoda,Schendylidae,77,1
Scolopendrella sp./subnuda {s},Symphyla,Scolopendrellidae,81,1
Harpalus latus,Coleoptera,Carabidae,87,1
Harpalus sp.,Coleoptera,Carabidae,88,1
Athous subfuscus (juv) {m},Coleoptera,Elateridae,113,1
Atheta sp. (juv),Coleoptera,Stapylinidae,136,1
Geostiba circellaris,Coleoptera,Stapylinidae,140,1
Othius sp. (juv),Coleoptera,Stapylinidae,150,1
Quedius sp. (juv),Coleoptera,Stapylinidae,154,1
Linyphiidae (juv),Araneae,Linyphiidae,178,1
Phalangiidae (juv),Opiliones,Phalangiidae,185,1
Robertus lividus (ad),Araneae,Theridiidae,186,1
Tapinocyba insecta (ad),Araneae,Linyphiidae,189,1
Trombidiidae,Prostigmata,Trombidiidae,193,1
Lysigamasus cf conus(ad),Mesostigmata,Pergamasinae,217,1
Lysigamasus puerilis (ad),Mesostigmata,Pergamasinae,220,1
Lysigamasus vagabundus (ad),Mesostigmata,Pergamasinae,222,1
Pergamasinae (juv) {xs},Mesostigmata,Pergamasinae,234,1
Trachytes aegrota (juv) {xs},Mesostigmata,Trachytidae,243,1
Uropoda minima (ad),Mesostigmata,Uropodidae,251,1
