web_id,n_lumped,n_cross_guild
AEW1,11,0
AEW11,12,0
AEW17,15,0
AEW18,9,0
AEW2,15,1
AEW25,11,1
AEW27,12,1
AEW3,10,0
AEW30,11,0
AEW4,13,0
AEW49,11,1
AEW5,12,0
AEW6,13,1
AEW7,11,0
AEW8,14,0
AEW9,11,1
HEW1,10,0
HEW10,10,0
HEW11,13,0
HEW12,12,0
HEW13,13,1
HEW16,10,0
HEW17,11,1
HEW2,9,1
HEW21,12,0
HEW22,11,0
HEW3,8,0
HEW36,10,0
HEW4,12,0
HEW47,12,0
HEW5,13,1
HEW6,9,1
SEW1,13,2
SEW18,8,0
SEW2,13,1
SEW3,5,0
SEW35,9,0
SEW36,6,0
SEW37,6,0
SEW4,9,0
SEW41,6,0
SEW43,4,0
SEW48,7,0
SEW5,7,0
SEW6,12,1
SEW7,10,1
SEW8,6,0
SEW9,5,0
