trophospecies_id,n_lumped,sp_name,guild,family,sp_id
1,1,Ceratophysella denticulata,Collembola,Hypogastruridae,4
2,3,Folsomia quadrioculata;Lepidocyrtus lignorum;Lepidocyrtus juv.,Collembola,Isotomidae;Entomobryidae,14;688;689
3,1,Isotomiella minor,Collembola,Isotomidae,22
4,1,Megalothorax minimus,Collembola,Neelidae,27
5,2,Mesaphorura sp.;Mesaphorura tenuisensillata,Collembola,Tullbergiidae,28;693
6,1,Parisotoma notabilis,Collembola,Isotomidae,40
7,1,Proisotoma minima,Collembola,Isotomidae,41
8,2,Protaphorura armata;Neotullbergia ramicuspis,Collembola,Onychiuridae,42;698
9,1,Sminthurinus aureus,Collembola,Katiannidae,48
10,1,Lithobius cf. dentatus juv,Chilopoda,Lithobiidae,68
11,1,Lithobius sp2 {s},Chilopoda,Lithobiidae,71
12,1,Lithobius sp4,Chilopoda,Lithobiidae,73
13,1,Geophilus ribauti,Chilopoda,Geophilidae,74
14,1,Strigamia acuminata,Chilopoda,Dignathodontidae,79
15,1,Otiorhynchus sp.,Coleoptera,Curculionidae,104
16,1,Athous subfuscus (juv) {m},Coleoptera,Elateridae,113
17,1,Athous sp. (juv),Coleoptera,Elateridae,117
18,1,Plectophoreus fischeri,Coleoptera,Pselaphidae,124
19,1,Aleocharinae sp1 (juv),Coleoptera,Stapylinidae,130
20,1,Geostiba circellaris,Coleoptera,Stapylinidae,140
21,1,Xantholinus sp. (juv),Coleoptera,Stapylinidae,160
22,1,Diplocephalus picinus (ad),Araneae,Linyphiidae,172
23,1,Linyphiidae (juv),Araneae,Linyphiidae,178
24,1,Microneta viaria (ad),Araneae,Linyphiidae,180
25,1,Phalangiidae (juv),Opiliones,Phalangiidae,185
26,1,Robertus lividus (ad),Araneae,Theridiidae,186
27,1,Saloca diceros (ad),Araneae,Linyphiidae,188
28,1,Walckenaeria cucullata (ad),Araneae,Linyphiidae,194
29,1,Dinychus perforatus (ad),Mesostigmata,Urodinychidae,203
30,1,Dinychus perforatus juv,Mesostigmata,Urodinychidae,204
31,1,Lysigamasus cornutus (ad),Mesostigmata,Pergamasinae,218
32,1,Macrocheles dentatus (ad),Mesostigmata,Macrochelidae,225
33,4,Aporrectodea rosea (ad);Aporectodea longa (juv);Aporectodea longa (ad);Octolasion tyrtaeum (juv) {xxl},Lumbricidae,Lumbricidae,274;574;575;748
34,2,Aporrectodea rosea (juv);Lumbricus sp. (juv),Lumbricidae,Lumbricidae,275;576
35,2,Lumbricus rubellus (ad) {xl};cf Octolasion sp (juv),Lumbricidae,Lumbricidae,280;288
37,1,Atropacarus striculus,Oribatida,Phthiracaridae,298
38,1,Ceratozetes gracilis,Oribatida,Ceratozetidae,305
39,1,Dissorhina ornata,Oribatida,Oppiidae,312
40,1,Eulohmannia ribagai,Oribatida,Eulohmanniidae,314
41,1,Oribatida juv.,Oribatida,,323
42,2,Oppiella nova;Suctobelbella spp.,Oribatida,Oppiidae;Suctobelbidae,338;625
43,1,Pantelozetes paolii,Oribatida,Thyrisomidae,344
44,1,Ligidium hypnorum,Isopoda,Ligiidae,379
45,1,Haplophthalmus mengei,Isopoda,Trichoniscidae,381
46,1,plants,Basal,Plants,401
47,1,roots,Basal,Roots,402
48,1,root exudates,Basal,Roots,403
49,1,mykorrhiza,Basal,Fungi,404
50,1,saphrophytes,Basal,Fungi,405
51,1,bacterivor nematodes,Basal,Nematoda,406
52,1,fungivor nematodes,Basal,Nematoda,407
53,1,root feeding nematodes,Basal,Nematoda,408
54,1,predatious nematodes,Basal,Nematoda,409
55,1,omniv. Nematodes,Basal,Nematoda,410
56,1,bacteria,Basal,Bacteria,411
57,3,flagelata;ciliata;amoeba,Basal,Protozoa,412;413;414
60,1,algae,Basal,Algae,415
61,1,enchitraeidae,Enchitraeidae,Enchitraeidae,416
62,1,dead organic matter detritus,Basal detritus,detritus,417
63,1,Pachylaelaps laeuchlii (ad),Mesostigmata,Pachylaelapidae,436
64,1,litter detritus,Basal detritus,detritus,442
65,1,Erigonella hiemalis (ad),Araneae,Linyphiidae,466
66,1,Julidae spec,Diplopoda,Julidae,486
67,1,Scheloribates initialis,Oribatida,Scheloribatidae,518
68,1,Steganacarus herculeanus,Oribatida,Phthiracaridae,519
72,1,Clubionidae (juv),Araneae,Clubionidae,584
73,1,Pardosa sp (juv),Araneae,Lycosidae,590
74,1,Geophilus studeri,Chilopoda,Geophilidae,596
76,1,Porcellio montanus,Isopoda,Porcellionidae,644
77,1,Zerconidae (juv),Mesostigmata,Eviphididae,649
78,1,Rhodacarus agrestis (ad),Mesostigmata,Rhodacaridae,663
83,2,Scutigerella immaculata {m};Scolopendrella sp./subnuda {m},Symphyla,Scutigerellidae;Scolopendrellidae,718;719
85,1,Athous zebei (juv) {l},Coleoptera,Elateridae,722
86,1,Robertus sp (juv) {l},Araneae,Theridiidae,733
87,1,Pergamasinae (juv) {s},Mesostigmata,Pergamasinae,735
88,1,Trachytes pauperior (ad) {s},Mesostigmata,Trachytidae,738
89,1,Lumbricus terrestris (juv) {xxxl},Lumbricidae,Lumbricidae,746
91,1,Trichoniscus pusillus {m},Isopoda,Trichoniscidae,750
92,1,Monachoides incarnatus,Gastropoda,Hygromiidae,807
93,4,Monachoides incarnatus juv;Aegopinella nitens;Aegopinella nitens juv;Trichia striolata juv,Gastropoda,Hygromiidae;Oxychilidae;Helicidae,808;809;810;817
96,2,Arion silvaticus;Arion fuscus,Gastropoda,Arionidae,815;820
99,1,Euconulus fulvus,Gastropoda,Euconulidae,821
100,1,Limacidae spec,Gastropoda,Limacidae,822
101,1,Cantharidae spec,Coleoptera,Cantharidae,851
102,1,Staphylinidae spec,Coleoptera,Stapylinidae,858
103,1,Coleoptera spec,Coleoptera,Coleoptera spec,863
104,1,Carabidae spec,Coleoptera,Carabidae,875
105,1,Abax spec,Coleoptera,Carabidae,881
106,1,Cantharidae spec juv,Coleoptera,Cantharidae,890
107,1,Trichoniscus spec,Isopoda,Trichoniscidae,911
108,1,Porcellio conspersum,Isopoda,Porcellionidae,917
109,1,Glomeris spec,Diplopoda,Glomeridae,920
110,1,Tenuiphantes tenuis,Araneae,Linyphiidae,940
111,1,Theridiidae juv spec,Araneae,Theridiidae,942
112,1,Linyphia hortensis,Araneae,Linyphiidae,946
113,1,Salticidae spec juv,Araneae,Salticidae,947
114,1,Thomisidae spec juv,Araneae,Thomisidae,954
