trophospecies_id,n_lumped,sp_name,guild,family,sp_id
1,1,Arrhopalites pygmaeus,Collembola,Arrhopalitidae,2
2,1,Ceratophysella denticulata,Collembola,Hypogastruridae,4
3,2,Folsomia quadrioculata;Folsomia spinosa,Collembola,Isotomidae,14;15
5,2,Isotomiella minor;Parisotoma notabilis,Collembola,Isotomidae,22;40
6,1,Lepidocyrtus lanuginosus,Collembola,Entomobryidae,25
7,1,Lipothrix (Sphyrotheca) lubbocki,Collembola,Sminthuridae,26
8,1,Megalothorax minimus,Collembola,Neelidae,27
9,2,Mesaphorura sp.;Paratullbergia callipygos,Collembola,Tullbergiidae,28;38
12,1,Lithobius crassipes,Chilopoda,Lithobiidae,58
13,1,Lithobius melanops,Chilopoda,Lithobiidae,62
14,1,Lithobius mutabilis,Chilopoda,Lithobiidae,65
15,1,Lithobius cf. mutabilis juv,Chilopoda,Lithobiidae,66
16,1,Lithobius sp1 {s},Chilopoda,Lithobiidae,70
17,1,Lithobius sp4,Chilopoda,Lithobiidae,73
18,1,Geophilus ribauti,Chilopoda,Geophilidae,74
19,1,Geophilus insculptus,Chilopoda,Geophilidae,75
20,1,Schendyla nemorensis,Chilopoda,Schendylidae,77
21,1,Strigamia acuminata,Chilopoda,Dignathodontidae,79
22,1,Scolopendrella sp./subnuda {s},Symphyla,Scolopendrellidae,81
23,1,Pterostichus burmeisteri,Coleoptera,Carabidae,95
24,1,Nargus anisotomoides,Coleoptera,Catopidae,101
25,1,Athous subfuscus (juv) {m},Coleoptera,Elateridae,113
26,1,Athous vittatus (juv),Coleoptera,Elateridae,115
27,1,Athous sp. (juv),Coleoptera,Elateridae,117
28,1,Elateridae sp1 (juv) {m},Coleoptera,Elateridae,119
29,1,Lamprohiza splendidula (juv),Coleoptera,Lampyridae,121
30,1,Atheta sp. (juv),Coleoptera,Stapylinidae,136
31,1,Philonthus sp.,Coleoptera,Stapylinidae,153
32,1,Quedius sp. (juv),Coleoptera,Stapylinidae,154
33,1,Stilicus sp. (juv),Coleoptera,Stapylinidae,156
34,1,Anelasmocephalus cambridgei,Opiliones,Trogulidae,163
35,1,Amaurobius sp (juv),Araneae,Amaurobiidae,164
36,1,Coelotes sp (juv) {l},Araneae,Amaurobiidae,168
37,1,Coelotes terrestris (ad),Araneae,Amaurobiidae,170
38,1,Diplocephalus picinus (ad),Araneae,Linyphiidae,172
39,1,Hahnia pusilla (juv),Araneae,Hahniidae,174
40,1,Hahnia pusilla (ad),Araneae,Hahniidae,175
41,1,Harpactea lepida (ad),Araneae,Dysderidae,177
42,1,Linyphiidae (juv),Araneae,Linyphiidae,178
43,1,Micrargus herbigradus (ad),Araneae,Linyphiidae,179
44,1,Microneta viaria (ad),Araneae,Linyphiidae,180
45,1,Neobisium carcinoides (ad),Pseudoscorpiones,Neobisidae,181
46,1,Neon reticulatus (ad),Araneae,Salticidae,183
47,1,Neon reticulatus (juv),Araneae,Salticidae,184
48,1,Saloca diceros (ad),Araneae,Linyphiidae,188
49,1,Tapinocyba insecta (ad),Araneae,Linyphiidae,189
50,1,Trombidiidae,Prostigmata,Trombidiidae,193
51,1,Walckenaeria cucullata (ad),Araneae,Linyphiidae,194
52,1,Cryphoeca sp (juv),Araneae,Hahniidae,197
53,1,Amblyseius similifloridanus (ad),Mesostigmata,Phytoseinae,198
54,1,Epicrius canestrinii (ad),Mesostigmata,Epicriidae,205
55,1,Gamasina (juv),Mesostigmata,Gamasina,208
56,1,Hypoaspis aculeifer (ad),Mesostigmata,Hypoaspididae,213
57,1,Leitneria granulata (juv),Mesostigmata,Halolaelapidae,215
58,1,Macrocheles montanus (ad),Mesostigmata,Macrochelidae,226
59,1,Pachyseius angustus (ad),Mesostigmata,Macrochelidae,231
60,1,Prozercon fimbriatus (ad),Mesostigmata,Zerconidae,239
61,1,Uropoda cassidea (juv),Mesostigmata,Uropodidae,249
62,1,Uroseius cylindricus (juv),Mesostigmata,Polyaspidae,255
63,1,Veigaia nemorensis (ad),Mesostigmata,Veigaiaidae,263
64,1,Zercon cf gurensis sp1 (ad),Mesostigmata,Zerconidae,266
65,3,Aporrectodea caliginosa (juv) {xl};Aporrectodea rosea (ad);Aporrectodea rosea (juv),Lumbricidae,Lumbricidae,272;274;275
68,1,Lumbricus cf rubellus (juv),Lumbricidae,Lumbricidae,282
69,1,Octolasion tyrtaeum (ad) {xxl},Lumbricidae,Lumbricidae,286
