trophospecies_id,n_lumped,sp_name,guild,family,sp_id
1,1,Deuteraphorura inermis,Collembola,Onychiuridae,8
2,1,Folsomia quadrioculata,Collembola,Isotomidae,14
3,2,Isotomiella minor;Parisotoma notabilis,Collembola,Isotomidae,22;40
4,3,Lepidocyrtus cyaneus;Lepidocyrtus lanuginosus;Lepidocyrtus lignorum,Collembola,Entomobryidae,24;25;688
6,1,Lipothrix (Sphyrotheca) lubbocki,Collembola,Sminthuridae,26
7,1,Megalothorax minimus,Collembola,Neelidae,27
8,2,Mesaphorura sp.;Paratullbergia callipygos,Collembola,Tullbergiidae,28;38
9,1,Micranurida pygmaea,Collembola,Neanuridae,32
10,1,Micraphorura absoloni,Collembola,Onychiuridae,33
13,1,Lithobius sp4,Chilopoda,Lithobiidae,73
14,1,Schendyla nemorensis,Chilopoda,Schendylidae,77
15,1,Scolopendrella sp./subnuda {s},Symphyla,Scolopendrellidae,81
16,1,Harpalus latus,Coleoptera,Carabidae,87
17,1,Harpalus sp.,Coleoptera,Carabidae,88
18,1,Athous subfuscus (juv) {m},Coleoptera,Elateridae,113
19,1,Atheta sp. (juv),Coleoptera,Stapylinidae,136
20,1,Geostiba circellaris,Coleoptera,Stapylinidae,140
21,1,Othius sp. (juv),Coleoptera,Stapylinidae,150
22,1,Quedius sp. (juv),Coleoptera,Stapylinidae,154
23,1,Linyphiidae (juv),Araneae,Linyphiidae,178
24,1,Phalangiidae (juv),Opiliones,Phalangiidae,185
25,1,Robertus lividus (ad),Araneae,Theridiidae,186
26,1,Tapinocyba insecta (ad),Araneae,Linyphiidae,189
27,1,Trombidiidae,Prostigmata,Trombidiidae,193
28,1,Lysigamasus cf conus(ad),Mesostigmata,Pergamasinae,217
29,1,Lysigamasus puerilis (ad),Mesostigmata,Pergamasinae,220
30,1,Lysigamasus vagabundus (ad),Mesostigmata,Pergamasinae,222
31,1,Pergamasinae (juv) {xs},Mesostigmata,Pergamasinae,234
32,1,Trachytes aegrota (juv) {xs},Mesostigmata,Trachytidae,243
33,1,Uropoda minima (ad),Mesostigmata,Uropodidae,251
34,1,Uropoda minima (juv),Mesostigmata,Uropodidae,252
35,1,Veigaia cerva (ad),Mesostigmata,Veigaiaidae,257
36,1,Veigaia cerva (juv),Mesostigmata,Veigaiaidae,258
37,1,Veigaia nemorensis (ad),Mesostigmata,Veigaiaidae,263
38,1,Veigaia nemorensis (juv),Mesostigmata,Veigaiaidae,264
39,1,Zercon cf gurensis sp1 (ad),Mesostigmata,Zerconidae,266
40,1,Lumbricus rubellus (juv) {xl},Lumbricidae,Lumbricidae,281
41,1,Achipteria coleoptrata,Oribatida,Achipteriidae,295
42,2,Brachychthoniidae spp.;Micreremus brevipes,Oribatida,Brachychthoniidae;Micreremidae,302;505
43,2,Chamobates voigtsi;Microtritia minima,Oribatida,Chamobatidae;Euphthiracaroidae,308;507
44,3,Galumna lanceata;Steganacarus magnus;Chamobates subglobulus,Oribatida,Galumnidae;Phthiracaridae;Chamobatidae,319;365;499
45,1,Oribatida juv.,Oribatida,,323
46,2,Metabelba pulverosa;Porobelba spinosa,Oribatida,Damaeidae,330;355
47,3,Microppia minus;Berniniella sigma;Oppiella propinqua,Oribatida,Oppiidae,331;493;511
48,1,Nanhermannia nana,Oribatida,Nanhermanniidae,332
49,1,Nothrus silvestris,Oribatida,Nothridae,335
50,2,Oppiella nova;Suctobelbella spp.,Oribatida,Oppiidae;Suctobelbidae,338;625
51,1,Oribatula tibialis,Oribatida,Oribatulidae,343
52,2,Phthiracarus longulus;Rhysotritia duplicata,Oribatida,Phthiracaridae;Euphthiracaroidae,351;517
53,1,Platynothrus peltifer,Oribatida,Camisiidae,353
55,1,Protaphorura sp.,Collembola,Onychiuridae,361
57,1,Sminthuridae juv.,Collembola,Sminthurididae,368
58,1,Sphaeridia pumilis,Collembola,Sminthurididae,370
59,1,plants,Basal,Plants,401
60,1,roots,Basal,Roots,402
61,1,root exudates,Basal,Roots,403
62,1,mykorrhiza,Basal,Fungi,404
63,1,saphrophytes,Basal,Fungi,405
64,1,bacterivor nematodes,Basal,Nematoda,406
65,1,fungivor nematodes,Basal,Nematoda,407
66,1,root feeding nematodes,Basal,Nematoda,408
67,1,predatious nematodes,Basal,Nematoda,409
68,1,omniv. Nematodes,Basal,Nematoda,410
69,1,bacteria,Basal,Bacteria,411
70,3,flagelata;ciliata;amoeba,Basal,Protozoa,412;413;414
73,1,algae,Basal,Algae,415
74,1,enchitraeidae,Enchitraeidae,Enchitraeidae,416
75,1,dead organic matter detritus,Basal detritus,detritus,417
76,1,Amblyseius cf nemorivagus (ad),Mesostigmata,Phytoseinae,418
77,1,Geholaspis longispinosus (juv),Mesostigmata,Macrochelidae,420
78,1,litter detritus,Basal detritus,detritus,442
79,1,Rhodacarus coronatus (juv),Mesostigmata,Rhodacaridae,447
80,1,Rhodacarus coronatus (ad),Mesostigmata,Rhodacaridae,448
81,1,Veigaia planicola (ad),Mesostigmata,Veigaiaidae,456
82,1,Veigaia planicola (juv),Mesostigmata,Veigaiaidae,457
83,1,Zercon cf peltatus (ad),Mesostigmata,Zerconidae,462
