sp_name,guild,animal,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,d_seed
      1 Lechriodus fletcheri,      1 Lechriodus fletcheri,1,7,1,3.882352941,2,
      2 Anatopynia sp.,      2 Anatopynia sp.,1,3,2,3,2,
      3 Cheiroseius sp.,      3 Cheiroseius sp.,1,1,1,3,2,
      4 Prionocyphon sp.,      4 Prionocyphon sp.,1,1,2,2,1,
      5 hyadesiid mite,      5 hyadesiid mite,1,1,2,2,1,
      6 Aedes sp. 22,      6 Aedes sp. 22,1,2,4,2,1,
      7 Aedes candidoscutellum,      7 Aedes candidoscutellum,1,2,4,2,1,
      8 large detritus particles,      8 large detritus particles,0,0,1,1,0,1
      9 small detritus particles,      9 small detritus particles,0,0,3,1,0,1
     10 suspended organic matter detritus,     10 suspended organic matter detritus,0,0,2,1,0,1
     11 Culicoides angularis,     11 Culicoides angularis,1,3,2,3.428571429,3,
     12 Arrenurus sp.,     12 Arrenurus sp.,1,5,1,3.555555556,4,
