sp_name,guild,animal,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
      1 Entomobrya corticola,      1 Entomobrya corticola,1,1,1,3,2
      2 E. ligata,      2 E. ligata,1,1,1,3,2
      3 Entomobrya sp.,      3 Entomobrya sp.,1,1,1,3,2
      4 Pseudachorutes sp.,      4 Pseudachorutes sp.,1,1,1,3,2
      5 Isotoma sensibilis,      5 Isotoma sensibilis,1,1,1,3,2
      6 Tomocera flavescens,      6 Tomocera flavescens,1,1,1,3,2
      7 Parcoblatta sp.,      7 Parcoblatta sp.,1,1,0,3,2
      8 heteropteran (undet.),      8 heteropteran (undet.),1,8,0,3.222222222,3
      9 Epiptera sp.,      9 Epiptera sp.,1,1,0,3,2
     10 Tachymenis flavicauda,     10 Tachymenis flavicauda,1,7,0,4,3
     11 Erchomus ventriculus,     11 Erchomus ventriculus,1,1,0,3,2
     12 Saprinus sp.,     12 Saprinus sp.,1,8,0,3.916666667,3
     13 Platysoma parallelum,     13 Platysoma parallelum,1,8,0,3.222222222,3
     14 P. lecontei,     14 P. lecontei,1,3,0,4,3
     15 Plegaderus sp.,     15 Plegaderus sp.,1,1,0,3,2
     16 Cylistix cylindrica,     16 Cylistix cylindrica,1,1,0,4,3
     17 Thanasimus dubius,     17 Thanasimus dubius,1,8,0,3.222222222,3
     18 Boros unicolor larvae,     18 Boros unicolor larvae,1,1,0,3,2
     19 Dendroides bicolor larvae,     19 Dendroides bicolor larvae,1,1,1,3,2
     20 Alaus myops larvae,     20 Alaus myops larvae,1,4,0,3.4,3
     21 Ischiodontus sp. larvae,     21 Ischiodontus sp. larvae,1,1,0,2,1
     22 Melanotus sp. larvae,     22 Melanotus sp. larvae,1,1,0,3,2
     23 Elater verticinus,     23 Elater verticinus,1,1,0,3,2
     24 Drapites sp. larvae,     24 Drapites sp. larvae,1,1,0,2,1
     25 Buprestis lineata larvae,     25 Buprestis lineata larvae,1,2,0,2,1
     26 Buprestis sp. larvae,     26 Buprestis sp. larvae,1,2,0,2,1
     27 Chalcophora sp. larvae,     27 Chalcophora sp. larvae,1,1,2,2,1
     28 Chrysobothris sp. larvae,     28 Chrysobothris sp. larvae,1,1,2,2,1
     29 Temnochila virescens,     29 Temnochila virescens,1,11,0,3.307692308,3
     30 Rhizophagus cylindricus,     30 Rhizophagus cylindricus,1,10,0,3.333333333,3
     31 Brontes dubius,     31 Brontes dubius,1,1,0,3,2
     32 Mycetophagus pini,     32 Mycetophagus pini,1,1,0,3,2
     33 Colopterus semitectus,     33 Colopterus semitectus,1,1,0,3,2
     34 Stelidota geminata,     34 Stelidota geminata,1,1,0,3,2
     35 Bolitotherus cornutus,     35 Bolitotherus cornutus,1,1,0,3,2
     36 Platydema flavipes,     36 Platydema flavipes,1,1,0,3,2
     37 Stephanopachys rugosus larvae,     37 Stephanopachys rugosus larvae,1,1,0,2,1
     38 Asemum moestum larvae,     38 Asemum moestum larvae,1,2,0,2,1
     39 Rhagium lineatum larvae,     39 Rhagium lineatum larvae,1,1,2,2,1
     40 Xylotrechus sagittatus larvae,     40 Xylotrechus sagittatus larvae,1,1,0,2,1
     41 Callidium antennatum larvae,     41 Callidium antennatum larvae,1,1,1,2,1
     42 Acanthocinus obsoletus larvae,     42 Acanthocinus obsoletus larvae,1,1,1,2,1
     43 A. nodosus larvae,     43 A. nodosus larvae,1,1,0,2,1
     44 Eupogonius tomentosus larvae,     44 Eupogonius tomentosus larvae,1,1,0,2,1
     45 Monochammus titillator larvae,     45 Monochammus titillator larvae,1,1,3,2,1
     46 Rhyncolus sp.,     46 Rhyncolus sp.,1,1,0,3,2
     47 Cossonus corticola,     47 Cossonus corticola,1,1,0,3,2
     48 Pissodes memorensis larvae,     48 Pissodes memorensis larvae,1,1,1,2,1
     49 Pachylobins picivorus larvae,     49 Pachylobins picivorus larvae,1,1,0,2,1
     50 Hylobius pales larvae,     50 Hylobius pales larvae,1,1,0,2,1
     51 Platypus flavicornis,     51 Platypus flavicornis,1,1,2,3,2
     52 Ips grandicollis,     52 Ips grandicollis,1,1,5,2,1
     53 I. calligraphus,     53 I. calligraphus,1,1,5,2,1
     54 Xyleborus fitchi,     54 Xyleborus fitchi,1,1,5,3,2
     55 Orthotomicus coelatus,     55 Orthotomicus coelatus,1,1,5,2,1
     56 Pithyophthorus annectens,     56 Pithyophthorus annectens,1,1,5,2,1
     57 P. pullus,     57 P. pullus,1,1,5,2,1
     58 Dendroctonus valens,     58 Dendroctonus valens,1,1,5,2,1
     59 D. tenebrans,     59 D. tenebrans,1,1,5,2,1
     60 Sciara coprophila larvae,     60 Sciara coprophila larvae,1,1,1,2,1
     61 Xylophagus fasciatus larvae,     61 Xylophagus fasciatus larvae,1,1,1,3,2
     62 Lonchaea sp. larvae,     62 Lonchaea sp. larvae,1,1,2,3,2
     63 Theresia monohammi larvae,     63 Theresia monohammi larvae,1,1,1,3,2
     64 Sarcophaga sp. larvae,     64 Sarcophaga sp. larvae,1,1,1,3,2
     65 Sirex nigricornia larvae,     65 Sirex nigricornia larvae,1,1,0,2,1
     66 Orussus sp. larvae,     66 Orussus sp. larvae,1,2,0,3,2
     67 Coeloides pissodis larvae,     67 Coeloides pissodis larvae,1,1,0,3,2
     68 Camponotus herculeanus,     68 Camponotus herculeanus,1,1,0,3,2
     69 Leptinothorax curvispinosus,     69 Leptinothorax curvispinosus,1,1,0,3,2
     70 Ponera coarctata,     70 Ponera coarctata,1,1,0,3,2
     71 Lasius umbratus,     71 Lasius umbratus,1,1,0,3,2
     72 uropodid sp.,     72 uropodid sp.,1,1,1,3,2
     73 Parasitus sp.,     73 Parasitus sp.,1,1,0,3,2
     74 Dendrolaelaps sp.,     74 Dendrolaelaps sp.,1,1,0,3,2
     75 Pergamasus sp.,     75 Pergamasus sp.,1,1,0,3,2
     76 Geophilus varians,     76 Geophilus varians,1,1,0,3,2
     77 Linotaenia bidens,     77 Linotaenia bidens,1,1,0,3,2
     78 Cryptops hyalina,     78 Cryptops hyalina,1,1,0,3,2
     79 Bothropolys multidentatus,     79 Bothropolys multidentatus,1,1,0,3,2
     80 Chelanops oblongus,     80 Chelanops oblongus,1,1,0,3,2
     81 C. virginnae,     81 C. virginnae,1,1,0,3,2
     82 Chelifer cancroides,     82 Chelifer cancroides,1,1,0,3,2
     83 various larvae (unsp.),     83 various larvae (unsp.),1,3,14,2.5,1
     84 chironomid larvae,     84 chironomid larvae,1,1,2,3,2
     85 cecidomyid larvae,     85 cecidomyid larvae,1,1,2,3,2
     86 dolicopodid larvae,     86 dolicopodid larvae,1,1,2,3,2
     87 dead cerambycid detritus,     87 dead cerambycid detritus,0,0,1,1,0
     88 phloem (Pinus spp.),     88 phloem (Pinus spp.),0,0,26,1,0
     89 sapwood detritus,     89 sapwood detritus,0,0,7,1,0
     90 fungi,     90 fungi,0,2,30,2,1
