sp_name,guild,animal,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1 Phagocata,1 Phagocata,1,2,0,3.25,2
"2 Decapoda--Orconectes, Cambarus","2 Decapoda--Orconectes, Cambarus",1,4,0,2.857142857,2
"3 Plecoptera--Isoperia, Isogenus","3 Plecoptera--Isoperia, Isogenus",1,5,0,3,2
"4 Megaloptera--Nigronia, Sialis","4 Megaloptera--Nigronia, Sialis",1,4,0,3.125,2
"5 Pisces--Rhinichthys, Semotilus","5 Pisces--Rhinichthys, Semotilus",1,4,0,3.125,2
6 Gammarus,6 Gammarus,1,5,3,2.888888889,2
"7 Trichoptera--Diplectrona, Rhyacophila","7 Trichoptera--Diplectrona, Rhyacophila",1,4,4,2.666666667,1
8 Asellus,8 Asellus,1,2,5,2,1
"9 Ephemeroptera--Baetis, Centroptilum, Epeorus, Paraleptophlebia, Pseudocloeon","9 Ephemeroptera--Baetis, Centroptilum, Epeorus, Paraleptophlebia, Pseudocloeon",1,2,4,2,1
"10 Trichoptera--Neophylax, Glossosoma","10 Trichoptera--Neophylax, Glossosoma",1,2,3,2,1
"11 Diptera--Tendipedidae, Simulium","11 Diptera--Tendipedidae, Simulium",1,2,5,2,1
12 detritus,12 detritus,0,0,7,1,0
13 diatoms,13 diatoms,0,0,5,1,0
