sp_name,guild,animal,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
       1 Sphagnum riparium,       1 Sphagnum riparium,0,0,1,1,0
       2 algae,       2 algae,0,0,1,1,0
       3 detritus,       3 detritus,0,0,1,1,0
       4 decomposing sphagnum detritus,       4 decomposing sphagnum detritus,0,0,2,1,0
       5 angiosperms,       5 angiosperms,0,0,2,1,0
       6 Psectrocladius larvae,       6 Psectrocladius larvae,1,2,2,2,1
"       7 chironomid larvae, cladocerans, rotifers","       7 chironomid larvae, cladocerans, rotifers",1,1,3,2,1
       8 fungi,       8 fungi,0,1,2,2,1
       9 caterpillars,       9 caterpillars,1,1,1,2,1
      10 Utricularia,      10 Utricularia,1,1,0,3,2
      11 collembola,      11 collembola,1,2,0,2.5,1
"      12 Chaoborus, Odonata larvae, Hemiptera, Coleoptera","      12 Chaoborus, Odonata larvae, Hemiptera, Coleoptera",1,2,1,3,2
      13 Nematocera imagines,      13 Nematocera imagines,1,3,3,3.5,2
      14 Drosera,      14 Drosera,1,1,0,4,3
      15 ants,      15 ants,1,2,1,3.75,3
      16 spiders,      16 spiders,1,2,1,4.428571429,3
"      17 frogs, lizards, birds","      17 frogs, lizards, birds",1,3,1,4.166666667,4
      18 birds of prey,      18 birds of prey,1,1,0,5.4,5
