trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness,SLN_ID,sp_green_frac,sp_green_direct
1,"  1 algae, bacteria, detritus","  1 algae, bacteria, detritus",1,0,4,1.0,0,0.75,0.0,1.0,0.75,0.0,116_pond,0.0,NaN
2,  2 small rotifers,  2 small rotifers,1,1,3,2.0,1,1.2,6.0,2.0,1.2,6.0,116_pond,0.0,0.0
3,"  3 Moina, Diaptomus","  3 Moina, Diaptomus",1,1,3,2.0,1,2.0,6.0,2.0,2.0,6.0,116_pond,0.0,0.0
4,  4 herbivorous insects,  4 herbivorous insects,1,2,1,2.5,1,6.0,3.0,2.5,6.0,3.0,116_pond,0.0,0.0
5,  5 Cyclops (copepod),  5 Cyclops (copepod),1,3,2,2.6666666666666665,1,3.0,2.0,2.6666666666666665,3.0,2.0,116_pond,0.0,0.0
6,  6 Asplancha,  6 Asplancha,1,4,2,3.25,2,6.0,1.2,3.25,6.0,1.2,116_pond,0.0,0.0
7,  7 predaceous insects,  7 predaceous insects,1,4,0,3.25,2,0.0,0.75,3.25,0.0,0.75,116_pond,0.0,0.0
1,  1 ironplant goldenweed (forb/shrub);  2 three-cleft greenthread (forb/shrub);  3 Cryptantha sp. (forb/shrub);  4 cheatgrass brome (grass);  5 Redowski's stickseed (forb/shrub);  6 groundsel (forb/shrub)(Senecio sp.),  1 ironplant goldenweed (forb/shrub),6,0,1,1.0,0,105.0,0.0,1.0,105.0,0.0,123_shortgrassprairie,1.0,NaN
7,  7 dandelion )forb/shrub),  7 dandelion )forb/shrub),1,0,2,1.0,0,13.125,0.0,1.0,13.125,0.0,123_shortgrassprairie,1.0,NaN
8,  8 wooly indian wheat (forb/shrub),  8 wooly indian wheat (forb/shrub),1,0,2,1.0,0,52.5,0.0,1.0,52.5,0.0,123_shortgrassprairie,1.0,NaN
9,  9 prairie pepperweed (forb/shrub); 10 groundsel (Senecio multicapitatus)(forb/shrub),  9 prairie pepperweed (forb/shrub),2,0,2,1.0,0,13.125,0.0,1.0,13.125,0.0,123_shortgrassprairie,1.0,NaN
11, 11 fringed sagewort (forb/shrub), 11 fringed sagewort (forb/shrub),1,0,12,1.0,0,2.9166666666666665,0.0,1.0,2.9166666666666665,0.0,123_shortgrassprairie,1.0,NaN
12, 12 blue grama (grass), 12 blue grama (grass),1,0,21,1.0,0,2.3333333333333335,0.0,1.0,2.3333333333333335,0.0,123_shortgrassprairie,1.0,NaN
13, 13 belvedere summer cypress (forb/shrub), 13 belvedere summer cypress (forb/shrub),1,0,9,1.0,0,4.565217391304348,0.0,1.0,4.565217391304348,0.0,123_shortgrassprairie,1.0,NaN
14, 14 scarlet globe mallow (forb/shrub), 14 scarlet globe mallow (forb/shrub),1,0,9,1.0,0,3.6206896551724137,0.0,1.0,3.6206896551724137,0.0,123_shortgrassprairie,1.0,NaN
15, 15 cutleaf evening primrose (forb/shrub), 15 cutleaf evening primrose (forb/shrub),1,0,5,1.0,0,2.763157894736842,0.0,1.0,2.763157894736842,0.0,123_shortgrassprairie,1.0,NaN
16, 16 slimflower scurf pea (forb/shrub), 16 slimflower scurf pea (forb/shrub),1,0,9,1.0,0,2.5609756097560976,0.0,1.0,2.5609756097560976,0.0,123_shortgrassprairie,1.0,NaN
17, 17 needle and thread (grass), 17 needle and thread (grass),1,0,6,1.0,0,2.763157894736842,0.0,1.0,2.763157894736842,0.0,123_shortgrassprairie,1.0,NaN
18, 18 hairy golden aster (forb/shrub), 18 hairy golden aster (forb/shrub),1,0,7,1.0,0,2.441860465116279,0.0,1.0,2.441860465116279,0.0,123_shortgrassprairie,1.0,NaN
19, 19 red three-awn (grass), 19 red three-awn (grass),1,0,7,1.0,0,2.6923076923076925,0.0,1.0,2.6923076923076925,0.0,123_shortgrassprairie,1.0,NaN
20, 20 locoweed (forb/shrub), 20 locoweed (forb/shrub),1,0,4,1.0,0,10.5,0.0,1.0,10.5,0.0,123_shortgrassprairie,1.0,NaN
21, 21 carex (grass), 21 carex (grass),1,0,12,1.0,0,2.441860465116279,0.0,1.0,2.441860465116279,0.0,123_shortgrassprairie,1.0,NaN
22, 22 sand dropseed (grass), 22 sand dropseed (grass),1,0,10,1.0,0,5.25,0.0,1.0,5.25,0.0,123_shortgrassprairie,1.0,NaN
23, 23 western wheatgrass (grass), 23 western wheatgrass (grass),1,0,12,1.0,0,3.5,0.0,1.0,3.5,0.0,123_shortgrassprairie,1.0,NaN
24, 24 gromwell (forb/shrub), 24 gromwell (forb/shrub),1,0,3,1.0,0,21.0,0.0,1.0,21.0,0.0,123_shortgrassprairie,1.0,NaN
25, 25 broom snakeweed (forb/shrub), 25 broom snakeweed (forb/shrub),1,0,7,1.0,0,2.441860465116279,0.0,1.0,2.441860465116279,0.0,123_shortgrassprairie,1.0,NaN
26, 26 six-weeks fescue (grass), 26 six-weeks fescue (grass),1,0,5,1.0,0,9.545454545454545,0.0,1.0,9.545454545454545,0.0,123_shortgrassprairie,1.0,NaN
27, 27 wavyleaf thistle (forb/shrub), 27 wavyleaf thistle (forb/shrub),1,0,11,1.0,0,2.5,0.0,1.0,2.5,0.0,123_shortgrassprairie,1.0,NaN
28, 28 buffalo grass (grass), 28 buffalo grass (grass),1,0,3,1.0,0,35.0,0.0,1.0,35.0,0.0,123_shortgrassprairie,1.0,NaN
29, 29 crested wheatgrass (grass), 29 crested wheatgrass (grass),1,0,2,1.0,0,13.125,0.0,1.0,13.125,0.0,123_shortgrassprairie,1.0,NaN
30, 30 alfalfa (forb/shrub), 30 alfalfa (forb/shrub),1,0,2,1.0,0,10.5,0.0,1.0,10.5,0.0,123_shortgrassprairie,1.0,NaN
31, 31 tumbling Russian thistle (forb/shrub), 31 tumbling Russian thistle (forb/shrub),1,0,3,1.0,0,9.545454545454545,0.0,1.0,9.545454545454545,0.0,123_shortgrassprairie,1.0,NaN
32, 32 four-o-clock (forb/shrub), 32 four-o-clock (forb/shrub),1,0,5,1.0,0,3.0,0.0,1.0,3.0,0.0,123_shortgrassprairie,1.0,NaN
33, 33 silky sophora (forb/shrub), 33 silky sophora (forb/shrub),1,0,3,1.0,0,11.666666666666666,0.0,1.0,11.666666666666666,0.0,123_shortgrassprairie,1.0,NaN
34, 34 unknown vegetation, 34 unknown vegetation,1,0,8,1.0,0,3.28125,0.0,1.0,3.28125,0.0,123_shortgrassprairie,1.0,NaN
35, 35 wheat (grass), 35 wheat (grass),1,0,3,1.0,0,11.666666666666666,0.0,1.0,11.666666666666666,0.0,123_shortgrassprairie,1.0,NaN
36, 36 oats (grass), 36 oats (grass),1,0,3,1.0,0,11.666666666666666,0.0,1.0,11.666666666666666,0.0,123_shortgrassprairie,1.0,NaN
37, 37 commonsunflower (forb/shrub), 37 commonsunflower (forb/shrub),1,0,8,1.0,0,3.75,0.0,1.0,3.75,0.0,123_shortgrassprairie,1.0,NaN
38, 38 unknown forbs, 38 unknown forbs,1,0,2,1.0,0,52.5,0.0,1.0,52.5,0.0,123_shortgrassprairie,1.0,NaN
39, 39 rubber rabbit brush (forb/shrub), 39 rubber rabbit brush (forb/shrub),1,0,4,1.0,0,2.625,0.0,1.0,2.625,0.0,123_shortgrassprairie,1.0,NaN
40, 40 bee spiderflower (forb/shrub), 40 bee spiderflower (forb/shrub),1,0,4,1.0,0,2.625,0.0,1.0,2.625,0.0,123_shortgrassprairie,1.0,NaN
41, 41 dotted gayfeather (forb/shrub), 41 dotted gayfeather (forb/shrub),1,0,4,1.0,0,2.625,0.0,1.0,2.625,0.0,123_shortgrassprairie,1.0,NaN
42, 42 pinnate tansy mustard (forb/shrub), 42 pinnate tansy mustard (forb/shrub),1,0,3,1.0,0,2.625,0.0,1.0,2.625,0.0,123_shortgrassprairie,1.0,NaN
43, 43 fourwing saltbrush (forb/shrub), 43 fourwing saltbrush (forb/shrub),1,0,10,1.0,0,2.8378378378378377,0.0,1.0,2.8378378378378377,0.0,123_shortgrassprairie,1.0,NaN
44, 44 bottlebrush squirreltail (grass), 44 bottlebrush squirreltail (grass),1,0,5,1.0,0,2.5,0.0,1.0,2.5,0.0,123_shortgrassprairie,1.0,NaN
45, 45 plains bahia (forb/shrub), 45 plains bahia (forb/shrub),1,0,6,1.0,0,2.441860465116279,0.0,1.0,2.441860465116279,0.0,123_shortgrassprairie,1.0,NaN
46, 46 plains prickly pear (forb/shrub), 46 plains prickly pear (forb/shrub),1,0,6,1.0,0,2.8378378378378377,0.0,1.0,2.8378378378378377,0.0,123_shortgrassprairie,1.0,NaN
47, 47 greenthread (forb/shrub), 47 greenthread (forb/shrub),1,0,3,1.0,0,2.6923076923076925,0.0,1.0,2.6923076923076925,0.0,123_shortgrassprairie,1.0,NaN
48, 48 groundsel (forb/shrub), 48 groundsel (forb/shrub),1,0,4,1.0,0,2.5609756097560976,0.0,1.0,2.5609756097560976,0.0,123_shortgrassprairie,1.0,NaN
49, 49 small soapweed (forb/shrub), 49 small soapweed (forb/shrub),1,0,1,1.0,0,3.75,0.0,1.0,3.75,0.0,123_shortgrassprairie,1.0,NaN
50, 50 upright prairie coneflower (forb/shrub), 50 upright prairie coneflower (forb/shrub),1,0,1,1.0,0,105.0,0.0,1.0,105.0,0.0,123_shortgrassprairie,1.0,NaN
51, 51 prairie spiderwart (forb/shrub), 51 prairie spiderwart (forb/shrub),1,0,2,1.0,0,17.5,0.0,1.0,17.5,0.0,123_shortgrassprairie,1.0,NaN
52, 52 unidentified seeds (forb/shrub); 53 fungus (forb/shrub), 52 unidentified seeds (forb/shrub),2,0,4,1.0,0,5.833333333333333,0.0,1.0,5.833333333333333,0.0,123_shortgrassprairie,1.0,NaN
54, 54 common buckwheat (forb/shrub); 55 tansy leaf aster (forb/shrub); 56 lambs-quarter (forb/shrub); 57 cream peavine (forb/shrub); 58 slenderbush buckwheat (forb/shrub); 59 Cryptantha (forb/shrub); 60 orchard grass (grass); 61 Canada wild rye (grass); 62 wild rye (grass); 63 wild buckwheat (forb/shrub); 64 peavine (forb/shrub); 65 silky crazyweed (forb/shrub), 54 common buckwheat (forb/shrub),12,0,1,1.0,0,105.0,0.0,1.0,105.0,0.0,123_shortgrassprairie,1.0,NaN
66, 66 musineon (forb/shrub), 66 musineon (forb/shrub),1,0,2,1.0,0,52.5,0.0,1.0,52.5,0.0,123_shortgrassprairie,1.0,NaN
67, 67 bush peavine (forb/shrub); 97 lacewings;110 dragonflies, 67 bush peavine (forb/shrub),3,0,1,1.0,0,105.0,0.0,1.0,105.0,0.0,123_shortgrassprairie,1.0,NaN
68, 68 knotweed (forb/shrub); 69 indian ricegrass (grass), 68 knotweed (forb/shrub),2,0,3,1.0,0,21.0,0.0,1.0,21.0,0.0,123_shortgrassprairie,1.0,NaN
70, 70 pendler three-awn (grass), 70 pendler three-awn (grass),1,0,3,1.0,0,21.0,0.0,1.0,21.0,0.0,123_shortgrassprairie,1.0,NaN
71, 71 tumbleweed amaranth (forb/shrub); 72 slimleaf goosefoot (forb/shrub), 71 tumbleweed amaranth (forb/shrub),2,0,1,1.0,0,105.0,0.0,1.0,105.0,0.0,123_shortgrassprairie,1.0,NaN
73," 73 lichen (forb/shrub);113 misc. fur, feather, fin", 73 lichen (forb/shrub),2,0,3,1.0,0,6.176470588235294,0.0,1.0,6.176470588235294,0.0,123_shortgrassprairie,1.0,NaN
74, 74 antelope, 74 antelope,1,8,0,2.0,1,0.0,13.125,2.0,0.0,13.125,123_shortgrassprairie,1.0,1.0
75, 75 cattle, 75 cattle,1,14,0,2.0,1,0.0,7.5,2.0,0.0,7.5,123_shortgrassprairie,0.9999999999999997,1.0
76, 76 sheep, 76 sheep,1,12,0,2.0,1,0.0,8.75,2.0,0.0,8.75,123_shortgrassprairie,1.0,1.0
77, 77 bison, 77 bison,1,10,0,2.0,1,0.0,10.5,2.0,0.0,10.5,123_shortgrassprairie,0.9999999999999999,1.0
78, 78 black-tailed jackrabbit, 78 black-tailed jackrabbit,1,17,3,2.0,1,35.0,6.176470588235294,2.0,35.0,6.176470588235294,123_shortgrassprairie,1.0,1.0
79, 79 white-tailed jackrabbit, 79 white-tailed jackrabbit,1,18,3,2.0,1,35.0,5.833333333333333,2.0,35.0,5.833333333333333,123_shortgrassprairie,1.0000000000000002,1.0
80, 80 grasshopper (opob), 80 grasshopper (opob),1,3,0,2.0,1,0.0,35.0,2.0,0.0,35.0,123_shortgrassprairie,1.0,1.0
81, 81 grasshopper (trki), 81 grasshopper (trki),1,2,0,2.0,1,0.0,52.5,2.0,0.0,52.5,123_shortgrassprairie,1.0,1.0
82, 82 grasshopper (psde), 82 grasshopper (psde),1,2,0,2.0,1,0.0,52.5,2.0,0.0,52.5,123_shortgrassprairie,1.0,1.0
83, 83 grasshopper (arps), 83 grasshopper (arps),1,4,0,2.0,1,0.0,26.25,2.0,0.0,26.25,123_shortgrassprairie,1.0,1.0
84, 84 grasshopper (mein), 84 grasshopper (mein),1,10,0,2.0,1,0.0,10.5,2.0,0.0,10.5,123_shortgrassprairie,0.9999999999999999,1.0
85, 85 Coleoptera, 85 Coleoptera,1,15,9,2.0,1,5.0,7.0,2.0,5.0,7.0,123_shortgrassprairie,0.9999999999999999,1.0
86, 86 Diptera, 86 Diptera,1,15,6,2.0,1,6.5625,7.0,2.0,6.5625,7.0,123_shortgrassprairie,0.9999999999999999,1.0
87, 87 Hemiptera, 87 Hemiptera,1,9,4,2.0,1,17.5,11.666666666666666,2.0,17.5,11.666666666666666,123_shortgrassprairie,1.0000000000000002,1.0
88, 88 Homoptera, 88 Homoptera,1,17,3,2.0,1,35.0,6.176470588235294,2.0,35.0,6.176470588235294,123_shortgrassprairie,1.0,1.0
89, 89 vole;104 ring-necked pheasent;119 killdeer;120 mountain plover, 89 vole,4,0,1,1.0,0,105.0,0.0,1.0,105.0,0.0,123_shortgrassprairie,1.0,NaN
90, 90 Hymenoptera, 90 Hymenoptera,1,14,6,2.0,1,6.5625,7.5,2.0,6.5625,7.5,123_shortgrassprairie,0.9999999999999997,1.0
91, 91 butterflies, 91 butterflies,1,9,8,2.0,1,4.7727272727272725,11.666666666666666,2.0,4.7727272727272725,11.666666666666666,123_shortgrassprairie,1.0000000000000002,1.0
92, 92 thrips, 92 thrips,1,10,0,2.0,1,0.0,10.5,2.0,0.0,10.5,123_shortgrassprairie,0.9999999999999999,1.0
93, 93 gopher, 93 gopher,1,11,4,2.0,1,26.25,9.545454545454545,2.0,26.25,9.545454545454545,123_shortgrassprairie,1.0000000000000002,1.0
94, 94 kangaroo rat, 94 kangaroo rat,1,7,2,2.0,1,52.5,15.0,2.0,52.5,15.0,123_shortgrassprairie,0.9999999999999998,1.0
95, 95 harvester ant, 95 harvester ant,1,13,0,2.0,1,0.0,8.076923076923077,2.0,0.0,8.076923076923077,123_shortgrassprairie,0.9999999999999998,1.0
96, 96 unidentified grasshoppers, 96 unidentified grasshoppers,1,0,9,1.0,0,5.0,0.0,1.0,5.0,0.0,123_shortgrassprairie,1.0,NaN
98, 98 crickets;111 house mouse, 98 crickets,2,0,1,1.0,0,35.0,0.0,1.0,35.0,0.0,123_shortgrassprairie,1.0,NaN
99, 99 cottontail rabbits, 99 cottontail rabbits,1,0,7,1.0,0,15.0,0.0,1.0,15.0,0.0,123_shortgrassprairie,1.0,NaN
100,100 prairie vole;114 hispid pocket mouse,100 prairie vole,2,0,2,1.0,0,26.25,0.0,1.0,26.25,0.0,123_shortgrassprairie,1.0,NaN
101,101 muskrat,101 muskrat,1,0,1,1.0,0,105.0,0.0,1.0,105.0,0.0,123_shortgrassprairie,1.0,NaN
102,102 harvest mouse,102 harvest mouse,1,0,1,1.0,0,105.0,0.0,1.0,105.0,0.0,123_shortgrassprairie,1.0,NaN
103,103 meadow vole,103 meadow vole,1,0,1,1.0,0,105.0,0.0,1.0,105.0,0.0,123_shortgrassprairie,1.0,NaN
