trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,      1 Psen spp.;      2 Oxybelus uniglumis;      3 Crossocerus wesmaeli,      1 Psen spp.,3,1,1,2.0,1.0,3.3333333333333335,10.0,2.0,3.3333333333333335,10.0
4,      4 Formica fusca;      5 Acanthomyops niger,      4 Formica fusca,2,1,0,2.0,1.0,0.0,10.0,2.0,0.0,10.0
6,      6 Linyphia triangularis;      7 Agelena labyrinthica,      6 Linyphia triangularis,2,4,1,3.5,2.0,10.0,1.0,3.5,10.0,1.0
8,      8 ichneumonids (unspecified);     16 Sphex sabulosa,      8 ichneumonids (unspecified),2,1,1,3.0,2.0,3.3333333333333335,3.3333333333333335,3.0,3.3333333333333335,3.3333333333333335
9,      9 Psammochares fuscus,      9 Psammochares fuscus,1,1,0,4.0,3.0,0.0,0.5555555555555556,4.0,0.0,0.5555555555555556
10,     10 Anthocoris nemorum,     10 Anthocoris nemorum,1,1,0,3.0,2.0,0.0,3.3333333333333335,3.0,0.0,3.3333333333333335
11,     11 Exochamus quadripustulatus;     12 Coccinella 7-punctata;     13 Anatis ocellata;     14 Adalia bipunctata;     15 Syrphus vitripennis larvae,     11 Exochamus quadripustulatus,5,1,1,3.0,2.0,3.3333333333333335,3.3333333333333335,3.0,3.3333333333333335,3.3333333333333335
17,     17 Dilachnus pini,     17 Dilachnus pini,1,1,3,2.0,1.0,2.0,10.0,2.0,2.0,10.0
18,     18 Retinia buoliana larvae;     19 Panolis griseovariegata larvae;     20 Oenerostoma piniariella larvae;     21 Gelechia dodecella larvae,     18 Retinia buoliana larvae,4,1,1,2.0,1.0,1.6666666666666667,10.0,2.0,1.6666666666666667,10.0
22,     22 secretions of Dilachnus pini detritus,     22 secretions of Dilachnus pini detritus,1,0,2,1.0,0.0,1.4285714285714286,0.0,1.0,1.4285714285714286,0.0
23,     23 young Pinus sp.,     23 young Pinus sp.,1,0,2,1.0,0.0,0.7692307692307693,0.0,1.0,0.7692307692307693,0.0
