trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,"      1 wind-blown organic debris, pollen, detritus","      1 wind-blown organic debris, pollen, detritus",1,0,2,1.0,0.0,1.4166666666666667,0.0,1.0,1.4166666666666667,0.0
2,      2 flowering plants,      2 flowering plants,1,0,5,1.0,0.0,1.5454545454545454,0.0,1.0,1.5454545454545454,0.0
3,      3 dead carcasses detritus,      3 dead carcasses detritus,1,0,1,1.0,0.0,17.0,0.0,1.0,17.0,0.0
4,      4 Machilanus (flea),      4 Machilanus (flea),1,1,0,2.0,1.0,0.0,17.0,2.0,0.0,17.0
5,      5 fungi,      5 fungi,1,1,2,2.0,1.0,2.8333333333333335,17.0,2.0,2.8333333333333335,17.0
6,      6 snow partridge,      6 snow partridge,1,1,1,2.0,1.0,17.0,17.0,2.0,17.0,17.0
7,"      7 Ochotona ladacensis (pika), mice","      7 Ochotona ladacensis (pika), mice",1,1,1,2.0,1.0,17.0,17.0,2.0,17.0,17.0
8,      8 Pseudois nahura (bharal sheep),      8 Pseudois nahura (bharal sheep),1,1,2,2.0,1.0,8.5,17.0,2.0,8.5,17.0
9,      9 yak,      9 yak,1,1,1,2.0,1.0,17.0,17.0,2.0,17.0,17.0
10,"     10 bumblebees, butterflies, aphids, weevils","     10 bumblebees, butterflies, aphids, weevils",1,1,0,2.0,1.0,0.0,17.0,2.0,0.0,17.0
11,"     11 lammergeier, yellow-billed chough","     11 lammergeier, yellow-billed chough",1,1,0,2.0,1.0,0.0,17.0,2.0,0.0,17.0
12,     12 springtails,     12 springtails,1,1,2,3.0,2.0,8.5,5.666666666666667,3.0,8.5,5.666666666666667
13,     13 anthomyiid fly,     13 anthomyiid fly,1,1,1,3.0,2.0,17.0,5.666666666666667,3.0,17.0,5.666666666666667
14,     14 Mustela altaica (weasel),     14 Mustela altaica (weasel),1,1,0,3.0,2.0,0.0,5.666666666666667,3.0,0.0,5.666666666666667
15,"     15 wolf, fox","     15 wolf, fox",1,2,0,3.0,2.0,0.0,4.25,3.0,0.0,4.25
16,     16 snow leopard,     16 snow leopard,1,2,0,3.0,2.0,0.0,4.25,3.0,0.0,4.25
17,"     17 mites, centipedes","     17 mites, centipedes",1,1,0,4.0,3.0,0.0,2.8333333333333335,4.0,0.0,2.8333333333333335
18,     18 salticid spider,     18 salticid spider,1,2,0,4.0,3.0,0.0,2.4285714285714284,4.0,0.0,2.4285714285714284
