sp_name,guild,guild_1,guild_2,sp_id,higher_taxon,certainty,habitat,animal,original_sp_id
detritus,detritus,organics,,1,detritus,3,3,0,1
dead animal material,detritus,organics,,2,carrion,3,3,0,2
sulphate reducing bacteria,chemotroph ,chemotroph,,3,gram-negative bacteria,2,2,0,3
Enterobacteriaceae,chemotroph ,chemotroph,,4,gram-negative bacteria,2,1,0,4
iron bacteria,chemotroph ,chemotroph,,5,gram-negative bacteria,3,3,0,5
vibroid bacteria,chemotroph ,chemotroph,,6,gram-negative bacteria,3,3,0,6
nitrate-reducing bacteria,chemotroph ,chemotroph,,7,gram-negative bacteria,2,3,0,7
iron-reducing bacteria,chemotroph ,chemotroph,,8,gram-negative bacteria,2,3,0,8
manganese-reducing bacteria,chemotroph ,chemotroph,,9,gram-negative bacteria,2,3,0,9
rods,chemotroph ,chemotroph,,10,?gram-negative bacteria,3,3,0,10
coccibacilli,chemotroph ,chemotroph,,11,gram-negative/positive bacteria,3,3,0,11
hydrogen bacteria (?Propionibacteriaceae),chemotroph ,chemotroph,,12,gram-positive bacteria,2,3,0,12
coccoid bacteria,chemotroph ,chemotroph,,13,gram-positive bacteria,3,3,0,13
curved rod bacteria,chemotroph ,chemotroph,,14,gram-positive bacteria,3,3,0,14
ammonia oxidizing bacteria,chemotroph ,chemotroph,,15,Proteobacteria,2,3,0,15
Pseudmonadiaceae-like bacteria,heterotroph ,heterotroph,,16,Proteobacteria-alpha,2,3,0,16
phosphate-reducing bacteria,chemotroph ,chemotroph,,17,Proteobacteria-alpha,3,3,0,17
nitrite-oxidizing bacteria,chemotroph ,chemotroph,,18,Proteobacteria-beta,2,3,0,18
methanogens,heterotroph ,heterotroph,,19,Proteobacteria-beta/gamma,2,3,0,19
sulfur-oxidizing bacteria,chemotroph ,chemotroph,,20,Proteobacteria-gamma,2,3,0,20
gram-positive anaerobes (?clostridia),chemotroph ,chemotroph,,21,Proteobacteria-gamma,3,3,0,21
Bacillariophyceae (Navicula mutica),myxotroph ,myxotroph,,22,Pennales,3,2,0,22
Bacillariophyceae (Fragilaria cf. ulna),myxotroph ,myxotroph,,23,Pennales,3,2,0,23
Bacillariophyceae (Surirella angusta),myxotroph ,myxotroph,,24,Pennales,3,2,0,24
Bacillariophyceae (Cyclotella or Cyclostephanus sp.),myxotroph ,myxotroph,,25,Centrales,3,2,0,25
Bacillariophyceae (Melosira granulata),myxotroph ,myxotroph,,26,Centrales,1,2,0,26
dinoflagellate incertae sedis (Geiselodinium sp.),myxotroph ,myxotroph,,27,Pyrrhophyta,3,2,0,27
