sp_name,guild,Higher taxon,animal,d_seed
Perca flavescens,Actinopteri,Actinopteri,1,
Chaoborus punctipennis,Insecta,Insecta,1,
Cladopelma,Insecta,Insecta,1,
Albabesmyia,Insecta,Insecta,1,
Libellula,Insecta,Insecta,1,
Ophryoxus gracilis,Branchiopoda,Branchiopoda,1,
Bosmina longirostris,Branchiopoda,Branchiopoda,1,
Guttipelopia,Insecta,Insecta,1,
Sympetrum,Insecta,Insecta,1,
Micropterus salmoides,Actinopteri,Actinopteri,1,
Fish eggs,Actinopteri,Actinopteri,1,
Hydroporus,Insecta,Insecta,1,
Enallagma,Insecta,Insecta,1,
Nanocladius,Insecta,Insecta,1,
Macropelopis,Insecta,Insecta,1,
Campeloma decisum,Bivalvia,Bivalvia,1,
Pomoxis nigromaculatus,Actinopteri,Actinopteri,1,
Banksiola,Insecta,Insecta,1,
Daphnia parvula,Branchiopoda,Branchiopoda,1,
Ambloplites rupestris,Actinopteri,Actinopteri,1,
Paratendipes,Insecta,Insecta,1,
Caenis,Insecta,Insecta,1,
Chaetocladius,Insecta,Insecta,1,
Djalmabatista,Insecta,Insecta,1,
Micropsectra,Insecta,Insecta,1,
Cryptochironomus,Insecta,Insecta,1,
Annelida Hirudinea,Clitellata,Clitellata,1,
Bezzia,Insecta,Insecta,1,
Anisoptera epitheca,Insecta,Insecta,1,
Polypedilum,Insecta,Insecta,1,
Cricotopus,Insecta,Insecta,1,
Glyptotendipes,Insecta,Insecta,1,
Polycentropus,Insecta,Insecta,1,
Turbellaria Tricladida,Turbellaria,Turbellaria,1,
Epischura lacustris,Hexanauplia,Hexanauplia,1,
Endochironomus,Insecta,Insecta,1,
Sphaeriidae,Bivalvia,Bivalvia,1,
Corynoneura,Insecta,Insecta,1,
Procladius,Insecta,Insecta,1,
Umbra,Actinopteri,Actinopteri,1,
Hemiptera Notonectids,Insecta,Insecta,1,
Leptophlebia,Insecta,Insecta,1,
Leptodora kindtii,Branchiopoda,Branchiopoda,1,
Holopedium gibberum,Branchiopoda,Branchiopoda,1,
Sphaeromais,Insecta,Insecta,1,
Notemigonus crysoleucus,Actinopteri,Actinopteri,1,
Limnephilus,Insecta,Insecta,1,
Xenochironomus,Insecta,Insecta,1,
Chironomus,Insecta,Insecta,1,
Paratanytarsus,Insecta,Insecta,1,
Daphnia galeata mendotae,Branchiopoda,Branchiopoda,1,
Agrypnia,Insecta,Insecta,1,
Diaphanosoma birgei,Branchiopoda,Branchiopoda,1,
Arthropoda Hydracarina,Arachnida,Arachnida,1,
Larsia,Insecta,Insecta,1,
Clinotanypus,Insecta,Insecta,1,
Microtendipes,Insecta,Insecta,1,
Pseudochironomus,Insecta,Insecta,1,
Stenochironomus,Insecta,Insecta,1,
