Consumer,Resource
36,3
36,6
36,7
36,23
36,31
36,33
37,3
37,6
37,7
37,9
37,23
37,31
37,33
38,3
38,6
38,7
38,9
38,23
38,31
38,33
39,36
39,38
39,39
39,40
39,43
39,44
39,46
39,47
39,48
39,49
39,50
39,51
39,52
39,53
39,54
39,55
40,3
40,4
40,5
40,6
40,7
40,8
40,13
40,15
40,16
40,17
40,19
40,23
40,24
40,25
40,28
40,31
40,32
40,33
41,3
41,4
41,5
41,6
41,7
41,8
41,9
41,11
41,12
41,13
41,15
41,16
41,17
41,18
41,19
41,20
41,23
41,24
41,25
41,26
41,27
41,28
41,29
41,30
41,31
41,32
41,33
41,34
41,36
41,48
41,52
42,2
42,3
42,4
42,5
42,6
42,7
42,8
42,13
42,15
42,16
42,17
42,19
42,23
42,24
42,25
42,26
42,28
42,31
42,32
42,33
42,36
42,48
42,52
43,3
43,6
43,7
43,23
43,31
43,33
44,2
44,3
44,6
44,7
44,23
44,31
44,33
45,3
45,4
45,5
45,6
45,7
45,8
45,13
45,15
45,16
45,17
45,19
45,23
45,24
45,25
45,28
45,31
45,32
45,33
46,3
46,6
46,7
46,23
46,31
46,33
47,3
47,6
47,7
47,23
47,31
47,33
48,3
48,6
48,7
48,23
48,31
48,33
49,3
49,6
49,7
49,23
49,31
49,33
50,36
50,38
50,39
50,40
50,43
50,44
50,46
50,47
50,48
50,49
50,50
50,51
50,52
50,53
50,54
50,55
51,3
51,6
51,7
51,23
51,31
51,33
52,3
52,6
52,7
52,23
52,31
52,33
53,3
53,6
53,7
53,23
53,31
53,33
54,3
54,6
54,7
54,23
54,31
54,33
55,38
55,39
55,40
55,43
55,44
55,46
55,47
55,48
55,49
55,50
55,51
55,52
55,53
55,54
55,55
56,36
56,38
56,39
56,40
56,41
56,42
56,43
56,44
56,46
56,47
56,48
56,49
56,50
56,51
56,52
56,53
56,54
56,55
56,56
57,41
57,45
57,56
57,57
