trophospecies_id,sp_name,notes,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,Anabaena circinalis;Chrysosphaerella longispina;Diceras sp.;Mallomonas-spiny sp. 1;Mallomonas-spiny sp. 2;Synura sp.,,producer,6,0,0,1,0,0,0,1,1.963924964,0
2,Ankyra judayi,,producer,1,0,2,1,0,1.818181818,0,1,1.963924964,0
3,Cryptomonas sp. 1;Chroococcus dispersus;Chroococcus limneticus;unclassified microflagellates;Chromulina sp.;Selenastrum minutum,,producer,6,0,10,1,0,1.111111111,0,1,1.963924964,0
4,Cryptomonas sp. 3;Cryptomonas sp. 4;Cosmarium sp.;Dactylococcopsis fascicularis;Dictyosphaerium pulchellum;Dinobryon sertularia;Sphaerocystis schroeteri;Glenodinium pulvisculus;Oocystis sp. 1;Oocystis sp. 2;Peridinium pulsillum;Schroederia setigera,,producer,12,0,4,1,0,1.666666667,0,1,1.963924964,0
9,Closteriopsis longissimus,,producer,1,0,3,1,0,1.818181818,0,1,1.963924964,0
11,Dinobryon bavaricum;Dinobryon cylindricum;Gloeocystis sp.;Microcystis aeruginosa;Peridinium limbatum;Quadrigula lacustris;Quadrigula sp. 2;Synedra sp.,,producer,8,0,1,1,0,4,0,1,1.963924964,0
26,Oscillatoria sp.,,producer,1,0,2,1,0,3.333333333,0,1,1.963924964,0
36,Ascomorpha eucadis,rotifer,consumer,1,1,4,2,1,2.5,20,2.479381884,6.287414966,8.590795409
37,Conochilus (colonial),rotifer,consumer,1,2,0,2,1,0,10,2.479381884,6.287414966,8.590795409
38,Conochiloides dossuarius,rotifer,consumer,1,2,3,2,1,4,10,2.479381884,6.287414966,8.590795409
39,Cyclops varians rubellus;Orthocyclops modestus,copepod,consumer,2,8,3,3.470588235,2,5,1.333333333,2.479381884,6.287414966,8.590795409
40,Diaptomus oregonensis,copepod,consumer,1,2,3,2,1,4,10,2.479381884,6.287414966,8.590795409
41,Daphnia pulex,cladocera,consumer,1,7,2,2.285714286,1,10,2.857142857,2.479381884,6.287414966,8.590795409
42,Daphnia rosea,cladocera,consumer,1,6,1,2.333333333,1,6.666666667,3.333333333,2.479381884,6.287414966,8.590795409
43,Gastropus hyptopus;Kellicottia bostoniensis;Kellicottia longispina;Keratella testudo;Polyarthra vulgaris;Trichocerca cylindrica;Trichocerca multicrinis,rotifer,consumer,7,1,3,2,1,4,20,2.479381884,6.287414966,8.590795409
44,Gastropus stylifer,rotifer,consumer,1,2,3,2,1,4,10,2.479381884,6.287414966,8.590795409
45,Holopedium gibberum,cladocera,consumer,1,2,1,2,1,20,10,2.479381884,6.287414966,8.590795409
48,Keratella cochlearis;Synchaeta sp.,rotifer,consumer,2,1,5,2,1,2.857142857,20,2.479381884,6.287414966,8.590795409
55,Tropocyclops prasinus,copepod,consumer,1,7,3,3.5,2,5,1.25,2.479381884,6.287414966,8.590795409
56,Chaoborus punctipennis,diptera,consumer,1,11,2,3.4375,2,20,0.909090909,2.479381884,6.287414966,8.590795409
57,Micropterus salmoides,fish,consumer,1,4,1,3.684210526,3,0,0.588235294,2.479381884,6.287414966,8.590795409
