Column1,sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,1,0,5,1.0,0.0
2,2,2,0,6,1.0,0.0
3,3,3,0,6,1.0,0.0
4,4,4,0,6,1.0,0.0
5,5,5,0,6,1.0,0.0
6,6,6,0,8,1.0,0.0
7,7,7,0,9,1.0,0.0
8,8,8,0,9,1.0,0.0
9,9,9,0,9,1.0,0.0
10,10,10,0,7,1.0,0.0
11,11,11,0,5,1.0,0.0
12,12,12,0,5,1.0,0.0
13,13,13,0,2,1.0,0.0
14,14,14,0,2,1.0,0.0
15,15,15,0,2,1.0,0.0
16,16,16,0,3,1.0,0.0
17,17,17,0,1,1.0,0.0
18,18,18,0,3,1.0,0.0
19,19,19,0,4,1.0,0.0
20,20,20,0,2,1.0,0.0
21,21,21,0,2,1.0,0.0
22,22,22,0,2,1.0,0.0
23,23,23,0,1,1.0,0.0
24,24,24,1,6,2.0,1.0
25,25,25,1,9,2.0,1.0
26,26,26,1,9,2.0,1.0
27,27,27,3,7,2.0,1.0
28,28,28,2,7,2.0,1.0
29,29,29,3,4,2.8333333333333335,2.0
30,30,30,3,4,2.3333333333333335,2.0
31,31,31,1,5,2.0,1.0
32,32,32,1,4,2.0,1.0
33,33,33,2,4,2.0,1.0
34,34,34,2,3,3.666666666666667,3.0
35,35,35,3,4,2.3333333333333335,2.0
36,36,36,3,2,3.0,2.0
37,37,37,2,3,2.0,1.0
38,38,38,3,3,3.0,2.0
39,39,39,9,2,2.3333333333333335,2.0
40,40,40,8,2,2.375,2.0
41,41,41,1,2,4.625,4.0
42,42,42,7,2,3.1764705882352944,2.0
43,43,43,1,2,2.0,1.0
44,44,44,3,2,2.0,1.0
45,45,45,1,2,3.0,2.0
46,46,46,2,1,2.0,1.0
47,47,47,4,1,3.375,3.0
48,48,48,2,1,3.0,3.0
49,49,49,2,2,2.0,1.0
50,50,50,6,2,3.4782608695652173,3.0
51,51,51,5,2,2.625,2.0
52,52,52,4,1,3.782608695652174,3.0
53,53,53,2,2,3.666666666666667,3.0
54,54,54,2,3,2.5,2.0
55,55,55,3,2,3.5,3.0
56,56,56,10,1,3.8235294117647056,3.0
57,57,57,7,4,2.7,2.0
58,58,58,12,4,3.0,2.0
59,59,59,9,4,3.7857142857142856,2.0
60,60,60,5,4,4.173913043478261,4.0
61,61,61,3,4,4.531914893617021,4.0
62,62,62,9,2,2.3333333333333335,2.0
63,63,63,6,2,3.967741935483871,2.0
64,64,64,5,2,3.9333333333333336,4.0
65,65,65,3,2,3.4210526315789473,3.0
66,66,66,10,2,4.154761904761905,3.0
67,67,67,15,2,4.105263157894736,3.0
68,68,68,1,2,3.0,2.0
69,69,69,7,1,4.1066666666666665,4.0
70,70,70,4,1,3.75,4.0
71,71,71,17,1,2.4,1.0
72,72,72,1,0,4.6,4.0
73,73,73,3,0,3.857142857142857,4.0
74,74,74,5,0,4.132075471698114,5.0
75,75,75,4,0,4.264150943396226,4.0
76,76,76,2,0,2.6666666666666665,2.0
77,77,77,9,0,2.5833333333333335,2.0
78,78,78,6,0,2.3333333333333335,2.0
79,79,79,1,0,3.333333333333333,3.0
80,80,80,1,0,4.0,3.0
