sp_name,guild,guild_no,guild_richness,guild_no_prey,guild_no_preds,terr,aqu,sp_no_prey,sp_no_preds,sp_long_chain,sp_ntp
1,terrestrial detritus,1,1,0,39,1,0,0,26,0.0,1.0
2,land plants,2,8,0,19,1,0,0,7,0.0,1.0
3,land plants,2,8,0,19,1,0,0,8,0.0,1.0
4,land plants,2,8,0,19,1,0,0,5,0.0,1.0
5,land plants,2,8,0,19,1,0,0,10,0.0,1.0
6,land plants,2,8,0,19,1,0,0,9,0.0,1.0
7,land plants,2,8,0,19,1,0,0,7,0.0,1.0
8,land plants,2,8,0,19,1,0,0,7,0.0,1.0
9,land plants,2,8,0,19,1,0,0,7,0.0,1.0
10,terrestrial heterotroph microbes,3,2,3,6,1,0,3,1,1.0,2.6666666666666665
11,terrestrial heterotroph microbes,3,2,3,6,1,0,1,1,1.0,2.0
12,terrestrial saprotrophs,4,17,1,7,1,0,1,1,1.0,2.0
13,terrestrial saprotrophs,4,17,1,7,1,0,1,0,1.0,2.0
14,terrestrial saprotrophs,4,17,1,7,1,0,1,2,1.0,2.0
15,terrestrial saprotrophs,4,17,1,7,1,0,1,0,1.0,2.0
16,terrestrial saprotrophs,4,17,1,7,1,0,1,2,1.0,2.0
17,terrestrial saprotrophs,4,17,1,7,1,0,1,0,1.0,2.0
18,terrestrial saprotrophs,4,17,1,7,1,0,1,2,1.0,2.0
19,terrestrial saprotrophs,4,17,1,7,1,0,1,1,1.0,2.0
20,terrestrial saprotrophs,4,17,1,7,1,0,1,1,1.0,2.0
21,terrestrial saprotrophs,4,17,1,7,1,0,1,1,1.0,2.0
22,terrestrial saprotrophs,4,17,1,7,1,0,1,1,1.0,2.0
23,terrestrial saprotrophs,4,17,1,7,1,0,1,2,1.0,2.0
24,terrestrial saprotrophs,4,17,1,7,1,0,1,2,1.0,2.0
25,terrestrial saprotrophs,4,17,1,7,1,0,1,2,1.0,2.0
26,terrestrial saprotrophs,4,17,1,7,1,0,1,0,1.0,2.0
27,terrestrial saprotrophs,4,17,1,7,1,0,1,0,1.0,2.0
28,terrestrial saprotrophs,4,17,1,7,1,0,1,1,1.0,2.0
29,mycorrhizae,5,9,9,7,1,0,1,2,1.0,2.0
