web_id,n_lumped
1,3
10,4
100,6
1000,5
101,2
102,5
103,5
104,5
105,5
106,4
107,4
108,3
109,3
11,5
110,3
111,2
112,4
113,8
114,4
115,2
116,3
117,6
118,4
119,3
12,3
120,3
121,4
122,7
123,2
124,6
125,6
126,5
127,6
128,4
129,4
13,5
130,7
131,3
132,4
133,4
134,4
135,4
136,4
137,5
138,5
139,5
14,4
140,4
141,7
142,2
143,3
144,2
145,4
146,3
147,2
148,5
149,4
15,3
150,5
151,5
152,7
153,4
154,7
155,5
156,5
157,3
158,5
159,5
16,3
160,3
161,4
162,5
163,2
164,4
165,2
166,5
167,4
168,4
169,2
17,4
170,6
171,2
172,5
173,6
174,4
175,3
176,2
177,3
178,2
179,5
18,4
180,4
181,2
182,4
183,5
184,4
185,4
186,5
187,6
188,6
189,6
19,6
190,5
191,3
192,6
193,5
194,4
195,4
196,5
197,5
198,4
199,6
2,4
20,2
200,5
201,4
202,5
203,4
204,5
205,4
206,6
207,3
208,6
209,6
21,3
210,8
211,4
212,5
213,5
214,4
215,6
216,3
217,4
218,3
219,6
22,2
220,4
221,4
222,5
223,4
224,2
225,4
226,3
227,5
228,4
229,4
23,4
230,6
231,2
232,4
233,4
234,2
235,3
236,4
237,2
238,3
239,1
24,4
240,3
241,4
242,5
243,5
244,3
245,5
246,5
247,5
248,4
249,4
25,6
250,5
251,3
252,5
253,5
254,4
255,1
256,5
257,7
258,4
259,3
26,4
260,4
261,3
262,3
263,4
264,4
265,5
266,5
267,3
268,4
269,5
27,4
270,5
271,5
272,3
273,4
274,4
275,4
276,4
277,4
278,3
279,6
28,3
280,4
281,4
282,4
283,3
284,4
285,4
286,2
287,4
288,3
289,4
29,2
290,3
291,6
292,2
293,4
294,5
295,3
296,2
297,5
298,5
299,5
3,5
30,6
300,3
301,5
302,2
303,4
304,6
305,7
306,4
307,7
308,7
309,4
31,4
310,5
311,5
312,3
313,5
314,4
315,3
316,4
317,7
318,4
319,4
32,6
320,5
321,5
322,3
323,5
324,6
325,7
326,4
327,6
328,5
329,5
33,5
330,6
331,4
332,5
333,6
334,1
335,4
336,4
337,5
338,5
339,5
34,3
340,6
341,5
342,4
343,4
344,5
345,7
346,7
347,4
348,1
349,4
35,4
350,7
351,2
352,3
353,3
354,3
355,5
356,4
357,3
358,4
359,6
36,2
360,4
361,7
362,6
363,5
364,4
365,2
366,4
367,5
368,4
369,4
37,2
370,4
371,3
372,4
373,2
374,5
375,3
376,5
377,5
378,2
379,3
38,3
380,2
381,2
382,5
383,5
384,4
385,6
386,3
387,4
388,4
389,7
39,5
390,4
391,3
392,5
393,4
394,7
395,3
396,5
397,6
398,6
399,4
4,6
40,3
400,2
401,4
402,5
403,5
404,5
405,4
406,3
407,5
408,9
409,5
41,6
410,5
411,3
412,4
413,6
414,4
415,3
416,3
417,5
418,5
419,3
42,6
420,2
421,5
422,3
423,5
424,3
425,6
426,4
427,2
428,2
429,4
43,3
430,6
431,5
432,4
433,3
434,3
435,5
436,4
437,3
438,4
439,4
44,4
440,3
441,4
442,4
443,2
444,3
445,5
446,5
447,7
448,3
449,4
45,1
450,4
451,4
452,4
453,5
454,5
455,3
456,4
457,3
458,3
459,3
46,4
460,5
461,5
462,6
463,6
464,4
465,2
466,3
467,3
468,5
469,4
47,6
470,5
471,4
472,3
473,4
474,4
475,3
476,5
477,2
478,4
479,5
48,6
480,3
481,4
482,2
483,4
484,5
485,4
486,3
487,3
488,4
489,6
49,5
490,3
491,3
492,3
493,2
494,5
495,5
496,5
497,5
498,2
499,3
5,5
50,4
500,3
501,5
502,4
503,4
504,3
505,3
506,6
507,4
508,4
509,3
51,4
510,5
511,6
512,4
513,5
514,5
515,5
516,4
517,6
518,6
519,5
52,4
520,3
521,2
522,5
523,3
524,4
525,3
526,5
527,3
528,4
529,3
53,3
530,2
531,5
532,4
533,4
534,2
535,5
536,3
537,4
538,5
539,4
54,8
540,5
541,6
542,4
543,3
544,7
545,4
546,3
547,4
548,5
549,4
55,5
550,3
551,5
552,5
553,3
554,4
555,3
556,6
557,3
558,5
559,3
56,2
560,9
561,4
562,3
563,4
564,4
565,7
566,4
567,3
568,6
569,5
57,5
570,4
571,3
572,4
573,4
574,4
575,3
576,3
577,6
578,4
579,4
58,4
580,4
581,4
582,4
583,3
584,3
585,3
586,4
587,5
588,5
589,3
59,5
590,4
591,5
592,4
593,5
594,3
595,5
596,4
597,4
598,3
599,3
6,5
60,4
600,5
601,3
602,4
603,5
604,6
605,5
606,4
607,6
608,4
609,5
61,3
610,2
611,5
612,3
613,5
614,3
615,4
616,4
617,6
618,1
619,3
62,5
620,5
621,8
622,5
623,4
624,3
625,3
626,6
627,4
628,4
629,5
63,1
630,2
631,5
632,5
633,4
634,3
635,3
636,5
637,4
638,4
639,7
64,3
640,4
641,3
642,3
643,4
644,2
645,4
646,4
647,4
648,3
649,6
65,4
650,4
651,4
652,7
653,5
654,6
655,4
656,4
657,4
658,4
659,3
66,5
660,4
661,6
662,4
663,5
664,3
665,5
666,4
667,2
668,4
669,5
67,4
670,4
671,4
672,7
673,2
674,3
675,3
676,2
677,4
678,6
679,4
68,5
680,8
681,5
682,5
683,6
684,5
685,4
686,2
687,6
688,4
689,5
69,4
690,5
691,6
692,5
693,3
694,4
695,2
696,5
697,3
698,4
699,3
7,3
70,3
700,2
701,7
702,5
703,6
704,5
705,6
706,7
707,3
708,4
709,1
71,3
710,5
711,3
712,5
713,1
714,2
715,1
716,6
717,3
718,4
719,5
72,2
720,5
721,3
722,4
723,6
724,6
725,2
726,5
727,4
728,5
729,4
73,3
730,6
731,3
732,3
733,5
734,3
735,4
736,3
737,3
738,6
739,5
74,4
740,4
741,2
742,2
743,6
744,3
745,5
746,5
747,4
748,4
749,5
75,5
750,4
751,2
752,5
753,3
754,3
755,4
756,6
757,7
758,5
759,4
76,6
760,5
761,6
762,3
763,4
764,4
765,5
766,4
767,6
768,5
769,3
77,3
770,4
771,5
772,5
773,4
774,6
775,7
776,2
777,2
778,4
779,4
78,3
780,4
781,3
782,3
783,5
784,4
785,4
786,2
787,4
788,7
789,4
79,2
790,6
791,3
792,3
793,3
794,6
795,3
796,3
797,6
798,3
799,4
8,5
80,4
800,4
801,4
802,4
803,5
804,7
805,5
806,4
807,3
808,5
809,4
81,2
810,6
811,3
812,4
813,2
814,4
815,3
816,5
817,4
818,4
819,3
82,5
820,5
821,4
822,6
823,2
824,3
825,4
