trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,guild_ntp,sp_closeness,guild_closeness,sp_out_closeness,sp_in_closeness,guild_out_closeness,guild_in_closeness
1,1,terrestrial detritus,1,0,24,1.0,0.0,1.0,0.0,0.0,1.1232876712328768,0.0,1.1232876712328768,0.0
2,2,land plants,1,0,9,1.0,0.0,1.0,0.0,0.0,1.607843137254902,0.0,1.6800666030677796,0.0
3,3,land plants,1,0,8,1.0,0.0,1.0,0.0,0.0,1.4385964912280702,0.0,1.6800666030677796,0.0
4,4,land plants,1,0,10,1.0,0.0,1.0,0.0,0.0,1.5769230769230769,0.0,1.6800666030677796,0.0
5,5,land plants,1,0,9,1.0,0.0,1.0,0.0,0.0,2.411764705882353,0.0,1.6800666030677796,0.0
6,6,land plants,1,0,10,1.0,0.0,1.0,0.0,0.0,1.5769230769230769,0.0,1.6800666030677796,0.0
7,7,land plants,1,0,9,1.0,0.0,1.0,0.0,0.0,1.5471698113207548,0.0,1.6800666030677796,0.0
8,8,land plants,1,0,9,1.0,0.0,1.0,0.0,0.0,1.607843137254902,0.0,1.6800666030677796,0.0
9,9,land plants,1,0,10,1.0,0.0,1.0,0.0,0.0,1.6734693877551021,0.0,1.6800666030677796,0.0
10,10,terrestrial heterotroph microbes,1,1,3,2.0,1.0,2.25,82.0,82.0,5.466666666666667,82.0,6.833333333333333,82.0
11,11,terrestrial heterotroph microbes,1,2,2,2.5,1.0,2.25,82.0,82.0,8.2,82.0,6.833333333333333,82.0
12,12,terrestrial saprotrophs,1,1,4,2.0,1.0,2.0,82.0,82.0,3.5652173913043477,82.0,4.020488879272981,82.0
13,13,terrestrial saprotrophs,1,1,2,2.0,1.0,2.0,82.0,82.0,5.125,82.0,4.020488879272981,82.0
14,14,terrestrial saprotrophs,1,1,2,2.0,1.0,2.0,82.0,82.0,4.555555555555555,82.0,4.020488879272981,82.0
15,15,terrestrial saprotrophs,1,1,4,2.0,1.0,2.0,82.0,82.0,4.823529411764706,82.0,4.020488879272981,82.0
16,16,terrestrial saprotrophs,1,1,4,2.0,1.0,2.0,82.0,82.0,5.125,82.0,4.020488879272981,82.0
17,17,terrestrial saprotrophs,1,1,3,2.0,1.0,2.0,82.0,82.0,5.125,82.0,4.020488879272981,82.0
18,18;22;23;24,terrestrial saprotrophs,4,1,3,2.0,1.0,2.0,82.0,82.0,3.727272727272727,82.0,4.020488879272981,82.0
19,19,terrestrial saprotrophs,1,1,4,2.0,1.0,2.0,82.0,82.0,3.037037037037037,82.0,4.020488879272981,82.0
20,20,terrestrial saprotrophs,1,1,4,2.0,1.0,2.0,82.0,82.0,3.28,82.0,4.020488879272981,82.0
21,21,terrestrial saprotrophs,1,1,3,2.0,1.0,2.0,82.0,82.0,3.037037037037037,82.0,4.020488879272981,82.0
25,25,terrestrial saprotrophs,1,1,4,2.0,1.0,2.0,82.0,82.0,3.28,82.0,4.020488879272981,82.0
26,26,terrestrial saprotrophs,1,1,6,2.0,1.0,2.0,82.0,82.0,3.5652173913043477,82.0,4.020488879272981,82.0
27,27,mycorrhizae,1,1,1,2.0,1.0,2.0,82.0,31.61049382716049,3.9047619047619047,82.0,3.685054295300627,31.61049382716049
28,28,mycorrhizae,1,5,3,2.0,1.0,2.0,16.4,31.61049382716049,3.28,16.4,3.685054295300627,31.61049382716049
29,29,mycorrhizae,1,3,1,2.0,1.0,2.0,27.333333333333332,31.61049382716049,3.5652173913043477,27.333333333333332,3.685054295300627,31.61049382716049
30,30,mycorrhizae,1,4,1,2.0,1.0,2.0,20.5,31.61049382716049,3.9047619047619047,20.5,3.685054295300627,31.61049382716049
31,31,mycorrhizae,1,8,3,2.0,1.0,2.0,10.25,31.61049382716049,2.05,10.25,3.685054295300627,31.61049382716049
32,32,mycorrhizae,1,1,2,2.0,1.0,2.0,82.0,31.61049382716049,4.823529411764706,82.0,3.685054295300627,31.61049382716049
33,33,mycorrhizae,1,5,3,2.0,1.0,2.0,16.4,31.61049382716049,3.4166666666666665,16.4,3.685054295300627,31.61049382716049
34,34,mycorrhizae,1,4,4,2.0,1.0,2.0,20.5,31.61049382716049,4.315789473684211,20.5,3.685054295300627,31.61049382716049
35,35,mycorrhizae,1,9,3,2.0,1.0,2.0,9.11111111111111,31.61049382716049,3.9047619047619047,9.11111111111111,3.685054295300627,31.61049382716049
36,36,plant parasites,1,3,3,2.0,1.0,2.0,27.333333333333332,34.329365079365076,3.1538461538461537,27.333333333333332,4.002537834835971,34.329365079365076
37,37,plant parasites,1,8,4,2.0,1.0,2.0,10.25,34.329365079365076,3.727272727272727,10.25,4.002537834835971,34.329365079365076
38,38,plant parasites,1,4,2,2.0,1.0,2.0,20.5,34.329365079365076,2.7333333333333334,20.5,4.002537834835971,34.329365079365076
39,39,plant parasites,1,9,4,2.0,1.0,2.0,9.11111111111111,34.329365079365076,3.5652173913043477,9.11111111111111,4.002537834835971,34.329365079365076
40,40,plant parasites,1,9,2,2.0,1.0,2.0,9.11111111111111,34.329365079365076,5.466666666666667,9.11111111111111,4.002537834835971,34.329365079365076
41,41,plant parasites,1,1,2,2.0,1.0,2.0,82.0,34.329365079365076,5.466666666666667,82.0,4.002537834835971,34.329365079365076
42,42,plant parasites,1,1,3,2.0,1.0,2.0,82.0,34.329365079365076,3.9047619047619047,82.0,4.002537834835971,34.329365079365076
43,43,fungal parasites,1,22,2,3.0,2.0,3.0,2.05,10.622727272727273,6.3076923076923075,2.05,5.633119658119658,10.622727272727273
44,44,fungal parasites,1,1,1,3.0,2.0,3.0,27.333333333333332,10.622727272727273,5.125,27.333333333333332,5.633119658119658,10.622727272727273
45,45,fungal parasites,1,15,1,3.0,2.0,3.0,2.484848484848485,10.622727272727273,5.466666666666667,2.484848484848485,5.633119658119658,10.622727272727273
46,46,terrestrial microbivores,1,17,3,3.111111111111111,2.0,3.111111111111111,1.3898305084745763,1.3898305084745763,16.4,1.3898305084745763,16.4,1.3898305084745763
