web_id,n_lumped
1,3
10,2
100,1
1000,1
101,1
102,3
103,1
104,1
105,2
106,3
107,2
108,2
109,2
11,4
110,4
111,1
112,3
113,2
114,4
115,1
116,2
117,1
118,2
119,2
12,2
120,2
121,1
122,1
123,2
124,2
125,1
126,1
127,2
128,3
129,4
13,4
130,2
131,1
132,2
133,3
134,3
135,2
136,2
137,2
138,2
139,3
14,2
140,3
141,2
142,2
143,2
144,3
145,2
146,1
147,2
148,2
149,1
15,4
150,3
151,3
152,2
153,2
154,2
155,2
156,2
157,1
158,2
159,2
16,5
160,3
161,2
162,2
163,1
164,2
165,1
166,1
167,2
168,2
169,2
17,3
170,3
171,3
172,2
173,2
174,3
175,2
176,3
177,3
178,1
179,3
18,1
180,2
181,2
182,1
183,2
184,2
185,1
186,2
187,3
188,4
189,2
19,3
190,1
191,3
192,1
193,1
194,2
195,3
196,2
197,5
198,4
199,3
2,2
20,2
200,3
201,2
202,1
203,2
204,1
205,2
206,1
207,1
208,4
209,3
21,1
210,1
211,2
212,2
213,3
214,2
215,2
216,2
217,3
218,2
219,1
22,2
220,3
221,2
222,4
223,2
224,1
225,3
226,3
227,4
228,1
229,4
23,2
230,1
231,1
232,2
233,1
234,3
235,2
236,4
237,2
238,3
239,1
24,4
240,2
241,1
242,2
243,3
244,1
245,1
246,4
247,4
248,3
249,2
25,3
250,3
251,2
252,3
253,1
254,1
255,2
256,3
257,1
258,1
259,1
26,3
260,2
261,2
262,2
263,2
264,1
265,3
266,2
267,2
268,2
269,1
27,1
270,3
271,1
272,1
273,3
274,3
275,2
276,2
277,2
278,4
279,1
28,2
280,2
281,2
282,2
283,2
284,1
285,2
286,1
287,2
288,1
289,3
29,1
290,2
291,3
292,1
293,3
294,3
295,1
296,2
297,2
298,2
299,3
3,2
30,3
300,2
301,3
302,3
303,4
304,1
305,1
306,2
307,4
308,3
309,4
31,1
310,1
311,5
312,1
313,2
314,3
315,2
316,3
317,3
318,3
319,1
32,1
320,1
321,2
322,1
323,1
324,1
325,4
326,3
327,3
328,2
329,1
33,1
330,1
331,3
332,3
333,2
334,3
335,4
336,1
337,3
338,2
339,1
34,2
340,1
341,1
342,1
343,3
344,2
345,2
346,2
347,2
348,2
349,2
35,3
350,2
351,1
352,2
353,1
354,2
355,4
356,1
357,3
358,2
359,1
36,1
360,3
361,3
362,2
363,1
364,2
365,1
366,2
367,4
368,2
369,2
37,2
370,3
371,1
372,2
373,2
374,2
375,2
376,2
377,3
378,4
379,1
38,2
380,2
381,3
382,3
383,1
384,2
385,1
386,2
387,1
388,2
389,3
39,1
390,2
391,3
392,1
393,2
394,3
395,4
396,1
397,1
398,2
399,1
4,2
40,1
400,2
401,1
402,2
403,3
404,1
405,4
406,3
407,3
408,2
409,3
41,2
410,3
411,3
412,2
413,2
414,3
415,2
416,2
417,2
418,1
419,2
42,3
420,5
421,1
422,2
423,1
424,1
425,2
426,3
427,2
428,2
429,4
43,2
430,3
431,2
432,2
433,2
434,1
435,2
436,2
437,3
438,1
439,4
44,3
440,1
441,1
442,3
443,3
444,3
445,3
446,4
447,2
448,1
449,2
45,3
450,2
451,2
452,4
453,3
454,1
455,1
456,1
457,3
458,1
459,2
46,3
460,1
461,2
462,2
463,3
464,3
465,3
466,1
467,3
468,3
469,2
47,2
470,1
471,3
472,3
473,4
474,2
475,2
476,3
477,1
478,1
479,2
48,2
480,3
481,2
482,2
483,2
484,3
485,5
486,2
487,3
488,1
489,3
49,2
490,3
491,4
492,1
493,3
494,3
495,2
496,4
497,2
498,1
499,1
5,2
50,2
500,2
501,2
502,3
503,2
504,1
505,2
506,1
