web_id,n_lumped
1,4
10,4
100,2
1000,4
101,3
102,5
103,1
104,1
105,5
106,4
107,3
108,2
109,2
11,1
110,5
111,4
112,2
113,0
114,3
115,2
116,1
117,3
118,4
119,2
12,2
120,2
121,4
122,5
123,3
124,3
125,2
126,5
127,3
128,4
129,0
13,3
130,4
131,4
132,2
133,3
134,2
135,3
136,2
137,3
138,1
139,2
14,2
140,2
141,2
142,4
143,3
144,1
145,2
146,2
147,3
148,4
149,3
15,2
150,3
151,3
152,3
153,4
154,4
155,3
156,0
157,1
158,3
159,4
16,2
160,4
161,3
162,4
163,4
164,5
165,4
166,5
167,3
168,7
169,1
17,4
170,3
171,2
172,4
173,3
174,5
175,3
176,1
177,5
178,3
179,3
18,1
180,5
181,5
182,3
183,3
184,3
185,5
186,3
187,4
188,1
189,3
19,5
190,2
191,5
192,1
193,2
194,1
195,3
196,3
197,3
198,1
199,3
2,3
20,4
200,3
201,2
202,6
203,2
204,2
205,3
206,3
207,1
208,4
209,4
21,4
210,2
211,1
212,3
213,6
214,2
215,3
216,2
217,5
218,2
219,1
22,4
220,3
221,2
222,4
223,3
224,1
225,2
226,6
227,2
228,3
229,1
23,2
230,5
231,4
232,0
233,3
234,5
235,5
236,1
237,5
238,2
239,4
24,6
240,3
241,4
242,3
243,3
244,5
245,2
246,4
247,2
248,3
249,1
25,6
250,1
251,2
252,3
253,4
254,3
255,3
256,3
257,2
258,4
259,6
26,0
260,3
261,1
262,2
263,4
264,5
265,6
266,3
267,4
268,2
269,5
27,3
270,2
271,3
272,2
273,2
274,3
275,4
276,3
277,5
278,1
279,1
28,3
280,2
281,7
282,3
283,4
284,4
285,6
286,6
287,2
288,3
289,4
29,3
290,4
291,1
292,1
293,2
294,3
295,3
296,6
297,1
298,4
299,1
3,2
30,5
300,3
301,3
302,3
303,1
304,3
305,3
306,3
307,3
308,2
309,2
31,1
310,2
311,5
312,5
313,5
314,4
315,3
316,4
317,3
318,5
319,3
32,3
320,3
321,5
322,2
323,3
324,4
325,2
326,8
327,5
328,3
329,2
33,3
330,5
331,4
332,2
333,5
334,5
335,2
336,2
337,2
338,2
339,2
34,3
340,4
341,3
342,4
343,1
344,5
345,1
346,6
347,2
348,4
349,1
35,5
350,5
351,4
352,2
353,3
354,3
355,3
356,2
357,5
358,2
359,3
36,0
360,2
361,2
362,4
363,4
364,2
365,1
366,2
367,2
368,2
369,3
37,6
370,4
371,1
372,3
373,5
374,4
375,0
376,3
377,4
378,3
379,1
38,5
380,3
381,6
382,3
383,3
384,2
385,1
386,3
387,5
388,1
389,1
39,2
390,2
391,2
392,7
393,1
394,4
395,5
396,5
397,3
398,1
399,3
4,3
40,4
400,5
401,0
402,3
403,1
404,2
405,4
406,3
407,2
408,4
409,3
41,2
410,4
411,1
412,0
413,1
414,4
415,2
416,5
417,1
418,3
419,3
42,2
420,3
421,3
422,3
423,4
424,3
425,3
426,2
427,3
428,5
429,3
43,2
430,2
431,5
432,3
433,4
434,0
435,3
436,5
437,5
438,3
439,2
44,0
440,2
441,5
442,4
443,3
444,2
445,3
446,2
447,4
448,5
449,3
45,3
450,5
451,5
452,3
453,4
454,1
455,3
456,3
457,3
458,4
459,3
46,6
460,3
461,3
462,3
463,3
464,4
465,3
466,5
467,3
468,2
469,2
47,3
470,6
471,4
472,2
473,4
474,4
475,1
476,6
477,1
478,3
479,0
48,5
480,2
481,6
482,2
483,2
484,3
485,3
486,5
487,4
488,1
489,5
49,1
490,2
491,3
492,1
493,2
494,3
495,4
496,1
497,2
498,3
499,4
5,1
50,2
500,1
501,1
502,5
503,3
504,2
505,5
506,2
507,4
508,3
509,3
51,3
510,0
511,3
512,2
513,1
514,3
515,3
516,2
517,2
518,3
519,2
52,3
520,2
521,4
522,3
523,2
524,5
525,3
526,2
527,5
528,3
529,5
53,4
530,2
531,2
532,2
533,4
534,3
535,2
536,3
537,1
538,9
539,5
54,4
540,1
541,5
542,2
543,2
544,6
545,4
546,3
547,3
548,3
549,3
55,2
550,3
551,2
552,5
553,4
554,3
555,1
556,3
557,2
558,3
559,3
56,4
560,5
561,4
562,1
563,4
564,1
565,4
566,4
567,1
568,4
569,2
57,3
570,3
571,3
572,6
573,2
574,2
575,4
576,4
577,4
578,3
579,4
58,4
580,6
581,3
582,1
583,2
584,2
585,3
586,5
587,2
588,4
589,4
59,5
590,2
591,2
592,1
593,3
594,2
595,1
596,3
597,4
598,3
599,4
6,4
60,3
600,3
601,2
602,6
603,5
604,4
605,2
606,4
607,2
608,4
609,2
61,2
610,2
611,2
612,3
613,4
614,3
615,2
616,4
617,1
618,3
619,4
62,2
620,1
621,3
622,3
623,4
624,1
625,4
626,0
627,3
628,1
629,2
63,2
630,3
631,3
632,3
633,0
634,3
635,2
636,5
637,5
638,1
639,6
64,1
640,1
641,3
642,4
643,1
644,1
645,4
646,2
647,2
648,1
649,4
65,2
650,4
651,4
652,5
653,5
654,3
655,1
656,2
657,3
658,4
659,2
66,3
660,3
661,1
662,4
663,2
664,3
665,1
666,2
667,3
668,3
669,3
67,3
670,1
671,5
672,4
673,1
674,4
675,1
676,3
677,5
678,5
679,2
68,3
680,1
681,1
682,5
683,4
684,1
685,3
686,5
687,3
688,4
689,0
69,2
690,1
691,5
692,4
693,1
694,6
695,2
696,1
697,2
698,5
699,6
7,2
70,3
700,3
701,3
702,4
703,1
704,3
705,3
706,6
707,4
708,0
709,5
71,2
710,2
711,4
712,4
713,1
714,6
715,2
716,2
717,5
718,4
719,3
72,5
720,4
721,0
722,1
723,6
724,0
725,1
726,2
727,2
728,3
729,1
73,4
730,3
731,3
732,4
733,3
734,2
735,0
736,2
737,1
738,3
739,2
74,3
740,2
741,2
742,3
743,4
744,2
745,6
746,5
747,4
748,4
749,3
75,3
750,2
751,0
752,3
753,3
754,2
755,3
756,6
757,2
758,4
759,4
76,1
760,1
761,2
762,3
763,3
764,2
765,1
766,2
767,3
768,3
769,1
77,4
770,5
771,5
772,3
773,2
774,1
775,4
776,4
777,4
778,3
779,2
78,1
780,0
781,1
782,4
783,4
784,3
785,6
786,3
787,3
788,2
789,4
79,1
790,2
791,4
792,3
793,4
794,1
795,1
796,5
797,2
798,5
799,2
8,4
80,3
800,3
801,0
802,3
803,4
804,0
805,4
806,4
807,5
808,3
809,1
81,3
810,1
811,4
812,3
813,4
814,5
815,1
816,2
817,3
818,2
819,6
82,3
820,4
821,4
822,4
823,4
824,3
825,5
826,3
827,1
828,3
829,4
83,1
830,3
831,2
832,7
833,3
834,2
835,4
836,3
837,2
838,3
839,1
84,4
840,2
841,2
842,2
843,3
844,1
845,3
846,2
847,4
848,4
849,3
85,3
850,2
851,1
852,5
853,4
854,2
855,4
856,4
857,3
858,4
859,3
86,2
860,3
861,4
862,4
863,1
864,4
865,6
866,3
867,2
868,5
869,2
87,5
870,4
871,2
872,3
873,3
874,4
875,3
876,2
877,1
878,4
879,5
88,2
880,4
881,4
882,0
883,3
884,5
885,3
886,1
887,3
888,0
889,2
89,1
890,0
891,1
892,2
893,2
