SLN_ID,n_lumped,n_cross_guild
1,5,3
10,5,2
100,4,2
1000,5,1
101,3,0
102,5,1
103,5,1
104,5,1
105,7,3
106,4,2
107,5,2
108,3,1
109,4,2
11,6,1
110,6,2
111,8,3
112,5,3
113,5,2
114,4,2
115,3,1
116,2,1
117,5,2
118,5,1
119,4,1
12,8,3
120,4,1
121,5,5
122,6,1
123,7,4
124,6,2
125,5,2
126,6,3
127,5,3
128,8,3
129,8,4
13,6,1
130,4,3
131,5,2
132,5,3
133,6,1
134,4,2
135,4,2
136,4,1
137,7,4
138,5,2
139,3,2
14,6,2
140,7,1
141,4,1
142,4,2
143,6,2
144,4,2
145,7,1
146,5,2
147,4,3
148,6,4
149,5,2
15,7,1
150,7,3
151,6,2
152,4,2
153,6,2
154,3,1
155,3,1
156,7,3
157,5,4
158,4,2
159,6,2
16,4,2
160,4,3
161,5,2
162,6,2
163,2,1
164,4,3
165,3,1
166,4,2
167,3,2
168,6,3
169,8,5
17,5,2
170,6,2
171,6,2
172,6,2
173,5,3
174,8,2
175,6,3
176,5,3
177,6,3
178,4,2
179,2,1
18,6,2
180,8,4
181,4,1
182,4,2
183,2,0
184,1,1
185,6,2
186,5,2
187,4,2
188,5,2
189,7,0
19,5,2
190,7,2
191,5,3
192,4,2
193,4,2
194,4,1
195,6,2
196,2,1
197,5,3
198,5,2
199,4,0
2,8,4
20,4,2
200,7,3
201,5,4
202,4,2
203,5,2
204,4,2
205,3,2
206,4,3
207,4,1
208,4,1
209,5,1
21,6,2
210,4,3
211,6,0
212,3,1
213,3,2
214,5,4
215,2,0
216,5,2
217,5,2
218,4,2
219,5,4
22,4,2
220,4,2
221,6,2
222,7,3
223,7,4
224,9,4
225,6,2
226,3,1
227,4,3
228,9,3
229,6,1
23,3,2
230,5,2
231,5,3
232,6,3
233,3,2
234,7,3
235,4,1
236,6,3
237,3,2
238,7,4
239,4,2
24,8,3
240,5,3
241,5,2
242,8,3
243,5,2
244,6,2
245,6,3
246,5,2
247,8,5
248,7,2
249,4,2
25,7,4
250,5,2
251,5,1
252,9,4
253,4,2
254,4,2
255,6,3
256,4,2
257,7,2
258,3,2
259,5,2
26,4,3
260,6,2
261,4,0
262,7,2
263,3,1
264,6,1
265,5,2
266,4,3
267,4,1
268,5,3
269,6,2
27,9,3
270,8,2
271,4,3
272,4,0
273,7,4
274,2,1
275,2,0
276,5,2
277,3,0
278,3,1
279,4,3
28,5,2
280,7,5
281,6,2
282,3,2
283,5,1
284,4,1
285,3,2
286,6,2
287,6,3
288,3,1
289,6,4
29,6,3
