"guild_no","guild_name","major_taxa","G","priority_resources","general_resources","terr","aqu"
1,"terrestrial detritus","NA",1,"NA","NA",1,0
2,"Aglaophyton","Aglaophyton",1,"-","-",1,0
3,"Rhynia","Rhynia",1,"-","-",1,0
4,"Asteroxylon","Asteroxylon",1,"-","-",1,0
5,"Horneophyton","Horneophyton",1,"-","-",1,0
6,"Nothia","Nothia",1,"-","-",1,0
7,"other land plants","Tracheophyta",2,"-","-",1,0
8,"lichen",NA,1,"-","-",1,0
9,"terrestrial heterotroph bacteria",NA,1,"1","9",1,0
10,"terrestrial protozoa",NA,1,"9,11","12,13,14,15,16,17,18,19,20,21,22,38",1,0
11,"terrestrial saprotrophs","Zygomycota, Blastocladiomycota, Oomycota",14,"-","1",1,0
12,"mycorrhizae: Aglaophyton",NA,3,"2","1,3,4,5,6,7",1,0
13,"mycorrhizae: Rhynia",NA,2,"3","1,2,4,5,6,7",1,0
14,"mycorrhizae: Asteroxylon",NA,3,"4","1,2,3,5,6,7",1,0
15,"mycorrhizae: Horneophyton",NA,3,"5","1,2,3,4,6,7",1,0
16,"possible mycorrhizae","Glomeromycota, Mucuromycota",1,"-","1,2,3,4,5,6,7",1,0
17,"parasites: Aglaophyton",NA,1,"2","1,3,4,5,6,7,8",1,0
18,"parasites: Asteroxylon",NA,3,"4","1,2,3,5,6,7,8",1,0
19,"parasites: Nothia",NA,1,"6","1,2,3,4,5,7,8",1,0
20,"general plant parasites","Chytridomycota",2,"-","1,2,3,4,5,6,7,8,38",1,0
21,"fungal parasites","Chytridomycota",7,"-","1,11,12,13,14,15,16,17,18,19,20",1,0
22,"terrestrial nematodes",NA,1,"2","3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,38",1,0
23,"terrestrial microbivores","Hexapoda",1,"9,11","12,13,14,15,16,17,18,19,20,21,38",1,0
24,"terrestrial detritivores","Diplopoda",2,"1","9,11,38",1,0
25,"mites","Acari",2,"-","2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,38",1,0
26,"terrestrial arthropod predators (1)","Trigonotarbida",3,"-","22,23,25,26",1,0
27,"terrestrial arthropod predators (2)","Chilopoda",5,"-","23,24,25,26,27",1,0
28,"aquatic detritus","NA",1,"-","NA",0,1
29,"aquatic heterotroph bacteria",NA,1,"28","29,30,33",0,1
30,"sulfate-reducing bacteria",NA,1,"-","-",0,1
31,"aquatic protozoa",NA,1,"29,39","30,32,33,36,38,40,41,42",0,1
32,"Anechosoma",NA,1,"-","-",0,1
33,"aquatic unicellular/small algae (general)","Chlorophyta, Cyanobacteria",5,"-","-",0,1
34,"planktic large colonial algae","Chlorophyta, Cyanobacteria",1,"-","-",0,1
35,"benthic filamentous algae","Chlorophyta, Cyanobacteria",5,"-","-",0,1
36,"other benthic/epiphytic algae","Chlorophyta, Cyanobacteria",4,"-","-",0,1
37,"charophytes","Charophyta",1,"-","-",0,1
38,"partially terrestrial epilithic/epiphytic algae","Cyanobacteria",3,"-","-",1,1
39,"aquatic saprotrophs","Chytridomycota",5,"-","28",0,1
40,"small algae parasites","Chytridomycota",1,"32","33,36",0,1
41,"aquatic macrophyte parasites","Chytridomycota",1,"-","37",0,1
42,"aquatic nematodes","Nematoda",1,"-","29,30,31,32,33,34,35,36,37,38,39,40,41",0,1
43,"swimming filter feeders","Branchiopoda",2,"-","32,33",0,1
44,"swimming scrapers","Branchiopoda",1,"29,36,38","28,30,31,32,33,34,35,39",0,1
45,"arthropod omnivores","Branchiopoda, Euthycarcinoidea",2,"-","28,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45",0,1
46,"benthic predators","Polychaeta?",1,"-","31,42,43,44,45",0,1
