"lumped_id","lumped_name","lumped_G","terr","aqu","og_guild_ids"
1,"terrestrial detritus",1,1,0,"1"
2,"land plants",1,1,0,"2,3,4,5,6,7,8"
3,"terrestrial microbes",1,1,0,"9,10"
4,"terrestrial fungi",1,1,0,"11,12,13,14,15,16,17,18,19,20,21"
5,"terrestrial nematodes",1,1,0,"22"
6,"terrestrial microbivores",1,1,0,"23"
7,"terrestrial detritivores",2,1,0,"24"
8,"mites",2,1,0,"25"
9,"terrestrial arthropod predators (1)",3,1,0,"26"
10,"terrestrial arthropod predators (2)",5,1,0,"27"
11,"aquatic detritus",1,0,1,"28"
12,"aquatic heterotrophic microbes",1,0,1,"29,30,31"
13,"aquatic algae",1,1,1,"32,33,34,35,36,38"
14,"charophytes",1,0,1,"37"
15,"aquatic fungi",1,0,1,"39,40,41"
16,"aquatic nematodes",1,0,1,"42"
17,"swimming filter feeders",2,0,1,"43"
18,"swimming scrapers",1,0,1,"44"
19,"arthropod omnivores",2,0,1,"45"
20,"benthic predators",1,0,1,"46"
