"guild_no","guild_name","major_taxa","G","priority_resources","general_resources","terr","aqu","animal","og_guild_ids"
1,"aquatic detritus",NA,1,NA,NA,0,1,0,"28"
2,"aquatic heterotrophic microbes",NA,1,"1","2,3,5,6",0,1,0,"29,30,31"
3,"aquatic algae",NA,1,NA,NA,1,1,0,"32,33,34,35,36,38"
4,"charophytes",NA,1,NA,NA,0,1,0,"37"
5,"aquatic fungi",NA,1,"1","3,4",0,1,0,"39,40,41"
6,"aquatic nematodes",NA,1,NA,"2,3,4,5",0,1,1,"42"
7,"swimming filter feeders",NA,2,NA,"3",0,1,1,"43"
8,"swimming scrapers",NA,1,"2,3","1,5",0,1,1,"44"
9,"arthropod omnivores",NA,2,NA,"1,2,3,4,5,6,7,8,9",0,1,1,"45"
10,"benthic predators",NA,1,NA,"2,6,7,8,9",0,1,1,"46"
