"guild_no","guild_name","major_taxa","G","priority_resources","general_resources","terr","aqu","og_guild_ids"
1,"terrestrial detritus",NA,1,NA,NA,1,0,"1"
2,"land plants",NA,1,NA,NA,1,0,"2,3,4,5,6,7,8"
3,"terrestrial microbes",NA,1,"1","3,4,5,13",1,0,"9,10"
4,"terrestrial fungi",NA,1,"1","2,13",1,0,"11,12,13,14,15,16,17,18,19,20,21"
5,"terrestrial nematodes",NA,1,"2","3,4,13",1,0,"22"
6,"terrestrial microbivores",NA,1,"3,4","13",1,0,"23"
7,"terrestrial detritivores",NA,2,"1","3,4,13",1,0,"24"
8,"mites",NA,2,NA,"2,3,4,5,13",1,0,"25"
9,"terrestrial arthropod predators (1)",NA,3,NA,"5,6,8,9",1,0,"26"
10,"terrestrial arthropod predators (2)",NA,5,NA,"6,7,8,9,10",1,0,"27"
11,"aquatic detritus",NA,1,NA,NA,0,1,"28"
12,"aquatic heterotrophic microbes",NA,1,"11","12,13,15,16",0,1,"29,30,31"
13,"aquatic algae",NA,1,NA,NA,1,1,"32,33,34,35,36,38"
14,"charophytes",NA,1,NA,NA,0,1,"37"
15,"aquatic fungi",NA,1,"11","13,14",0,1,"39,40,41"
16,"aquatic nematodes",NA,1,NA,"12,13,14,15",0,1,"42"
17,"swimming filter feeders",NA,2,NA,"13",0,1,"43"
18,"swimming scrapers",NA,1,"12,13","11,15",0,1,"44"
19,"arthropod omnivores",NA,2,NA,"11,12,13,14,15,16,17,18,19",0,1,"45"
20,"benthic predators",NA,1,NA,"12,16,17,18,19",0,1,"46"
