"guild_no","guild_name","major_taxa","G","priority_resources","general_resources","terr","aqu"
1,"aquatic detritus","NA",1,NA,NA,0,1
2,"aquatic heterotroph bacteria",NA,1,"1","2,3,6",0,1
3,"sulfate-reducing bacteria",NA,1,NA,NA,0,1
4,"aquatic protozoa",NA,1,"2,12","3,5,6,9,11,13,14,15",0,1
5,"Anechosoma",NA,1,NA,NA,0,1
6,"aquatic unicellular/small algae (general)","Chlorophyta, Cyanobacteria",5,NA,NA,0,1
7,"planktic large colonial algae","Chlorophyta, Cyanobacteria",1,NA,NA,0,1
8,"benthic filamentous algae","Chlorophyta, Cyanobacteria",5,NA,NA,0,1
9,"other benthic/epiphytic algae","Chlorophyta, Cyanobacteria",4,NA,NA,0,1
10,"charophytes","Charophyta",1,NA,NA,0,1
11,"partially terrestrial epilithic/epiphytic algae","Cyanobacteria",3,NA,NA,1,1
12,"aquatic saprotrophs","Chytridomycota",5,NA,"1",0,1
13,"small algae parasites","Chytridomycota",1,"5","6,9",0,1
14,"aquatic macrophyte parasites","Chytridomycota",1,NA,"10",0,1
15,"aquatic nematodes","Nematoda",1,NA,"2,3,4,5,6,7,8,9,10,11,12,13,14",0,1
16,"swimming filter feeders","Branchiopoda",2,NA,"5,6",0,1
17,"swimming scrapers","Branchiopoda",1,"2,9,11","1,3,4,5,6,7,8,12",0,1
18,"arthropod omnivores","Branchiopoda, Euthycarcinoidea",2,NA,"1,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",0,1
19,"benthic predators","Polychaeta?",1,NA,"4,15,16,17,18",0,1
