"consumer","resource","priority.level"
2,1,2
2,2,1
2,3,1
2,6,1
4,2,2
4,3,1
4,5,1
4,6,1
4,9,1
4,11,1
4,12,2
4,13,1
4,14,1
4,15,1
12,1,1
13,5,2
13,6,1
13,9,1
14,10,1
15,2,1
15,3,1
15,4,1
15,5,1
15,6,1
15,7,1
15,8,1
15,9,1
15,10,1
15,11,1
15,12,1
15,13,1
15,14,1
16,5,1
16,6,1
17,1,1
17,2,2
17,3,1
17,4,1
17,5,1
17,6,1
17,7,1
17,8,1
17,9,2
17,11,2
17,12,1
18,1,1
18,4,1
18,5,1
18,6,1
18,7,1
18,8,1
18,9,1
18,10,1
18,11,1
18,12,1
18,13,1
18,14,1
18,15,1
18,16,1
18,17,1
18,18,1
19,4,1
19,15,1
19,16,1
19,17,1
19,18,1
