"guild_no","guild_name","major_taxa","G","priority_resources","general_resources","terr","aqu","animal"
1,"terrestrial detritus","NA",1,NA,NA,1,0,0
2,"Aglaophyton","Aglaophyton",1,NA,NA,1,0,0
3,"Rhynia","Rhynia",1,NA,NA,1,0,0
4,"Asteroxylon","Asteroxylon",1,NA,NA,1,0,0
5,"Horneophyton","Horneophyton",1,NA,NA,1,0,0
6,"Nothia","Nothia",1,NA,NA,1,0,0
7,"other land plants","Tracheophyta",2,NA,NA,1,0,0
8,"lichen",NA,1,NA,NA,1,0,0
9,"terrestrial heterotroph bacteria",NA,1,"1","9",1,0,0
10,"terrestrial protozoa",NA,1,"9,11","12,13,14,15,16,17,18,19,20,21,22,28",1,0,0
11,"terrestrial saprotrophs","Zygomycota, Blastocladiomycota, Oomycota",14,NA,"1",1,0,0
12,"mycorrhizae: Aglaophyton",NA,3,"2","1,3,4,5,6,7",1,0,0
13,"mycorrhizae: Rhynia",NA,2,"3","1,2,4,5,6,7",1,0,0
14,"mycorrhizae: Asteroxylon",NA,3,"4","1,2,3,5,6,7",1,0,0
15,"mycorrhizae: Horneophyton",NA,3,"5","1,2,3,4,6,7",1,0,0
16,"possible mycorrhizae","Glomeromycota, Mucuromycota",1,NA,"1,2,3,4,5,6,7",1,0,0
17,"parasites: Aglaophyton",NA,1,"2","1,3,4,5,6,7,8",1,0,0
18,"parasites: Asteroxylon",NA,3,"4","1,2,3,5,6,7,8",1,0,0
19,"parasites: Nothia",NA,1,"6","1,2,3,4,5,7,8",1,0,0
20,"general plant parasites","Chytridomycota",2,NA,"1,2,3,4,5,6,7,8,28",1,0,0
21,"fungal parasites","Chytridomycota",7,NA,"1,11,12,13,14,15,16,17,18,19,20",1,0,0
22,"terrestrial nematodes",NA,1,"2","1,3,4,5,6,7",1,0,1
23,"terrestrial microbivores","Hexapoda",1,"9,11","12,13,14,15,16,17,18,19,20,21,28",1,0,1
24,"terrestrial detritivores","Diplopoda",2,"1","9,11,28",1,0,1
25,"mites","Acari",2,NA,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,28",1,0,1
26,"terrestrial arthropod predators (1)","Trigonotarbida",3,NA,"22,23,25,26",1,0,1
27,"terrestrial arthropod predators (2)","Chilopoda",5,NA,"23,24,25,26,27",1,0,1
28,"partially terrestrial epilithic/epiphytic algae","Cyanobacteria",3,NA,NA,1,1,0
